As, ﻿a
2, 2
a, a
0, 0
., .

, 

Durante, durant
o, o
desenrolar, desenrolar
do, do
jogo, jogo
São, são
Paulo, paulo
e, e
Inter, inter
,, ,
fiquei, fiquei
matutando, matutando
sobre, sobr
o, o
injusto, injusto
regulamento, regulamento
que, que
rege, rege
esse, ess
certame, certam
., .
O, o
São, são
Paulo, paulo
,, ,
na, na
primeira, primeira
fase, fase
,, ,
goleara, goleara
o, o
mesmo, mesmo
Inter, inter
por, por
5, 5
a, a
2, 2
., .
Agora, agora
,, ,
nas, na
semifinais, semifinai
,, ,
afogava, afogava
o, o
adversário, adversário
em, em
sua, sua
área, área
,, ,
enquanto, enquanto
o, o
técnico, técnico
gaúcho, gaúcho
confessava, confessava
abertamente, abertament
sua, sua
única, única
esperança, esperança
:, :
levar, levar
o, o
jogo, jogo
para, para
a, a
prorrogação, prorrogação
,, ,
e, e
,, ,
quica, quica
,, ,
aos, ao
pênaltis, pênalti
., .
Enfim, enfim
,, ,
tirá-lo, tirá-lo
do, do
campo, campo
da, da
lógica, lógica
e, e
jogá-lo, jogá-lo
às, às
imponderáveis, imponderávei
áreas, área
do, do
acaso, acaso
., .
Por, por
que, que
não, não
,, ,
na, na
próxima, próxima
Copa, copa
,, ,
prevalecer, prevalec
o, o
confronto, confronto
direto, direto
?, ?

, 

De, de
qualquer, qualquer
forma, forma
,, ,
o, o
tricolor, tricolor
fez, fez
2, 2
a, a
0, 0
,, ,
quando, quando
o, o
adversário, adversário
já, já
estava, estava
com, com
nove, nove
jogadores, jogador
,, ,
consequência, consequência
do, do
sistema, sistema
adotado, adotado
pelo, pelo
Inter, inter
e, e
da, da
violência, violência
empregada, empregada
para, para
sustentá-lo, sustentá-lo
., .
Mas, ma
deixou, deixou
evidente, evident
que, que
a, a
ausência, ausência
de, de
Catê, catê
foi, foi
fatal, fatal
., .

, 

Como, como
certamente, certament
será, será
fatal, fatal
no, no
paulista, paulista
de, de
profissionais, profissionai
que, que
,, ,
afinal, afin
,, ,
teve, teve
seu, seu
início, início
,, ,
com, com
Corinthians, corinthian
e, e
Portuguesa, portuguesa
., .

, 

Era, era
mesmo, mesmo
de, de
se, se
esperar, esperar
que, que
esse, ess
Corinthians, corinthian
não, não
entrasse, entrass
matando, matando
no, no
campeonato, campeonato
., .
Nem, nem
mesmo, mesmo
diante, diant
de, de
uma, uma
Lusa, lusa
remendada, remendada
à, à
última, última
hora, hora
., .
Por, por
isso, isso
,, ,
o, o
resultado, resultado
de, de
3, 3
a, a
1, 1
caiu, caiu
do, do
céu, céu
., .

, 

Durante, durant
todo, todo
o, o
primeiro, primeiro
tempo, tempo
,, ,
o, o
Corinthians, corinthian
tentou, tentou
encontrar, encontrar
em, em
campo, campo
um, um
mínimo, mínimo
de, de
entendimento, entendimento
,, ,
em, em
vão, vão
., .
A, a
Portuguesa, portuguesa
,, ,
igualmente, igualment
desconexa, desconexa
,, ,
pelo, pelo
menos, meno
,, ,
tinha, tinha
mais, mai
ciência, ciência
., .
E, e
por, por
isso, isso
chegou, chegou
ao, ao
1, 1
a, a
0, 0
,, ,
num, num
disparo, disparo
de, de
Maurício, maurício
,, ,
que, que
resvalou, resval
em, em
Ezequiel, ezequiel
e, e
lhe, lhe
deu, deu
a, a
vantagem, vantagem
no, no
marcador, marcador
., .

, 

O, o
Corinthians, corinthian
,, ,
até, até
então, então
,, ,
praticava, praticava
um, um
futebol, futebol
convencional, convencion
,, ,
sem, sem
brilho, brilho
nem, nem
acerto, acerto
., .
E, e
,, ,
na, na
verdade, verdad
,, ,
seguiu, seguiu
assim, assim
até, até
o, o
final, final
do, do
jogo, jogo
., .
A, a
diferença, diferença
é, é
que, que
,, ,
no, no
segundo, segundo
tempo, tempo
,, ,
sobretudo, sobretudo
depois, depoi
da, da
entrada, entrada
de, de
Marques, marqu
,, ,
no, no
lugar, lugar
do, do
lateral, later
Elias, elia
,, ,
passou, passou
a, a
ser, ser
mais, mai
agressivo, agressivo
., .
Afinal, afin
,, ,
ficou, ficou
com, com
três, trê
avantes, avant
,, ,
passando, passando
Zé, zé
Elias, elia
,, ,
até, até
esse, ess
momento, momento
mal, mal
posicionado, posicionado
como, como
falso, falso
ponta-esquerda, ponta-esquerda
,, ,
para, para
a, a
lateral-esquerda, lateral-esquerda
., .
A, a
partir, partir
daí, daí
,, ,
o, o
Corinthians, corinthian
,, ,
que, que
já, já
havia, havia
empatado, empatado
,, ,
numa, numa
cobrança, cobrança
de, de
falta, falta
de, de
Marcelinho, marcelinho
,, ,
no, no
comecinho, comecinho
do, do
segundo, segundo
tempo, tempo
,, ,
soltou-se, soltou-s
e, e
chegou, chegou
aos, ao
3, 3
a, a
1, 1
finais, finai
,, ,
com, com
extrema, extrema
facilidade, facilidad
., .

, 

Foi, foi
como, como
se, se
o, o
destino, destino
tivesse, tivess
dado, dado
uma, uma
primeira, primeira
chance, chanc
ao, ao
técnico, técnico
Riul, riul
., .
Há, há
que, que
aproveitá-la, aproveitá-la
., .

, 

