Porto, ﻿porto
bugue, bugu
de, de
Rita, rita
de, de
Oliveira, oliveira
,, ,
fotógrafa, fotógrafa
e, e
bugueira, bugueira
arretada, arretada
., .

, 

Para, para
comer, comer
peixes, peix
da, da
região, região
–, –
como, como
filé, filé
de, de
agulha, agulha
–, –
,, ,
lagostas, lagosta
,, ,
polvo, polvo
etc., etc.
e, e
tal, tal
,, ,
o, o
restaurante, restaurant
do, do
Brás, brá
é, é
o, o
melhor, melhor
., .
E, e
,, ,
por, por
incrível, incrível
que, que
pareça, pareça
,, ,
a, a
Pimpinella, pimpinella
serve, serv
pizzas, pizza
bem, bem
fininhas, fininha
,, ,
iguais, iguai
às, às
melhores, melhor
de, de
São, são
Paulo, paulo
,, ,
debaixo, debaixo
de, de
uma, uma
cobertura, cobertura
de, de
sapê, sapê
., .
Desnecessário, desnecessário
dizer, dizer
que, que
o, o
dono, dono
,, ,
Nelson, nelson
,, ,
é, é
paulista, paulista
., .
Melhor, melhor
,, ,
estraga, estraga
., .
E, e
como, como
ninguém, ninguém
é, é
de, de
ferro, ferro
,, ,
a, a
noite, noit
sempre, sempr
acaba, acaba
em, em
forró, forró
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
Porto, porto
de, de
Galinhas, galinha
na, na
pág., pág.
6-12, 6-12

, 

A, a
colunista, colunista
JOYCE, joyc
PASCOWITCH, pascowitch
viajou, viajou
a, a
convite, convit
da, da
Transbrasil, transbrasil
., .

, 

