Foram, ﻿foram
., .

, 

Desde, desd
o, o
final, final
do, do
ano, ano
passado, passado
,, ,
Ayrton, ayrton
vem, vem
colocando, colocando
a, a
Ferrari, ferrari
como, como
maior, maior
adversária, adversária
na, na
luta, luta
pelo, pelo
título, título
mundial, mundial
., .
Ele, ele
considera, considera
o, o
projetista, projetista
John, john
Barnard, barnard
,, ,
que, que
fez, fez
o, o
novo, novo
carro, carro
da, da
equipe, equip
italiana, italiana
,, ,
o, o
melhor, melhor
em, em
atividade, atividad
., .
Além, além
disso, disso
,, ,
acha, acha
que, que
o, o
fim, fim
da, da
eletrônica, eletrônica
favorece, favorec
a, a
Ferrari, ferrari
,, ,
que, que
nunca, nunca
lidou, lidou
bem, bem
com, com
os, os
equipamentos, equipamento
agora, agora
proibidos, proibido
pela, pela
FIA, fia
., .

, 

O, o
ritmo, ritmo
de, de
trabalho, trabalho
de, de
Senna, senna
assustou, assust
os, os
técnicos, técnico
de, de
sua, sua
nova, nova
equipe, equip
., .
A, a
cada, cada
parada, parada
no, no
box, box
,, ,
Senna, senna
se, se
reunia, reunia
por, por
cerca, cerca
de, de
15, 15
minutos, minuto
com, com
o, o
engenheiro, engenheiro
David, david
Brown, brown
., .
Indicava, indicava
as, as
modificações, modificaçõ
que, que
queria, queria
e, e
os, os
mecânicos, mecânico
as, as
executavam, executavam
., .
", "
Eu, eu
fiz, fiz
o, o
trabalho, trabalho
que, que
tinha, tinha
que, que
ser, ser
feito, feito
,, ,
porque, porqu
nosso, nosso
tempo, tempo
é, é
muito, muito
curto, curto
até, até
a, a
estréia, estréia
", "
,, ,
justificou, justific
o, o
piloto, piloto
., .
", "
Foi, foi
uma, uma
semana, semana
muito, muito
proveitosa, proveitosa
,, ,
importante, important
na, na
minha, minha
carreira, carreira
e, e
fundamental, fundament
para, para
a, a
temporada, temporada
de, de
94, 94
., .
", "

, 

Senna, senna
volta, volta
hoje, hoje
ao, ao
Brasil, brasil
e, e
até, até
amanhã, amanhã
decide, decid
com, com
a, a
equipe, equip
se, se
terá, terá
que, que
testar, testar
mais, mai
uma, uma
vez, vez
o, o
carro, carro
velho, velho
da, da
Williams, william
., .
A, a
princípio, princípio
,, ,
ele, ele
só, só
deve, deve
guiar, guiar
de, de
novo, novo
no, no
final, final
de, de
fevereiro, fevereiro
,, ,
quando, quando
o, o
modelo, modelo
FW16, fw16
estiver, estiv
pronto, pronto
., .

, 

Os, os
tempos, tempo
de, de
ontem, ontem
:, :
1, 1
), )
A.Senna, a.senna
(, (
BRA, bra
/, /
Williams, william
), )
,, ,
1min12s50, 1min12s50
(, (
42, 42
voltas, volta
), )
;, ;
2, 2
), )
E.Irvine, e.irvin
(, (
IRL, irl
/, /
Jordan, jordan
), )
,, ,
1min12s96, 1min12s96
(, (
41, 41
), )
;, ;
3, 3
), )
D.Coulthard, d.coulthard
(, (
ESC, esc
/, /
Williams, william
), )
,, ,
1min13s47, 1min13s47
(, (
39, 39
), )
;, ;
4, 4
), )
A.Zanardi, a.zanardi
(, (
ITA, ita
/, /
Lotus, lotu
), )
,, ,
1min14s66, 1min14s66
(, (
37, 37
), )
;, ;
5, 5
), )
J.Herbert, j.herbert
(, (
ING, ing
/, /
Lotus, lotu
), )
,, ,
1min15s65, 1min15s65
(, (
24, 24
), )
., .

, 

