O, ﻿o
sete, sete
jogos, jogo
sem, sem
vitória, vitória
uma, uma
derrota, derrota
diante, diant
do, do
Corinthians, corinthian
,, ,
logo, logo
o, o
Corinthians, corinthian
,, ,
ah, ah
,, ,
isso, isso
já, já
basta, basta
para, para
tirar, tirar
qualquer, qualquer
palestrino, palestrino
fora, fora
do, do
eixo, eixo
., .

, 

Além, além
do, do
mais, mai
,, ,
quem, quem
sabe, sabe
,, ,
sua, sua
saída, saída
não, não
sirva, sirva
para, para
despertar, despertar
os, os
brios, brio
do, do
time, time
,, ,
o, o
suficiente, suficient
,, ,
ao, ao
menos, meno
,, ,
para, para
vencer, vencer
o, o
Corinthians, corinthian
?, ?
Pronto, pronto
,, ,
isso, isso
já, já
vale, vale
uma, uma
vida, vida
., .

, 

Alberto, alberto
Helena, helena
Jr., jr.
escreve, escrev
às, às
quartas, quarta
,, ,
domingos, domingo
e, e
segundas, segunda

, 

