Na, ﻿na
resolveu, resolveu
escalar, escalar
também, também
o, o
time, time
,, ,
humilhando, humilhando
o, o
técnico, técnico
e, e
criando, criando
profundo, profundo
mal-estar, mal-estar
com, com
os, os
companheiros, companheiro
,, ,
ao, ao
dizer, dizer
,, ,
publicamente, publicament
(, (
e, e
não, não
desmentir, desmentir
), )
que, que
Muller, muller
nunca, nunca
deu, deu
certo, certo
na, na
equipe, equip
nacional, nacion
e, e
que, que
Edmundo, edmundo
,, ,
seu, seu
chapinha, chapinha
,, ,
desde, desd
os, os
tempos, tempo
do, do
Vasco, vasco
,, ,
deveria, deveria
ser, ser
titular, titular
., .

, 

Ora, ora
,, ,
muita, muita
gente, gent
pode, pode
concordar, concordar
com, com
Romário, romário
,, ,
embora, embora
os, os
fatos, fato
o, o
desmintam, desmintam
,, ,
pois, poi
Muller, muller
nunca, nunca
foi, foi
chamado, chamado
como, como
titular, titular
,, ,
desde, desd
a, a
Copa, copa
de, de
86, 86
., .
Mas, ma
sempre, sempr
ganhou, ganhou
a, a
posição, posição
em, em
campo, campo
,, ,
nos, no
treinos, treino
ou, ou
nos, no
jogos, jogo
,, ,
graças, graça
a, a
sua, sua
incontrolável, incontrolável
velocidade, velocidad
e, e
agressividade, agressividad
., .
Já, já
Edmundo, edmundo
,, ,
quando, quando
chamado, chamado
a, a
mostrar, mostrar
suas, sua
cartas, carta
na, na
Copa, copa
América, américa
,, ,
implodiu, implodiu
., .

, 

Isso, isso
não, não
quer, quer
dizer, dizer
que, que
Edmundo, edmundo
,, ,
neste, nest
momento, momento
,, ,
ou, ou
quem, quem
sabe, sabe
até, até
a, a
Copa, copa
,, ,
não, não
possa, possa
ganhar, ganhar
a, a
posição, posição
por, por
seus, seu
próprios, próprio
méritos, mérito
., .
O, o
que, que
me, me
preocupa, preocupa
–, –
e, e
certamente, certament
ao, ao
técnico, técnico
Parreira, parreira
–, –
é, é
que, que
a, a
declaração, declaração
de, de
Romário, romário
cria, cria
um, um
clima, clima
malsão, malsão
,, ,
que, que
deixa, deixa
o, o
treinador, treinador
no, no
pelourinho, pelourinho
:, :
se, se
preterir, preterir
Muller, muller
,, ,
em, em
benefício, benefício
de, de
Edmundo, edmundo
,, ,
ficará, ficará
de, de
quatro, quatro
diante, diant
de, de
Romário, romário
., .
Caso, caso
contrário, contrário
,, ,
Muller, muller
terá, terá
de, de
matar, matar
um, um
leão, leão
por, por
dia, dia
., .
E, e
mesmo, mesmo
assim, assim
estará, estará
sob, sob
suspeita, suspeita
., .

, 

Ah, ah
,, ,
sim, sim
,, ,
há, há
também, também
quem, quem
puxe, pux
pela, pela
memória, memória
para, para
argumentar, argumentar
que, que
a, a
atitude, atitud
de, de
Romário, romário
pode, pode
ter, ter
sido, sido
positiva, positiva
,, ,
como, como
em, em
58, 58
,, ,
quando, quando
Didi, didi
,, ,
Nilton, nilton
Santos, santo
e, e
 ,  
Bellini, bellini
teriam, teriam
peitado, peitado
Feola, feola
para, para
escalar, escalar
Garrincha, garrincha
no, no
lugar, lugar
de, de
Joel, joel
,, ,
e, e
deu, deu
no, no
que, que
deu, deu
:, :
uma, uma
festa, festa
., .
A, a
história, história
que, que
eu, eu
ouvi, ouvi
,, ,
várias, vária
vezes, veze
do, do
dr., dr.
Paulo, paulo
Machado, machado
de, de
Carvalho, carvalho
,, ,
chefe, chefe
da, da
delegação, delegação
,, ,
e, e
de, de
vários, vário
integrantes, integrant
daquele, daquel
time, time
,, ,
não, não
é, é
bem, bem
essa, essa
., .
Ali, ali
,, ,
houve, houv
um, um
jogo, jogo
sutil, sutil
de, de
insinuações, insinuaçõ
,, ,
ora, ora
um, um
,, ,
ora, ora
outro, outro
,, ,
no, no
ouvido, ouvido
do, do
dr., dr.
Paulo, paulo
,, ,
que, que
,, ,
embora, embora
amigão, amigão
,, ,
tinha, tinha
temperamento, temperamento
explosivo, explosivo
e, e
poria, poria
a, a
correr, correr
com, com
um, um
pé, pé
no, no
traseiro, traseiro
quem, quem
ousasse, ousass
desafiá-lo, desafiá-lo
., .
Dr., dr.
Paulo, paulo
captou, captou
a, a
mensagem, mensagem
e, e
engendrou, engendr
uma, uma
sofisticada, sofisticada
trama, trama
para, para
tirar, tirar
Joel, joel
do, do
time, time
e, e
abrir, abrir
vaga, vaga
a, a
Garrincha, garrincha
., .
Qualquer, qualquer
dia, dia
desses, dess
conto, conto
os, os
pormenores, pormenor
., .

, 

Aliás, aliá
,, ,
não, não
há, há
registro, registro
na, na
história, história
do, do
futebol, futebol
brasileiro, brasileiro
fato, fato
semelhante, semelhant
ao, ao
de, de
Romário, romário
., .
Nunca, nunca
,, ,
nem, nem
Fried, fri
,, ,
nem, nem
Zizinho, zizinho
,, ,
nem, nem
Jair, jair
Rosa, rosa
Pinto, pinto
,, ,
Gérson, gérson
ou, ou
qualquer, qualquer
tradicional, tradicion
dono-do-time, dono-do-tim
chegou, chegou
a, a
tanto, tanto
., .

, 

Os, os
tempos, tempo
são, são
outros, outro
,, ,
bem, bem
sei, sei
., .
Espero, espero
que, que
eles, ele
nos, no
sejam, sejam
benfazejos, benfazejo
,, ,
como, como
foram, foram
outrora, outrora
., .

, 

Alberto, alberto
Helena, helena
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
quartas, quarta
,, ,
domingos, domingo
e, e
segundas, segunda
., .

, 

