Nove, ﻿nove
torneio, torneio
no, no
sábado, sábado
,, ,
como, como
no, no
ano, ano
passado, passado
,, ,
quando, quando
as, as
arquibancadas, arquibancada
ficaram, ficaram
lotadas, lotada
., .

, 

`, `
`, `
O, o
público, público
foi, foi
menor, menor
., .
O, o
mais, mai
importante, important
é, é
a, a
TV, tv
,, ,
que, que
no, no
domingo, domingo
mostra, mostra
o, o
evento, evento
para, para
um, um
grande, grand
número, número
de, de
pessoas, pessoa
'', ''
,, ,
declarou, declar
., .

, 

A, a
competição, competição
abriu, abriu
o, o
circuito, circuito
do, do
Grand, grand
Prix, prix
da, da
IAAF, iaaf
(, (
Federação, federação
Internacional, internacion
de, de
Atletismo, atletismo
Amador, amador
), )
,, ,
que, que
tem, tem
15, 15
torneios, torneio
e, e
mais, mai
o, o
GP, gp
final, final
no, no
dia, dia
9, 9
de, de
setembro, setembro
,, ,
em, em
Monte, mont
Carlo, carlo
,, ,
Mônaco, mônaco
., .

, 

Os, os
atletas, atleta
pontuam, pontuam
em, em
suas, sua
provas, prova
durante, durant
a, a
temporada, temporada
e, e
os, os
melhores, melhor
participam, participam
do, do
GP, gp
final, final
., .

, 

Os, os
novos, novo
recordes, record
do, do
torneio, torneio
:, :
no, no
feminino, feminino
-, -
400, 400
m, m
c, c
/, /
barreiras, barreira
-, -
Kim, kim
Batten, batten
(, (
EUA, eua
), )
,, ,
53s88, 53s88
;, ;
200, 200
m, m
-, -
Gwen, gwen
Torrence, torrenc
(, (
EUA, eua
), )
,, ,
22s43, 22s43
;, ;
salto, salto
triplo, triplo
-, -
Ana, ana
Biryukova, biryukova
(, (
Rússia, rússia
), )
,, ,
14,73, 14,73
m, m
;, ;
arremesso, arremesso
de, de
peso, peso
-, -
Astrid, astrid
Kumbernuss, kumbernuss
(, (
Alemanha, alemanha
), )
,, ,
19,98, 19,98
m, m
e, e
3.000, 3.000
m, m
rasos, raso
-, -
Olga, olga
Churbanova, churbanova
(, (
Rússia, rússia
), )
,, ,
9min02s19, 9min02s19
;, ;
masculino, masculino
-110, -110
m, m
c, c
/, /
barreiras, barreira
-, -
Jack, jack
Pierce, pierc
(, (
EUA, eua
), )
,, ,
13s30, 13s30
;, ;
salto, salto
em, em
distância, distância
-, -
Roland, roland
McGhee, mcghee
(, (
EUA, eua
), )
,, ,
8,51, 8,51
m, m
;, ;
800, 800
m, m
rasos, raso
-, -
José, josé
Parrila, parrila
(, (
EUA, eua
), )
,, ,
1min45s15, 1min45s15
;, ;
e, e
3.000, 3.000
m, m
rasos, raso
-, -
Simon, simon
Chemoiywo, chemoiywo
(, (
Quênia, quênia
), )
,, ,
7min43s15, 7min43s15
., .

, 

