Viajar, ﻿viajar
operadoras, operadora
e, e
pergunte, pergunt
por, por
um, um
", "
fly, fli
and, and
drive, drive
", "
., .
É, é
a, a
melhor, melhor
maneira, maneira
de, de
conhecer, conhec
a, a
Disney, disney
com, com
economia, economia
sem, sem
ter, ter
que, que
dividir, dividir
um, um
mesmo, mesmo
ônibus, ônibu
., .

, 

(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

