Por, ﻿por
E, e
mais, mai
:, :
como, como
o, o
velho, velho
Santiago, santiago
de, de
Hemingway, hemingway
(, (
com, com
mil, mil
perdões, perdõ
por, por
citar, citar
personagem, personagem
tão, tão
nobre, nobr
a, a
propósito, propósito
de, de
personagem, personagem
tão, tão
pobre, pobr
), )
,, ,
", "
Caixa, caixa
d'Agua, d'agua
", "
poderia, poderia
ser, ser
destruído, destruído
,, ,
nunca, nunca
derrotado, derrotado
., .

, 

Não, não
há, há
exagero, exagero
em, em
afirmar, afirmar
que, que
uma, uma
CPI, cpi
poderia, poderia
destruí-lo, destruí-lo
., .
Só, só
ela, ela
pode, pode
tirá-lo, tirá-lo
de, de
um, um
cargo, cargo
para, para
o, o
qual, qual
se, se
reelege, reeleg
,, ,
ad, ad
eternum, eternum
,, ,
com, com
votos, voto
de, de
clubes, clube
e, e
federações, federaçõ
fantasmas, fantasma
., .
Só, só
ela, ela
poderá, poderá
romper, romper
com, com
o, o
suposto, suposto
esquema, esquema
de, de
manipulação, manipulação
de, de
resultados, resultado
através, atravé
das, da
arbitragens, arbitragen
,, ,
preservado, preservado
por, por
ele, ele
e, e
seus, seu
assessores, assessor
., .
Só, só
ela, ela
porá, porá
em, em
xeque, xequ
o, o
enriquecimento, enriquecimento
de, de
alguns, algun
assessores, assessor
,, ,
num, num
futebol, futebol
que, que
,, ,
além, além
de, de
empobrecido, empobrecido
,, ,
se, se
permite, permit
essa, essa
coisa, coisa
absurda, absurda
a, a
que, que
chamam, chamam
de, de
", "
evasão, evasão
de, de
rendas, renda
", "
., .
Só, só
ela, ela
devolverá, devolverá
ao, ao
futebol, futebol
carioca, carioca
a, a
grandeza, grandeza
que, que
começou, começ
a, a
perder, perder
no, no
dia, dia
em, em
que, que
Viana, viana
entrou, entrou
em, em
cena, cena
com, com
sua, sua
política, política
interiorana, interiorana
., .
Só, só
ela, ela
,, ,
enfim, enfim
,, ,
destruirá, destruirá
não, não
o, o
homem, homem
(, (
que, que
Deus, deu
lhe, lhe
dê, dê
longa, longa
e, e
boa, boa
vida, vida
), )
,, ,
mas, ma
o, o
cartola, cartola
cujo, cujo
desespero, desespero
diante, diant
da, da
possibilidade, possibilidad
de, de
uma, uma
CPI, cpi
só, só
confirma, confirma
o, o
quanto, quanto
ele, ele
tem, tem
a, a
temer, temer
., .

, 

Aliás, aliá
,, ,
o, o
temor, temor
é, é
geral, geral
., .
Paulo, paulo
Mello, mello
,, ,
um, um
dos, do
deputados, deputado
que, que
votaria, votaria
pela, pela
CPI, cpi
,, ,
contou, contou
que, que
um, um
emissário, emissário
de, de
Viana, viana
o, o
procurou, procur
com, com
um, um
pedido, pedido
de, de
apoio, apoio
,, ,
com, com
o, o
seguinte, seguint
argumento, argumento
:, :
", "
Todos, todo
nós, nó
sabemos, sabemo
que, que
as, as
arbitragens, arbitragen
são, são
manipuladas, manipulada
no, no
futebol, futebol
do, do
Rio, rio
,, ,
mas, ma
convenhamos, convenhamo
que, que
foi, foi
sempre, sempr
a, a
nosso, nosso
favor, favor
(, (
do, do
futebol, futebol
do, do
interior, interior
), )
", "
., .
Mello, mello
é, é
de, de
Saquarema, saquarema
e, e
o, o
emissário, emissário
de, de
uma, uma
cidadezinha, cidadezinha
próxima, próxima
., .
Lembrou-se, lembrou-s
na, na
ocasião, ocasião
um, um
jogo, jogo
recente, recent
entre, entr
Saquarema, saquarema
e, e
Mesquita, mesquita
,, ,
que, que
o, o
primeiro, primeiro
vencia, vencia
por, por
2, 2
a, a
1, 1
., .
Aos, ao
27min, 27min
do, do
segundo, segundo
tempo, tempo
,, ,
alegando, alegando
falta, falta
de, de
segurança, segurança
no, no
estádio, estádio
do, do
primeiro, primeiro
,, ,
o, o
árbitro, árbitro
suspendeu, suspendeu
o, o
jogo, jogo
., .
Tudo, tudo
para, para
que, que
o, o
TJD, tjd
da, da
Federação, federação
considerasse, considerass
o, o
Mesquita, mesquita
vencedor, vencedor
por, por
1, 1
a, a
0, 0
., .
É, é
ou, ou
não, não
é, é
caso, caso
de, de
inquérito, inquérito
?, ?

, 

Bem, bem
,, ,
na, na
medida, medida
em, em
que, que
essas, essa
linhas, linha
começam, começam
a, a
soar, soar
editorialescas, editorialesca
,, ,
mudo, mudo
de, de
rumo, rumo
., .
De, de
mau, mau
humor, humor
a, a
crônica, crônica
esportiva, esportiva
anda, anda
prenhe, prenh
., .
Retiro, retiro
apenas, apena
a, a
pena, pena
que, que
senti, senti
do, do
Viana, viana
e, e
digo, digo
que, que
fechamos, fechamo
o, o
ano, ano
com, com
a, a
esperança, esperança
de, de
que, que
,, ,
afinal, afin
,, ,
a, a
caixa, caixa
fure, fure
., .

, 

*, *

, 

Falando, falando
em, em
humor, humor
,, ,
um, um
registro, registro
:, :
ao, ao
incluir, incluir
,, ,
aqui, aqui
na, na
Folha, folha
,, ,
Sérgio, sérgio
Porto, porto
,, ,
o, o
Stanislaw, stanislaw
Ponte, pont
Preta, preta
,, ,
entre, entr
os, os
18, 18
torcedores, torcedor
do, do
Botafogo, botafogo
,, ,
meu, meu
amigo, amigo
Ruy, ruy
Castro, castro
fez, fez
o, o
nosso, nosso
Lalau, lalau
espernear, espernear
em, em
sua, sua
tumba, tumba
., .
Sérgio, sérgio
não, não
só, só
era, era
Fluminense, fluminens
roxo, roxo
,, ,
ou, ou
melhor, melhor
,, ,
tricolor, tricolor
,, ,
como, como
tinha, tinha
um, um
sádico, sádico
prazer, prazer
em, em
gozar, gozar
botafoguenses, botafoguens
seus, seu
amigos, amigo
como, como
o, o
tio, tio
Lúcio, lúcio
Rangel, rangel
,, ,
Vinicius, viniciu
de, de
Moraes, mora
,, ,
Paulo, paulo
Mendes, mend
Campos, campo
e, e
João, joão
Saldanha, saldanha
., .
Uma, uma
definição, definição
sua, sua
:, :
", "
Botafoguense, botafoguens
é, é
todo, todo
aquele, aquel
que, que
não, não
tem, tem
coragem, coragem
de, de
ser, ser
Flamengo, flamengo
nem, nem
classe, class
para, para
ser, ser
Fluminense, fluminens
", "
., .

, 

Excepcionalmente, excepcionalment
não, não
publicamos, publicamo
hoje, hoje
artigo, artigo
de, de
 ,  
Matinas, matina
Suzuki, suzuki
Jr., jr.

, 

