Até, ﻿até
paulistana, paulistana
piora, piora
um, um
pouco, pouco
se, se
forem, forem
considerados, considerado
os, os
jogos, jogo
de, de
seus, seu
clubes, clube
que, que
foram, foram
disputados, disputado
em, em
Santo, santo
André, andré
,, ,
cidade, cidad
vizinha, vizinha
,, ,
em, em
virtude, virtud
da, da
crise, crise
de, de
estádios, estádio
no, no
início, início
do, do
campeonato, campeonato
., .

, 

A, a
média, média
de, de
8.328, 8.328
cairia, cairia
para, para
8.298, 8.298
pagantes, pagant
por, por
partida, partida
., .

, 

Santos, santo
também, também
tem, tem
suas, sua
médias, média
prejudicadas, prejudicada
devido, devido
à, à
falta, falta
de, de
segurança, segurança
dos, do
estádios, estádio
do, do
litoral, litor
paulista, paulista
em, em
casos, caso
de, de
superlotação, superlotação
., .

, 

Enquanto, enquanto
Palmeiras, palmeira
x, x
Corinthians, corinthian
pôde, pôde
reunir, reunir
36.810, 36.810
no, no
Pacaembu, pacaembu
,, ,
sem, sem
lotar, lotar
,, ,
o, o
Santos, santo
teve, teve
que, que
reduzir, reduzir
o, o
número, número
de, de
ingressos, ingresso
para, para
o, o
clássico, clássico
contra, contra
o, o
São, são
Paulo, paulo
., .
Foram, foram
colocados, colocado
à, à
disposição, disposição
20, 20
mil, mil
dos, do
25, 25
mil, mil
assentos, assento
de, de
seu, seu
estádio, estádio
., .
Todos, todo
foram, foram
vendidos, vendido
., .

, 

O, o
desempenho, desempenho
de, de
São, são
Paulo, paulo
é, é
derrubado, derrubado
principalmente, principalment
pelo, pelo
Juventus, juventu
., .
Sua, sua
média, média
de, de
3.096, 3.096
pagantes, pagant
por, por
jogo, jogo
é, é
um, um
terço, terço
da, da
do, do
Santos, santo
., .
A, a
Portuguesa, portuguesa
pouco, pouco
contribui, contribui
,, ,
com, com
média, média
de, de
6.743, 6.743
pagantes, pagant
,, ,
32, 32
%, %
menor, menor
que, que
a, a
do, do
time, time
santista, santista
., .

, 

