Somente, ﻿soment
pagamento, pagamento
dos, do
bichos, bicho
(, (
gratificação, gratificação
pelas, pela
vitórias, vitória
da, da
equipe, equip
), )
., .

, 

`, `
`, `
É, é
uma, uma
punição, punição
trabalhista, trabalhista
,, ,
portanto, portanto
não, não
haverá, haverá
uma, uma
remuneração, remuneração
pelo, pelo
período, período
da, da
suspensão, suspensão
'', ''
,, ,
disse, diss
Brunoro, brunoro
., .

, 

Os, os
dirigentes, dirigent
do, do
clube, clube
e, e
da, da
empresa, empresa
italiana, italiana
que, que
patrocina, patrocina
o, o
time, time
decidiram, decidiram
que, que
a, a
suspensão, suspensão
desobrigará, desobrigará
o, o
jogador, jogador
de, de
todas, toda
as, as
atividades, atividad
da, da
equipe, equip
durante, durant
15, 15
dias, dia
., .

, 

No, no
período, período
,, ,
o, o
time, time
terá, terá
compromissos, compromisso
só, só
pelo, pelo
Campeonato, campeonato
Paulista, paulista
., .

, 

A, a
equipe, equip
só, só
volta, volta
a, a
jogar, jogar
a, a
Libertadores, libertador
,, ,
principal, princip
competição, competição
interclubes, interclub
sul-americana, sul-americana
,, ,
no, no
dia, dia
26, 26
de, de
julho, julho
,, ,
contra, contra
o, o
Grêmio, grêmio
., .

, 

`, `
`, `
Ele, ele
está, está
totalmente, totalment
liberado, liberado
de, de
treinamento, treinamento
,, ,
podendo, podendo
ir, ir
para, para
o, o
Rio, rio
de, de
Janeiro, janeiro
quando, quando
quiser, quiser
'', ''
,, ,
disse, diss
Brunoro, brunoro
., .

, 

Para, para
Brunoro, brunoro
,, ,
a, a
punição, punição
de, de
Edmundo, edmundo
vai, vai
além, além
das, da
queixas, queixa
do, do
jogador, jogador
quanto, quanto
ao, ao
atraso, atraso
dos, do
prêmios, prêmio
pelas, pela
vitórias, vitória
no, no
Campeonato, campeonato
Paulista, paulista
e, e
na, na
Taça, taça
Libertadores, libertador
da, da
América, américa
., .

, 

`, `
`, `
O, o
que, que
aconteceu, aconteceu
foi, foi
uma, uma
situação, situação
de, de
ofensa, ofensa
., .
Aí, aí
ele, ele
não, não
só, só
feriu, feriu
a, a
diretoria, diretoria
do, do
Palmeiras, palmeira
,, ,
como, como
todo, todo
o, o
grupo, grupo
de, de
jogadores, jogador
'', ''
,, ,
afirmou, afirm
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
do, do
Palmeiras, palmeira
,, ,
Alberto, alberto
Strufaldi, strufaldi
,, ,
classificou, classific
as, as
declarações, declaraçõ
de, de
Edmundo, edmundo
após, apó
o, o
jogo, jogo
com, com
o, o
Bolívar, bolívar
como, como
uma, uma
traição, traição
à, à
amizade, amizad
entre, entr
os, os
dois, doi
., .

, 

`, `
`, `
Como, como
amigo, amigo
de, de
Edmundo, edmundo
,, ,
fiquei, fiquei
magoado, magoado
com, com
as, as
críticas, crítica
'', ''
,, ,
disse, diss
Strufaldi, strufaldi
., .

, 

Para, para
Strufaldi, strufaldi
,, ,
o, o
jogador, jogador
começou, começ
a, a
criticar, criticar
os, os
dirigentes, dirigent
do, do
Palmeiras, palmeira
depois, depoi
que, que
o, o
clube, clube
expressou, express
interesse, interess
de, de
comprar, comprar
o, o
passe, pass
do, do
jogador, jogador
,, ,
que, que
pertence, pertenc
à, à
multinacional, multinacion
Parmalat, parmalat
., .

, 

Por, por
outro, outro
lado, lado
,, ,
segundo, segundo
Strufaldi, strufaldi
,, ,
não, não
há, há
clube, clube
interessado, interessado
oficialmente, oficialment
na, na
contratação, contratação
de, de
Edmundo, edmundo
., .

, 

`, `
`, `
Quando, quando
nós, nó
informamos, informamo
Edmundo, edmundo
da, da
punição, punição
,, ,
ele, ele
disse, diss
que, que
não, não
mudaria, mudaria
de, de
opinião, opinião
e, e
disse, diss
que, que
ele, ele
estava, estava
com, com
a, a
verdade, verdad
'', ''
,, ,
disse, diss
o, o
dirigente, dirigent
palmeirense, palmeirens
., .

, 

Já, já
o, o
técnico, técnico
Valdir, valdir
Espinosa, espinosa
,, ,
sempre, sempr
dizendo, dizendo
que, que
a, a
decisão, decisão
foi, foi
dos, do
dirigentes, dirigent
,, ,
mostrou-se, mostrou-s
resignado, resignado
com, com
a, a
punição, punição
de, de
Edmundo, edmundo
,, ,
que, que
enfraquece, enfraquec
o, o
ataque, ataqu
da, da
equipe, equip
., .

, 

`, `
`, `
Quando, quando
um, um
problema, problema
não, não
tem, tem
solução, solução
,, ,
o, o
problema, problema
está, está
solucionado, solucionado
'', ''
,, ,
afirmou, afirm
Espinosa, espinosa
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
o, o
Palmeiras, palmeira
na, na
pág., pág.
3, 3

, 

