Ayrton, ﻿ayrton
desaceleração, desaceleração
de, de
40, 40
%, %
antes, ant
de, de
bater, bater
., .
A, a
`, `
`, `
novidade, novidad
'', ''
de, de
que, que
Senna, senna
freou, freou
fora, fora
divulgada, divulgada
pela, pela
própria, própria
equipe, equip
25, 25
dias, dia
depois, depoi
do, do
acidente, acident
., .
Foi, foi
destacada, destacada
na, na
Primeira, primeira
Página, página
da, da
Folha, folha
na, na
edição, edição
de, de
26, 26
de, de
maio, maio
., .
A, a
desaceleração, desaceleração
(, (
de, de
310, 310
km/h, km/h
para, para
200, 200
km/h, km/h
), )
foi, foi
revelada, revelada
no, no
mês, mê
seguinte, seguint
., .

, 

Outra, outra
`, `
`, `
novidade, novidad
'', ''
para, para
Leite, leit
:, :
a, a
de, de
que, que
a, a
barra, barra
da, da
direção, direção
fora, fora
remendada, remendada
dois, doi
meses, mese
antes, ant
do, do
GP, gp
., .
O, o
leitor, leitor
da, da
Folha, folha
soube, soub
disso, disso
em, em
janeiro, janeiro
., .

, 

Também, também
seria, seria
uma, uma
revelação, revelação
a, a
advertência, advertência
de, de
Senna, senna
,, ,
poucos, pouco
dias, dia
antes, ant
da, da
corrida, corrida
,, ,
sobre, sobr
vibrações, vibraçõ
no, no
seu, seu
carro, carro
., .
A, a
notícia, notícia
estava, estava
na, na
Folha, folha
de, de
2, 2
de, de
maio, maio
,, ,
um, um
dia, dia
após, apó
a, a
morte, mort
do, do
piloto, piloto
!, !

, 

Mais, mai
:, :
segundo, segundo
o, o
ombudsman, ombudsman
,, ,
outro, outro
mérito, mérito
da, da
`, `
`, `
Veja, veja
'', ''
teria, teria
sido, sido
o, o
de, de
atribuir, atribuir
a, a
especialistas, especialista
da, da
Universidade, universidad
de, de
Bolonha, bolonha
a, a
conclusão, conclusão
de, de
que, que
o, o
asfalto, asfalto
não, não
foi, foi
responsável, responsável
pelo, pelo
acidente, acident
., .
Em, em
junho, junho
,, ,
Williams, william
,, ,
organizadores, organizador
do, do
GP, gp
,, ,
família, família
de, de
Senna, senna
e, e
Justiça, justiça
italiana, italiana
já, já
haviam, haviam
descartado, descartado
a, a
hipótese, hipótes
., .

, 

Leite, leit
foi, foi
além, além
e, e
apontou, apont
arrogância, arrogância
dos, do
grandes, grand
jornais, jornai
brasileiros, brasileiro
,, ,
que, que
não, não
teriam, teriam
atentado, atentado
para, para
as, as
pseudo-revelações, pseudo-revelaçõ
da, da
`, `
`, `
Veja, veja
'', ''
., .

, 

Mas, ma
o, o
maior, maior
exemplo, exemplo
de, de
arrogância, arrogância
foi, foi
dado, dado
pelo, pelo
próprio, próprio
ombudsman, ombudsman
., .

, 

Ele, ele
poderia, poderia
ter, ter
confrontado, confrontado
os, os
argumentos, argumento
da, da
Redação, redação
,, ,
mas, ma
não, não
voltou, voltou
ao, ao
tema, tema
nas, na
críticas, crítica
internas, interna
., .
Guardou, guardou
as, as
conclusões, conclusõ
infundadas, infundada
para, para
alimentar, alimentar
sua, sua
coluna, coluna
dominical, domin
., .

, 

Seu, seu
texto, texto
desrespeitou, desrespeit
os, os
que, que
têm, têm
acompanhado, acompanhado
as, as
investigações, investigaçõ
do, do
caso, caso
Senna, senna
e, e
,, ,
principalmente, principalment
,, ,
aqueles, aquel
que, que
,, ,
como, como
o, o
próprio, próprio
ombudsman, ombudsman
se, se
autodefine, autodefin
,, ,
são, são
leitores, leitor
bissextos, bissexto
do, do
noticiário, noticiário
esportivo, esportivo
., .

, 

Poderia, poderia
acusá-lo, acusá-lo
de, de
deselegância, deselegância
,, ,
por, por
ter, ter
usado, usado
em, em
sua, sua
coluna, coluna
discussões, discussõ
internas, interna
sem, sem
consulta, consulta
prévia, prévia
à, à
Direção, direção
de, de
Redação, redação
_, _
como, como
é, é
praxe, prax
na, na
empresa, empresa
., .
Mas, ma
prefiro, prefiro
usar, usar
este, est
espaço, espaço
para, para
tentar, tentar
reparar, reparar
o, o
estrago, estrago
., .

, 

Resta, resta
apenas, apena
um, um
`, `
`, `
furo, furo
'', ''
a, a
dar, dar
sobre, sobr
o, o
caso, caso
Senna, senna
:, :
o, o
que, que
acontecerá, acontecerá
aos, ao
responsáveis, responsávei
pela, pela
tragédia, tragédia
em, em
Imola, imola
., .

, 

Enquanto, enquanto
se, se
busca, busca
a, a
resposta, resposta
,, ,
não, não
faz, faz
sentido, sentido
anunciar, anunciar
como, como
`, `
`, `
novas, nova
'', ''
as, as
conclusões, conclusõ
do, do
inquérito, inquérito
conhecidas, conhecida
do, do
público, público
., .

, 

Fez, fez
melhor, melhor
jornalismo, jornalismo
quem, quem
registrou, registr
_, _
com, com
tom, tom
crítico, crítico
e, e
distanciado, distanciado
_, _
as, as
manifestações, manifestaçõ
pelo, pelo
aniversário, aniversário
do, do
acidente, acident
., .

, 

A, a
morte, mort
de, de
Senna, senna
provocou, provoc
a, a
maior, maior
comoção, comoção
popular, popular
da, da
história, história
recente, recent
do, do
Brasil, brasil
e, e
foi, foi
,, ,
provavelmente, provavelment
,, ,
a, a
de, de
maior, maior
repercussão, repercussão
internacional, internacion
., .

, 

Isso, isso
é, é
notícia, notícia
., .

, 

