Embalado, ﻿embalado
-, -
Ivan, ivan
Silva, silva

, 

Local, local
:, :
Pacaembu, pacaembu

, 

Horário:18h, horário:18h

, 

NA, na
TV, tv
:, :
Ao, ao
vivo, vivo
,, ,
na, na
Gazeta, gazeta

, 

