Um, ﻿um
entrar, entrar
no, no
time, time
o, o
seu, seu
quarto, quarto
atacante, atacant
., .

, 

Resultado, resultado
:, :
o, o
Ajax, ajax
,, ,
que, que
no, no
primeiro, primeiro
tempo, tempo
não, não
havia, havia
chutado, chutado
nem, nem
uma, uma
bola, bola
sequer, sequer
em, em
gol, gol
,, ,
contra, contra
três, trê
chutes, chute
do, do
Milan, milan
,, ,
acabou, acab
o, o
jogo, jogo
com, com
número, número
igual, igual
:, :
quatro, quatro
., .

, 

Com, com
uma, uma
diferença, diferença
:, :
um, um
dos, do
seus, seu
chutes, chute
entrou, entrou
., .

, 

Não, não
há, há
o, o
que, que
contestar, contestar
:, :
apesar, apesar
de, de
um, um
primeiro, primeiro
tempo, tempo
em, em
que, que
o, o
time, time
ficou, ficou
muito, muito
estático, estático
,, ,
o, o
Ajax, ajax
mandou, mandou
no, no
segundo, segundo
,, ,
que, que
é, é
a, a
fase, fase
decisiva, decisiva
dos, do
jogos, jogo
., .

, 

A, a
bola, bola
esteve, estev
com, com
o, o
time, time
holandês, holandê
65, 65
%, %
do, do
tempo, tempo
., .
Com, com
o, o
Milan, milan
,, ,
apenas, apena
44, 44
%, %
., .

, 

Os, os
teens, teen
negros, negro
de, de
Amsterdã, amsterdã
conquistaram, conquistaram
,, ,
depois, depoi
de, de
22, 22
anos, ano
,, ,
a, a
quarta, quarta
Copa, copa
dos, do
Campeões, campeõ
para, para
o, o
Ajax, ajax
(, (
as, as
outras, outra
foram, foram
em, em
71, 71
,, ,
72, 72
,, ,
73, 73
,, ,
na, na
era, era
Cruyff, cruyff
), )
., .

, 

É, é
a, a
sexta, sexta
Copa, copa
dos, do
Campeões, campeõ
que, que
vai, vai
para, para
a, a
Holanda, holanda
., .
Com, com
a, a
derrota, derrota
,, ,
o, o
Milan, milan
deixa, deixa
de, de
dar, dar
à, à
Itália, itália
o, o
recorde, record
de, de
Copas, copa
(, (
tem, tem
oito, oito
,, ,
junto, junto
com, com
a, a
Inglaterra, inglaterra
), )
., .

, 

É, é
a, a
primeira, primeira
vez, vez
que, que
dois, doi
irmãos, irmão
(, (
e, e
ainda, ainda
por, por
cima, cima
gêmeos, gêmeo
), )
ganham, ganham
a, a
Copa, copa
:, :
Ronald, ronald
e, e
Frank, frank
de, de
Boer, boer
., .
Também, também
é, é
a, a
primeira, primeira
vez, vez
que, que
nigerianos, nigeriano
vencem, vencem
., .

, 

(, (
Além, além
de, de
Kanu, kanu
,, ,
Finidi, finidi
George, georg
também, também
é, é
nigeriano, nigeriano
;, ;
apesar, apesar
de, de
não, não
fazer, fazer
frio, frio
,, ,
foram, foram
os, os
únicos, único
a, a
jogar, jogar
de, de
mangas, manga
compridas, comprida
), )
., .

, 

Foi, foi
a, a
vitória, vitória
de, de
quem, quem
quis, qui
ganhar, ganhar
:, :
Van, van
Gaal, gaal
tinha, tinha
três, trê
atacantes, atacant
no, no
time, time
e, e
três, trê
no, no
banco, banco
., .
No, no
segundo, segundo
tempo, tempo
,, ,
pôs, pô
quatro, quatro
atacantes, atacant
em, em
campo, campo
., .
Arriscou, arrisc
e, e
venceu, venceu
., .

, 

AJAX, ajax
1, 1

, 

Van, van
der, der
Sar, sar
;, ;
Reiziger, reizig
,, ,
Blind, blind
,, ,
Rijkaard, rijkaard
e, e
Frank, frank
de, de
Boer, boer
;, ;
Seedorf, seedorf
(, (
Kanu, kanu
), )
,, ,
George, georg
e, e
Davids, david
;, ;
Ronald, ronald
de, de
Boer, boer
,, ,
Litmanen, litmanen
(, (
Kluivert, kluivert
), )
e, e
Overmars, overmar
., .
Técnico, técnico
-, -
Van, van
Gaal, gaal

, 

MILAN, milan
0, 0

, 

Rossi, rossi
;, ;
Panucci, panucci
,, ,
Maldini, maldini
,, ,
Albertini, albertini
e, e
Costacurta, costacurta
;, ;
Baresi, baresi
,, ,
Donadoni, donadoni
,, ,
Desailly, desailli
e, e
Massaro, massaro
(, (
Eranio, eranio
), )
;, ;
Boban, boban
(, (
Lentini, lentini
), )
e, e
Simone, simon
., .
Técnico, técnico
-, -
Capello, capello

, 

Local, local
:, :
estádio, estádio
Ernst, ernst
Happel, happel
,, ,
em, em
Viena, viena
,, ,
Áustria, áustria

, 

Público, público
:, :
49.730, 49.730
pagantes, pagant

, 

Gol, gol
:, :
Kluivert, kluivert
,, ,
aos, ao
40min, 40min
do, do
segundo, segundo
tempo, tempo

, 

