A, ﻿a
Tupãzinho, tupãzinho
., .
Na, na
sexta-feira, sexta-feira
à, à
noite, noit
,, ,
o, o
médico, médico
Joaquim, joaquim
Grava, grava
disse, diss
que, que
o, o
jogador, jogador
tinha, tinha
5, 5
%, %
de, de
chances, chanc
de, de
jogar, jogar
., .
Sua, sua
esperança, esperança
se, se
baseava, baseava
apenas, apena
na, na
", "
enorme, enorm
capacidade, capacidad
de, de
recuperação, recuperação
do, do
Casa, casa
", "
., .
", "
Conheço, conheço
ele, ele
desde, desd
os, os
12, 12
anos, ano
", "
,, ,
acrescentou, acrescent
., .

, 

Com, com
ou, ou
sem, sem
Casagrande, casagrand
,, ,
Riul, riul
espera, espera
que, que
o, o
ataque, ataqu
se, se
mova, mova
o, o
tempo, tempo
todo, todo
,, ,
confundindo, confundindo
a, a
defesa, defesa
e, e
abrindo, abrindo
espaço, espaço
para, para
os, os
jogadores, jogador
de, de
meio, meio
., .
Hoje, hoje
à, à
tarde, tard
,, ,
se, se
saberá, saberá
o, o
quanto, quanto
disso, disso
vai, vai
acontecer, acontec
., .

, 

