O, ﻿o
milhão, milhão
de, de
pessoas, pessoa
para, para
as, as
ruas, rua
., .

, 

Na, na
orla, orla
,, ,
as, as
atrações, atraçõ
serão, serão
os, os
trios, trio
elétricos, elétrico
., .
Pelo, pelo
menos, meno
dez, dez
deles, dele
vão, vão
dividir, dividir
as, as
atenções, atençõ
com, com
60, 60
agremiações, agremiaçõ
,, ,
numa, numa
festa, festa
que, que
promete, promet
unir, unir
o, o
frevo, frevo
e, e
a, a
axé, axé
music, music
., .
A, a
folia, folia
na, na
praia, praia
começa, começa
mais, mai
cedo, cedo
,, ,
no, no
dia, dia
6, 6
,, ,
a, a
partir, partir
das, da
19h, 19h
., .

, 

Quem, quem
pensa, pensa
em, em
vir, vir
para, para
Recife, recif
e, e
ainda, ainda
não, não
tem, tem
onde, ond
ficar, ficar
,, ,
é, é
bom, bom
se, se
preparar, preparar
., .
Os, os
hotéis, hotéi
já, já
estão, estão
lotados, lotado
–, –
boa, boa
parte, part
com, com
apartamentos, apartamento
bloqueados, bloqueado
pelas, pela
agências, agência
de, de
viagens, viagen
e, e
operadoras, operadora
–, –
e, e
com, com
excesso, excesso
de, de
reservas, reserva
., .
São, são
cerca, cerca
16, 16
mil, mil
leitos, leito
totalmente, totalment
tomados, tomado
,, ,
segundo, segundo
o, o
presidente, president
da, da
seção, seção
pernambucana, pernambucana
da, da
Associação, associação
Brasileira, brasileira
da, da
Indústria, indústria
Hoteleira, hoteleira
,, ,
Eduardo, eduardo
Barbosa, barbosa
de, de
Moraes, mora
,, ,
45, 45
., .

, 

A, a
solução, solução
para, para
quem, quem
chega, chega
à, à
cidade, cidad
sem, sem
estar, estar
atrelado, atrelado
a, a
um, um
pacote, pacot
turístico, turístico
que, que
garanta, garanta
hospedagem, hospedagem
é, é
procurar, procurar
pelos, pelo
albergues, albergu
ou, ou
apartamentos, apartamento
de, de
temporada, temporada
., .
Quitinetes, quitinet
e, e
imóveis, imóvei
com, com
dois, doi
quartos, quarto
,, ,
porém, porém
,, ,
já, já
não, não
estão, estão
disponíveis, disponívei
., .
Sobram, sobram
os, os
de, de
três, trê
e, e
quatro, quatro
quartos, quarto
,, ,
alugados, alugado
em, em
Boa, boa
Viagem, viagem
por, por
preços, preço
que, que
variam, variam
de, de
US$, us$
800, 800
a, a
US$, us$
1.500, 1.500
(, (
CR$, cr$
328, 328
mil, mil
a, a
CR$, cr$
615, 615
mil, mil
), )
por, por
mês, mê
,, ,
dependendo, dependendo
da, da
localização, localização
., .

, 

PREVINA-SE, previna-s
-, -
A, a
Delegacia, delegacia
do, do
Turista, turista
recomenda, recomenda
que, que
as, as
pessoas, pessoa
evitem, evitem
se, se
afastar, afastar
dos, do
corredores, corredor
da, da
folia, folia
,, ,
áreas, área
em, em
que, que
haverá, haverá
policiamento, policiamento
intensivo, intensivo
., .
Na, na
praia, praia
de, de
Boa, boa
Viagem, viagem
,, ,
a, a
orientação, orientação
é, é
para, para
que, que
sejam, sejam
evitadas, evitada
as, as
ruas, rua
transversais, transversai
., .
No, no
centro, centro
da, da
cidade, cidad
,, ,
os, os
turistas, turista
devem, devem
manter, manter
distância, distância
das, da
áreas, área
próximas, próxima
ao, ao
Mercado, mercado
São, são
José, josé
,, ,
Cais, cai
de, de
Santa, santa
Rita, rita
e, e
praça, praça
Sérgio, sérgio
Loreto, loreto
., .
A, a
Delegacia, delegacia
do, do
Turista, turista
funciona, funciona
em, em
Boa, boa
Viagem, viagem
,, ,
na, na
rua, rua
Navegantes, navegant
,, ,
1.003, 1.003
,, ,
tel., tel.
(, (
081, 081
), )
326-9603, 326-9603
., .

, 

