Só, ﻿só
/, /
Parmalat, parmalat
teria, teria
sido, sido
o, o
motivo, motivo
,, ,
amplificado, amplificado
pelas, pela
declarações, declaraçõ
à, à
Folha, folha
de, de
Chiarotti, chiarotti
de, de
que, que
a, a
equipe, equip
não, não
tinha, tinha
se, se
preparado, preparado
e, e
não, não
tinha, tinha
condições, condiçõ
para, para
conquistar, conquistar
o, o
título, título
., .

, 

O, o
Palmeiras, palmeira
promoveu, promoveu
às, às
pressas, pressa
Nílton, nílton
Pinto, pinto
Barbosa, barbosa
,, ,
técnico, técnico
do, do
infantil, infantil
e, e
do, do
juvenil, juvenil
,, ,
para, para
dirigir, dirigir
o, o
time, time
de, de
juniores, junior
., .
Suas, sua
declarações, declaraçõ
seguiram, seguiram
na, na
contramão, contramão
de, de
Chiarotti, chiarotti
., .
", "
Eu, eu
conheço, conheço
e, e
acredito, acredito
neste, nest
grupo, grupo
do, do
Palmeiras, palmeira
", "
,, ,
disse, diss
desde, desd
o, o
seu, seu
início, início
no, no
comando, comando
,, ,
poucas, pouca
horas, hora
antes, ant
da, da
partida, partida
de, de
estréia, estréia
contra, contra
o, o
Criciúma, criciúma
., .

, 

Para, para
ele, ele
,, ,
o, o
grande, grand
desafio, desafio
vai, vai
se, se
resumir, resumir
ao, ao
jogo, jogo
de, de
hoje, hoje
., .
", "
Creio, creio
que, que
o, o
Londrina, londrina
deve, deve
vir, vir
mais, mai
tranquilo, tranquilo
que, que
o, o
Guarani, guarani
e, e
temos, temo
a, a
obrigação, obrigação
de, de
vencer, vencer
porque, porqu
jogamos, jogamo
em, em
casa, casa
., .
Já, já
vimos, vimo
alguns, algun
jogos, jogo
deles, dele
em, em
vídeo, vídeo
e, e
temos, temo
que, que
assegurar, assegurar
a, a
vaga, vaga
hoje, hoje
", "
,, ,
afirmou, afirm
., .

, 

Ele, ele
vai, vai
manter, manter
,, ,
mais, mai
uma, uma
vez, vez
,, ,
o, o
mesmo, mesmo
time, time
inicial, inici
dos, do
jogos, jogo
anteriores, anterior
,, ,
guardando, guardando
alguns, algun
jogadores, jogador
no, no
banco, banco
para, para
ter, ter
opções, opçõ
táticas, tática
durante, durant
o, o
decorrer, decorr
da, da
partida, partida
., .
", "
Ainda, ainda
estamos, estamo
buscando, buscando
um, um
melhor, melhor
entrosamento, entrosamento
entre, entr
os, os
jogadores, jogador
e, e
é, é
importante, important
mantermos, mantermo
a, a
mesma, mesma
base, base
", "
,, ,
disse, diss
Niltinho, niltinho
., .

, 

O, o
técnico, técnico
Canhoto, canhoto
,, ,
do, do
Londrina, londrina
,, ,
disse, diss
que, que
vai, vai
manter, manter
o, o
mesmo, mesmo
esquema, esquema
de, de
marcação, marcação
por, por
zona, zona
na, na
metade, metad
do, do
campo, campo
e, e
ataques, ataqu
rápidos, rápido
com, com
a, a
dupla, dupla
Agnaldo, agnaldo
,, ,
artilheiro, artilheiro
da, da
Copa, copa
com, com
oito, oito
gols, gol
e, e
,, ,
César, césar
(, (
ex-Palmeiras, ex-palmeira
), )
,, ,
que, que
ainda, ainda
não, não
marcou, marcou
., .
", "
O, o
César, césar
marca, marca
gols, gol
também, também
,, ,
mas, ma
está, está
levando, levando
muito, muito
azar, azar
", "
,, ,
disse, diss
Canhoto, canhoto
., .
Na, na
Copa, copa
Londrina, londrina
de, de
Juniores, junior
,, ,
César, césar
foi, foi
o, o
artilheiro, artilheiro
com, com
sete, sete
gols, gol
., .

, 

A, a
equipe, equip
do, do
Londrina, londrina
é, é
uma, uma
das, da
mais, mai
altas, alta
da, da
competição, competição
., .
", "
A, a
média, média
de, de
altura, altura
é, é
de, de
1,83, 1,83
m, m
,, ,
1,84, 1,84
m, m
", "
,, ,
diz, diz
o, o
técnico, técnico
., .
Por, por
isso, isso
,, ,
o, o
time, time
quase, quas
não, não
sofre, sofr
gols, gol
de, de
cabeça, cabeça
., .
", "
O, o
primeiro, primeiro
gol, gol
do, do
São, são
Paulo, paulo
sobre, sobr
a, a
gente, gent
foi, foi
uma, uma
exceção, exceção
., .
Foi, foi
uma, uma
desatenção, desatenção
que, que
não, não
é, é
comum, comum
., .
Até, até
me, me
deixou, deixou
chateado, chateado
., .
", "
Canhoto, canhoto
credita, credita
a, a
única, única
derrota, derrota
em, em
parte, part
ao, ao
fato, fato
de, de
nunca, nunca
ter, ter
visto, visto
um, um
jogo, jogo
do, do
São, são
Paulo, paulo
antes, ant
., .
", "
Eu, eu
ainda, ainda
não, não
os, os
conhecia, conhecia
., .
", "

, 

PALMEIRAS, palmeira

, 

Marcelo, marcelo
;, ;
Ferreira, ferreira
,, ,
Moraes, mora
,, ,
Oswaldo, oswaldo
e, e
Verdinho, verdinho
;, ;
Amaral, amar
,, ,
Flávio, flávio
e, e
André, andré
Chaves, chave
;, ;
César, césar
,, ,
Magrão, magrão
e, e
Ângelo, ângelo
., .
Técnico, técnico
-, -
Niltinho, niltinho

, 

LONDRINA, londrina

, 

Zé, zé
Humberto, humberto
;, ;
Varta, varta
,, ,
Oséias, oséia
,, ,
Binho, binho
e, e
Vanderlei, vanderlei
;, ;
Volmar, volmar
,, ,
Alemão, alemão
,, ,
Tião, tião
e, e
Fábio, fábio
;, ;
Agnaldo, agnaldo
e, e
César, césar
., .
Técnico, técnico
-, -
Canhoto, canhoto

, 

Local, local
:, :
Parque, parqu
Antactica, antactica

, 

Horário, horário
:, :
17h, 17h

, 

Juiz, juiz
:, :
Joaquim, joaquim
Carlos, carlo
Caetano, caetano

, 

NA, na
TV, tv
:, :
TV, tv
Gazeta, gazeta
,, ,
ao, ao
vivo, vivo

, 

