Os, ﻿o
Riul, riul
-, -
Sim, sim
., .
Gosto, gosto
de, de
jogar, jogar
com, com
dois, doi
volantes, volant
., .
Desta, desta
maneira, maneira
,, ,
a, a
defesa, defesa
fica, fica
bem, bem
protegida, protegida
e, e
os, os
laterais, laterai
ganham, ganham
maior, maior
liberdade, liberdad
para, para
apoiarem, apoiarem
o, o
ataque, ataqu
., .

, 

Folha, folha
-, -
A, a
marcação, marcação
é, é
essencial, essenci
?, ?

, 

Riul, riul
-, -
Sem, sem
dúvida, dúvida
., .
No, no
futebol, futebol
atual, atual
todos, todo
devem, devem
defender, defend
e, e
atacar, atacar
., .
Independente, independent
da, da
sua, sua
posição, posição
., .
Ninguém, ninguém
tem, tem
posição, posição
fixa, fixa
., .
A, a
velocidade, velocidad
no, no
modo, modo
de, de
jogar, jogar
é, é
algo, algo
que, que
todo, todo
time, time
precisa, precisa
ter, ter
., .

, 

Folha, folha
-, -
Mas, ma
não, não
se, se
trata, trata
de, de
um, um
esquema, esquema
de, de
retranca, retranca
?, ?

, 

Riul, riul
-, -
De, de
maneira, maneira
nenhuma, nenhuma
., .
Sou, sou
adepto, adepto
do, do
futebol, futebol
arte, art
., .
Do, do
jogo, jogo
para, para
frente, frent
., .
Mas, ma
não, não
é, é
possível, possível
,, ,
atualmente, atualment
,, ,
jogar, jogar
e, e
deixar, deixar
os, os
outros, outro
jogarem, jogarem
., .
O, o
ideal, ideal
é, é
jogar, jogar
e, e
,, ,
usando, usando
da, da
marcação, marcação
,, ,
não, não
deixar, deixar
que, que
os, os
outros, outro
joguem, joguem
., .

, 

Folha, folha
-, -
O, o
senhor, senhor
ainda, ainda
não, não
trabalhou, trabalh
em, em
times, time
grandes, grand
., .
Como, como
será, será
o, o
convívio, convívio
com, com
jogadores, jogador
que, que
já, já
atuaram, atuaram
em, em
seleção, seleção
brasileira, brasileira
?, ?

, 

Riul, riul
-, -
Será, será
normal, normal
., .
Não, não
acredito, acredito
que, que
tenhamos, tenhamo
problemas, problema
,, ,
porque, porqu
trabalho, trabalho
com, com
muita, muita
tranquilidade, tranquilidad
e, e
honestidade, honestidad
., .
Procuro, procuro
usar, usar
de, de
sensibilidade, sensibilidad
e, e
de, de
muita, muita
habilidade, habilidad
para, para
não, não
ferir, ferir
o, o
sentimento, sentimento
de, de
cada, cada
profissional, profission
e, e
conseguir, conseguir
,, ,
que, que
cada, cada
atleta, atleta
,, ,
renda, renda
o, o
máximo, máximo
para, para
o, o
time, time
., .

, 

Folha, folha
-, -
O, o
Dener, dener
deve, deve
ser, ser
contratado, contratado
., .
Ele, ele
é, é
considerado, considerado
um, um
jogador, jogador
indisciplinado, indisciplinado
., .

, 

Riul, riul
-, -
Ele, ele
é, é
um, um
grande, grand
jogador, jogador
., .
Seria, seria
ótimo, ótimo
tê-lo, tê-lo
no, no
time, time
., .
Acredito, acredito
que, que
só, só
por, por
estar, estar
no, no
Corinthians, corinthian
,, ,
isto, isto
já, já
seria, seria
uma, uma
motivação, motivação
a, a
mais, mai
para, para
ele, ele
., .
Tenho, tenho
certeza, certeza
de, de
que, que
o, o
Dener, dener
terá, terá
uma, uma
grande, grand
passagem, passagem
pelo, pelo
Corinthians, corinthian
,, ,
caso, caso
seja, seja
contratado, contratado
., .

, 

Folha, folha
-, -
Você, você
esteve, estev
na, na
reserva, reserva
da, da
Ponte, pont
Preta, preta
na, na
histórica, histórica
final, final
de, de
77, 77
., .
E, e
foi, foi
palmeirense, palmeirens
na, na
infância, infância
?, ?

, 

Riul, riul
-, -
(, (
Risos, riso
), )
Nossa, nossa
,, ,
não, não
brinca, brinca
com, com
isso, isso
., .
Sou, sou
corintiano, corintiano
desde, desd
criançinha, criançinha
(, (
risos, riso
), )
., .
Na, na
verdade, verdad
,, ,
conheci, conheci
a, a
força, força
da, da
torcida, torcida
naquela, naquela
época, época
e, e
pretendo, pretendo
usá-la, usá-la
para, para
motivar, motivar
os, os
jogadores, jogador
., .

, 

