Os, ﻿o
poderia, poderia
andar, andar
., .
'', ''

, 

`, `
`, `
Aqui, aqui
,, ,
você, você
só, só
pode, pode
dar, dar
100, 100
%, %
quando, quando
o, o
carro, carro
permite, permit
., .
Não, não
vou, vou
forçar, forçar
a, a
barra, barra
e, e
acabar, acabar
no, no
muro, muro
., .
É, é
preciso, preciso
ter, ter
muita, muita
paciência, paciência
neste, nest
momento, momento
'', ''
,, ,
afirmou, afirm
o, o
piloto, piloto
., .

, 

Contando, contando
com, com
o, o
dia, dia
de, de
hoje, hoje
,, ,
os, os
competidores, competidor
têm, têm
mais, mai
dois, doi
dias, dia
para, para
acertarem, acertarem
seus, seu
carros, carro
para, para
o, o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
no, no
sábado, sábado
., .

, 

Trata-se, trata-s
do, do
primeiro, primeiro
treino, treino
classificatório, classificatório
para, para
a, a
formação, formação
do, do
grid, grid
de, de
largada, largada
das, da
500, 500
Milhas, milha
., .

, 

No, no
`, `
`, `
pole, pole
day, day
'', ''
são, são
definidos, definido
os, os
primeiros, primeiro
carros, carro
do, do
grid, grid
., .
No, no
total, total
,, ,
33, 33
carros, carro
,, ,
distribuídos, distribuído
em, em
11, 11
fileiras, fileira
,, ,
darão, darão
a, a
largada, largada
no, no
oval, oval
de, de
2,5, 2,5
milhas, milha
(, (
cerca, cerca
de, de
quatro, quatro
4, 4
km, km
), )
,, ,
no, no
dia, dia
28, 28
., .

, 

`, `
`, `
É, é
importante, important
obter, obter
a, a
classificação, classificação
no, no
primeiro, primeiro
dia, dia
para, para
poder, poder
andar, andar
na, na
semana, semana
seguinte, seguint
se, se
preocupando, preocupando
apenas, apena
com, com
a, a
corrida, corrida
,, ,
testando, testando
o, o
carro, carro
de, de
tanque, tanqu
cheio, cheio
e, e
no, no
tráfego, tráfego
'', ''
,, ,
afirmou, afirm
Mauricio, mauricio
Gugelmin, gugelmin
,, ,
da, da
Pacwest, pacwest
., .

, 

`, `
`, `
Vencer, vencer
aqui, aqui
é, é
mais, mai
importante, important
que, que
ser, ser
campeão, campeão
da, da
temporada, temporada
., .
Quero, quero
treinar, treinar
o, o
máximo, máximo
que, que
puder, puder
'', ''
,, ,
disse, diss
Emerson, emerson
Fittipaldi, fittipaldi
,, ,
brasileiro, brasileiro
duas, dua
vezes, veze
vencedor, vencedor
em, em
Indianápolis, indianápoli
(, (
em, em
89, 89
e, e
93, 93
), )
., .
(, (
MT, mt
), )

, 

