Um, ﻿um
no, no
grid, grid
imediatamente, imediatament
posterior, posterior
ao, ao
último, último
classificado, classificado
do, do
`, `
`, `
pole, pole
day, day
'', ''
,, ,
mesmo, mesmo
que, que
seu, seu
tempo, tempo
seja, seja
superior, superior
até, até
ao, ao
do, do
pole, pole
position, posit
., .

, 

Ou, ou
seja, seja
,, ,
a, a
única, única
posição, posição
garantida, garantida
é, é
a, a
do, do
pole, pole
position, posit
,, ,
definida, definida
ontem, ontem
no, no
pole, pole
day, day
(, (
dia, dia
do, do
pole, pole
), )
., .

, 

Completadas, completada
as, as
33, 33
vagas, vaga
,, ,
ocorrem, ocorrem
as, as
outras, outra
duas, dua
repescagens, repescagen
,, ,
no, no
final, final
de, de
semana, semana
que, que
vem, vem
., .

, 

Aí, aí
,, ,
os, os
carros, carro
mais, mai
lentos, lento
,, ,
que, que
conseguiram, conseguiram
as, as
últimas, última
colocações, colocaçõ
no, no
grid, grid
provisório, provisório
,, ,
correm, correm
o, o
risco, risco
de, de
serem, serem
eliminados, eliminado
., .

, 

Se, se
um, um
piloto, piloto
faz, faz
média, média
superior, superior
à, à
do, do
mais, mai
lento, lento
do, do
grid, grid
,, ,
este, est
último, último
cai, cai
fora, fora
_, _
esteja, esteja
ele, ele
na, na
posição, posição
que, que
estiver, estiv
_, _
e, e
o, o
novo, novo
classificado, classificado
passa, passa
a, a
ocupar, ocupar
a, a
33ª, 33ª
vaga, vaga
do, do
grid, grid
., .

, 

Por, por
esse, ess
motivo, motivo
,, ,
quem, quem
fizer, fizer
,, ,
já, já
no, no
`, `
`, `
pole, pole
day, day
'', ''
,, ,
uma, uma
boa, boa
média, média
,, ,
praticamente, praticament
garante, garant
seu, seu
lugar, lugar
na, na
corrida, corrida
., .

, 

Esta, esta
é, é
a, a
estratégia, estratégia
dos, do
brasileiros, brasileiro
em, em
geral, geral
,, ,
mas, ma
principalmente, principalment
de, de
Mauricio, mauricio
Gugelmin, gugelmin
,, ,
o, o
mais, mai
rápidos, rápido
entre, entr
os, os
corredores, corredor
do, do
Brasil, brasil
nos, no
treinos, treino
livres, livr
_, _
não, não
classificatórios, classificatório
_, _
desta, desta
semana, semana
., .

, 

A, a
partir, partir
de, de
amanhã, amanhã
,, ,
o, o
carro, carro
principal, princip
do, do
piloto, piloto
deve, deve
ficar, ficar
na, na
sede, sede
da, da
Pacwest, pacwest
,, ,
localizada, localizada
em, em
Indianápolis, indianápoli
(, (
meio-oeste, meio-oest
dos, do
EUA, eua
), )
., .

, 

Apenas, apena
o, o
carro, carro
reserva, reserva
será, será
usado, usado
para, para
testes, test
,, ,
visando, visando
à, à
preparação, preparação
para, para
a, a
corrida, corrida
., .

, 

`, `
`, `
Aqui, aqui
em, em
Indianápolis, indianápoli
,, ,
quem, quem
se, se
classifica, classifica
é, é
o, o
carro, carro
,, ,
não, não
o, o
piloto, piloto
., .
Por, por
isso, isso
,, ,
não, não
podemos, podemo
correr, correr
o, o
risco, risco
de, de
perder, perder
num, num
treino, treino
livre, livr
um, um
carro, carro
já, já
classificado, classificado
'', ''
,, ,
afirmou, afirm
Gugelmin, gugelmin
., .

, 

Todas, toda
os, os
ajustes, ajust
que, que
forem, forem
feitos, feito
no, no
carro, carro
reserva, reserva
de, de
Gugelmin, gugelmin
também, também
serão, serão
realizados, realizado
no, no
carro, carro
principal, princip
,, ,
a, a
ser, ser
usado, usado
na, na
prova, prova
., .

, 

A, a
equipe, equip
Tasman, tasman
,, ,
do, do
também, também
brasileiro, brasileiro
André, andré
Ribeiro, ribeiro
,, ,
vai, vai
ainda, ainda
mais, mai
longe, long
., .

, 

Depois, depoi
que, que
o, o
brasileiro, brasileiro
se, se
tornou, tornou
o, o
mais, mai
rápido, rápido
`, `
`, `
rookie, rooki
'', ''
(, (
iniciante, iniciant
), )
da, da
história, história
de, de
Indianápolis, indianápoli
,, ,
a, a
escuderia, escuderia
pretende, pretend
acertar, acertar
o, o
carro, carro
principal, princip
para, para
as, as
500, 500
Milhas, milha
no, no
início, início
da, da
semana, semana
., .

, 

O, o
carro, carro
reserva, reserva
seria, seria
levado, levado
para, para
Milwaukee, milwauke
(, (
norte, nort
dos, do
EUA, eua
), )
., .

, 

Lá, lá
,, ,
o, o
time, time
já, já
faria, faria
os, os
primeiros, primeiro
testes, test
para, para
a, a
sétima, sétima
etapa, etapa
da, da
Indy, indi
,, ,
marcada, marcada
para, para
o, o
dia, dia
4, 4
de, de
junho, junho
no, no
circuito, circuito
oval, oval
daquela, daquela
cidade, cidad
., .

, 

A, a
situação, situação
de, de
Emerson, emerson
Fittipaldi, fittipaldi
,, ,
duas, dua
vezes, veze
vencedor, vencedor
das, da
500, 500
Milhas, milha
,, ,
é, é
bem, bem
diferente, diferent
., .

, 

`, `
`, `
A, a
partir, partir
de, de
segunda-feira, segunda-feira
,, ,
vamos, vamo
trabalhar, trabalhar
para, para
acertar, acertar
o, o
carro, carro
'', ''
,, ,
contou, contou
ele, ele
., .

, 

`, `
`, `
Andar, andar
de, de
tanque, tanqu
cheio, cheio
e, e
preparar, preparar
para, para
a, a
corrida, corrida
,, ,
só, só
se, se
for, for
no, no
finalzinho, finalzinho
da, da
semana, semana
'', ''
,, ,
completou, complet
o, o
brasileiro, brasileiro
., .

, 

LIGUE, ligu

, 

para, para
o, o
Folha, folha
Informações, informaçõ
Esporte, esport
,, ,
900-0316, 900-0316
,, ,
e, e
saiba, saiba
quem, quem
fez, fez
a, a
pole, pole
position, posit
das, da
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
., .
A, a
ligação, ligação
custa, custa
R$, r$
1,17, 1,17
por, por
minuto, minuto
e, e
o, o
serviço, serviço
funciona, funciona
em, em
todo, todo
o, o
Estado, estado
de, de
São, são
Paulo, paulo

, 

NA, na
TV, tv

, 

SBT, sbt
,, ,
programa, programa
especial, especi
sobre, sobr
a, a
Indy, indi
,, ,
às, às
8h30, 8h30

, 

