O, ﻿o
isso, isso
antes, ant
de, de
essa, essa
história, história
da, da
transferência, transferência
para, para
a, a
Espanha, espanha
confundir-lhe, confundir-lh
as, as
ações, açõ
,, ,
os, os
sentimentos, sentimento
e, e
os, os
pensamentos, pensamento
,, ,
como, como
diria, diria
o, o
poetinha, poetinha
., .
Sim, sim
,, ,
porque, porqu
sua, sua
vertiginosa, vertiginosa
queda, queda
de, de
produção, produção
,, ,
da, da
Copa, copa
até, até
aqui, aqui
,, ,
só, só
pode, pode
ser, ser
creditada, creditada
ao, ao
conflito, conflito
causado, causado
pela, pela
expectativa, expectativa
de, de
sua, sua
saída, saída
., .
Entre, entr
o, o
desejo, desejo
de, de
viver, viver
sua, sua
vidinha, vidinha
de, de
zona, zona
leste, lest
,, ,
rei, rei
do, do
Parque, parqu
,, ,
e, e
colher, colher
um, um
pote, pote
de, de
ouro, ouro
ao, ao
pé, pé
do, do
arco-íris, arco-íri
,, ,
o, o
coração, coração
corintiano, corintiano
e, e
paroquial, paroqui
de, de
Viola, viola
balança, balança
ainda, ainda
., .
Não, não
fosse, foss
isso, isso
,, ,
e, e
teríamos, teríamo
aquele, aquel
mesmo, mesmo
espetáculo, espetáculo
de, de
antes, ant
da, da
Copa, copa
:, :
antes, ant
de, de
tudo, tudo
um, um
goleador, goleador
,, ,
capaz, capaz
,, ,
também, também
,, ,
de, de
adornar, adornar
suas, sua
jogadas, jogada
com, com
lances, lanc
de, de
inventiva, inventiva
originalidade, originalidad
,, ,
além, além
de, de
derramar, derramar
sangue, sangu
e, e
suor, suor
pelo, pelo
gramado, gramado
., .
Para, para
arrematar, arrematar
,, ,
as, as
coreografias, coreografia
que, que
se, se
seguiam, seguiam
a, a
cada, cada
gol, gol
,, ,
coletivas, coletiva
,, ,
como, como
a, a
enfatizar, enfatizar
seu, seu
espírito, espírito
de, de
corintiana, corintiana
solidariedade, solidariedad
., .

, 

Partem, partem
Edmundo, edmundo
e, e
Viola, viola
., .
Mas, ma
ambos, ambo
deixam, deixam
a, a
certeza, certeza
de, de
que, que
ainda, ainda
há, há
lugar, lugar
para, para
a, a
individualidade, individualidad
neste, nest
futebol, futebol
que, que
tanto, tanto
flerta, flerta
com, com
a, a
robotização, robotização
., .

, 

O, o
Japão, japão
não, não
faz, faz
mal, mal
apenas, apena
ao, ao
orgulho, orgulho
norte-americano, norte-americano
., .
Em, em
muitos, muito
casos, caso
,, ,
tem, tem
desviado, desviado
nossos, nosso
craques, craqu
de, de
seu, seu
destino, destino
., .
Digo, digo
isso, isso
pensando, pensando
em, em
Bentinho, bentinho
,, ,
que, que
,, ,
se, se
não, não
tivesse, tivess
vivido, vivido
o, o
hiato, hiato
japonês, japonê
;, ;
se, se
tivesse, tivess
se, se
transferido, transferido
direto, direto
da, da
Lusa, lusa
para, para
o, o
tricolor, tricolor
,, ,
por, por
certo, certo
,, ,
se, se
anteciparia, anteciparia
a, a
Túlio, túlio
na, na
seleção, seleção
,, ,
e, e
hoje, hoje
seria, seria
xodó, xodó
do, do
Zagallo, zagallo
., .
Isso, isso
porque, porqu
é, é
um, um
centroavante, centroavant
jovem, jovem
,, ,
com, com
mais, mai
recursos, recurso
técnicos, técnico
e, e
quase, quas
a, a
mesma, mesma
eficiência, eficiência
na, na
área, área
., .
Agora, agora
,, ,
terá, terá
de, de
cumprir, cumprir
um, um
caminho, caminho
mais, mai
tortuoso, tortuoso
., .
Talvez, talvez
,, ,
para, para
nunca, nunca
chegar, chegar
ao, ao
seu, seu
destino, destino
., .

, 

Alberto, alberto
Helena, helena
Jr., jr.
escreve, escrev
aos, ao
domingos, domingo
,, ,
segundas, segunda
e, e
quartas, quarta

, 

