A, ﻿a
para, para
fazer, fazer
o, o
quiser, quiser
,, ,
mas, ma
não, não
há, há
razão, razão
para, para
não, não
ousar, ousar
., .
'', ''

, 

Questionado, questionado
se, se
pode, pode
demitir, demitir
Luxemburgo, luxemburgo
em, em
caso, caso
de, de
derrota, derrota
para, para
o, o
Vasco, vasco
,, ,
o, o
dirigente, dirigent
respondeu, respondeu
:, :
`, `
`, `
Não, não
penso, penso
em, em
derrota, derrota
'', ''
., .

, 

O, o
técnico, técnico
_, _
no, no
clube, clube
desde, desd
janeiro, janeiro
_, _
disse, diss
que, que
`, `
`, `
o, o
mais, mai
importante, important
,, ,
depois, depoi
de, de
perder, perder
para, para
o, o
Fluminense, fluminens
,, ,
é, é
manter, manter
a, a
serenidade, serenidad
e, e
pensar, pensar
no, no
que, que
fazer, fazer
'', ''
., .

, 

Seus, seu
problemas, problema
se, se
concentram, concentram
na, na
defesa, defesa
., .
Já, já
está, está
no, no
terceiro, terceiro
goleiro, goleiro
no, no
campeonato, campeonato
(, (
Roger, roger
), )
,, ,
depois, depoi
do, do
fracasso, fracasso
de, de
Adriano, adriano
e, e
Émerson, émerson
., .

, 

Os, os
três, trê
jogadores, jogador
testados, testado
na, na
zaga, zaga
_, _
Jorge, jorg
Luís, luí
(, (
contratado, contratado
ao, ao
Guarani, guarani
), )
,, ,
Agnaldo, agnaldo
(, (
ao, ao
Grêmio, grêmio
), )
e, e
Gélson, gélson
(, (
revelado, revelado
no, no
Flamengo, flamengo
), )
_, _
têm, têm
falhado, falhado
seguidamente, seguidament
., .

, 

Após, apó
a, a
partida, partida
contra, contra
o, o
Fluminense, fluminens
,, ,
torcedores, torcedor
tentaram, tentaram
invadir, invadir
o, o
vestiário, vestiário
no, no
Maracanã, maracanã
para, para
agredir, agredir
jogadores, jogador
e, e
o, o
técnico, técnico
., .
O, o
treinador, treinador
de, de
goleiros, goleiro
Cantarelle, cantarel
foi, foi
atingido, atingido
com, com
socos, soco
e, e
pontapés, pontapé
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
do, do
Brasil, brasil
na, na
Copa, copa
do, do
Mundo, mundo
de, de
94, 94
,, ,
Branco, branco
,, ,
tem, tem
sido, sido
vaiado, vaiado
pela, pela
torcida, torcida
., .

, 

Outro, outro
tetracampeão, tetracampeão
novo, novo
no, no
clube, clube
,, ,
o, o
atacante, atacant
Romário, romário
,, ,
voltou, voltou
a, a
jogar, jogar
domingo, domingo
,, ,
após, apó
três, trê
semanas, semana
fora, fora
devido, devido
a, a
uma, uma
suposta, suposta
lesão, lesão
muscular, muscular
., .
Foi, foi
mal, mal
., .

, 

Ontem, ontem
,, ,
de, de
folga, folga
,, ,
Romário, romário
chegou, chegou
às, às
14h30, 14h30
ao, ao
quiosque, quiosqu
Viajandão, viajandão
,, ,
na, na
praia, praia
da, da
Barra, barra
da, da
Tijuca, tijuca
(, (
zona, zona
sul, sul
do, do
Rio, rio
), )
., .

, 

Ao, ao
contrário, contrário
do, do
que, que
costuma, costuma
fazer, fazer
,, ,
não, não
jogou, jogou
futevôlei, futevôlei
., .
Ficou, ficou
lá, lá
15, 15
minutos, minuto
,, ,
disse, diss
que, que
estava, estava
com, com
fome, fome
e, e
foi, foi
embora, embora
para, para
almoçar, almoçar
., .

, 

