Assim, ﻿assim
com, com
o, o
rádio, rádio
ligado, ligado
., .
Quando, quando
ouvi, ouvi
que, que
ele, ele
morrera, morrera
,, ,
deitei, deitei
no, no
banco, banco
de, de
trás, trá
e, e
comecei, comecei
a, a
chorar, chorar
., .
Senti, senti
um, um
vazio, vazio
por, por
dentro, dentro
., .

, 

A, a
coisa, coisa
de, de
que, que
me, me
lembro, lembro
melhor, melhor
foi, foi
,, ,
naquela, naquela
noite, noit
,, ,
um, um
comentário, comentário
de, de
Murray, murray
Walker, walker
,, ,
o, o
mais, mai
famoso, famoso
locutor, locutor
britânico, britânico
de, de
GPs, gp
:, :
`, `
Eu, eu
me, me
lembro, lembro
de, de
Ayrton, ayrton
Senna, senna
., .
E, e
é, é
terrível, terrível
ter, ter
que, que
usar, usar
essa, essa
palavra, palavra
., .
', '
Era, era
visível, visível
que, que
ele, ele
havia, havia
chorado, chorado
., .
Isso, isso
me, me
arrasou, arras
., .
'', ''
Leanne, leann
Winfield, winfield
,, ,
16, 16
,, ,
Leeds, leed
., .

, 

CANADÁ, canadá

, 

`, `
`, `
Quando, quando
Senna, senna
não, não
saiu, saiu
do, do
carro, carro
e, e
,, ,
pior, pior
,, ,
quando, quando
o, o
comissário, comissário
de, de
pista, pista
decidiu, decidiu
esperar, esperar
pelos, pelo
médicos, médico
,, ,
percebi, percebi
que, que
era, era
sério, sério
., .

, 

É, é
terrivelmente, terrivelment
injusto, injusto
que, que
eu, eu
tenha, tenha
aceitado, aceitado
tão, tão
rapidamente, rapidament
a, a
morte, mort
de, de
Ratzenberger, ratzenberg
e, e
tenha, tenha
ficado, ficado
tão, tão
chocado, chocado
com, com
a, a
de, de
Senna, senna
., .

, 

Nunca, nunca
imaginei, imaginei
que, que
teria, teria
um, um
vínculo, vínculo
tão, tão
forte, fort
com, com
outro, outro
piloto, piloto
depois, depoi
da, da
morte, mort
de, de
Gilles, gill
Villeneuve, villeneuv
., .
Mas, ma
aconteceu, aconteceu
e, e
ainda, ainda
dói, dói
., .
'', ''
Ferdinand, ferdinand
Trauttmansdorff, trauttmansdorff
,, ,
37, 37
,, ,
Ottawa, ottawa
., .

, 

HOLANDA, holanda

, 

`, `
`, `
Na, na
véspera, véspera
eu, eu
vira, vira
os, os
acidentes, acident
de, de
Ratzenberger, ratzenberg
e, e
Barrichello, barrichello
., .
Já, já
estava, estava
com, com
um, um
mau, mau
pressentimento, pressentimento
., .
Quando, quando
o, o
acidente, acident
ocorreu, ocorreu
,, ,
mal, mal
pude, pude
acreditar, acreditar
., .
Mas, ma
era, era
Senna, senna
,, ,
ele, ele
ia, ia
sair, sair
do, do
carro, carro
e, e
vencer, vencer
o, o
GP, gp
seguinte, seguint
., .

, 

Durante, durant
e, e
depois, depoi
da, da
corrida, corrida
,, ,
fiquei, fiquei
mudando, mudando
de, de
canal, canal
,, ,
à, à
procura, procura
de, de
notícias, notícia
., .
Alguns, algun
dias, dia
depois, depoi
,, ,
minha, minha
mulher, mulher
gravou, gravou
um, um
documentário, documentário
sobre, sobr
ele, ele
., .
Até, até
hoje, hoje
não, não
pude, pude
vê-lo, vê-lo
., .
'', ''
Marcel, marcel
van, van
Beuzekom, beuzekom
,, ,
27, 27
,, ,
Oosterhout, oosterhout
., .

, 

AUSTRÁLIA, austrália

, 

`, `
`, `
Sempre, sempr
assisto, assisto
às, às
provas, prova
,, ,
embora, embora
passem, passem
de, de
madrugada, madrugada
., .
Quando, quando
houve, houv
o, o
acidente, acident
,, ,
fiquei, fiquei
chateado, chateado
,, ,
porque, porqu
ele, ele
não, não
ia, ia
terminar, terminar
outra, outra
vez, vez
., .
Mas, ma
,, ,
quando, quando
vi, vi
sua, sua
cabeça, cabeça
balançar, balançar
,, ,
esperei, esperei
o, o
pior, pior
., .

, 

Não, não
pude, pude
dormir, dormir
naquela, naquela
noite, noit
., .
Tive, tive
pesadelos, pesadelo
,, ,
e, e
,, ,
toda, toda
vez, vez
que, que
fechava, fechava
os, os
olhos, olho
,, ,
revia, revia
o, o
acidente, acident
claramente, clarament
., .
Meu, meu
único, único
desejo, desejo
é, é
levar, levar
flores, flore
a, a
seu, seu
túmulo, túmulo
., .
'', ''
Antero, antero
Bonifacio, bonifacio
,, ,
22, 22
,, ,
Melbourne, melbourn
., .

, 

NOVA, nova
ZELÂNDIA, zelândia

, 

`, `
`, `
Sou, sou
fã, fã
de, de
automobilismo, automobilismo
desde, desd
os, os
anos, ano
70, 70
., .
Chorei, chorei
ao, ao
ver, ver
na, na
TV, tv
a, a
morte, mort
de, de
Gilles, gill
Villeneuve, villeneuv
., .
Meu, meu
interesse, interess
pela, pela
F-1, f-1
acabou, acab
., .
Só, só
voltei, voltei
a, a
vê-la, vê-la
em, em
1988, 1988
,, ,
quando, quando
a, a
TV, tv
mostrou, mostrou
(, (
coisa, coisa
rara, rara
então, então
), )
o, o
GP, gp
do, do
Japão, japão
., .

, 

Foi, foi
o, o
GP, gp
em, em
que, que
um, um
piloto, piloto
fez, fez
a, a
mais, mai
incrível, incrível
das, da
corridas, corrida
de, de
recuperação, recuperação
,, ,
saindo, saindo
do, do
14º, 14º
para, para
o, o
1º, 1º
lugar, lugar
e, e
vencendo, vencendo
., .
Eu, eu
disse, diss
VENCENDO, vencendo
., .
Era, era
Ayrton, ayrton
Senna, senna
., .

, 

Para, para
mim, mim
,, ,
1º, 1º
de, de
maio, maio
foi, foi
o, o
dia, dia
em, em
que, que
o, o
automobilismo, automobilismo
perdeu, perdeu
dois, doi
campeões, campeõ
:, :
Roland, roland
Ratzenberger, ratzenberg
_, _
um, um
dos, do
poucos, pouco
eleitos, eleito
a, a
competir, competir
na, na
categoria, categoria
máxima, máxima
do, do
automobilismo, automobilismo
;, ;
e, e
Ayrton, ayrton
Senna, senna
_, _
um, um
dos, do
poucos, pouco
eleitos, eleito
a, a
mudar, mudar
a, a
maneira, maneira
de, de
competir, competir
na, na
categoria, categoria
máxima, máxima
do, do
automobilismo, automobilismo
., .
'', ''
Stephen, stephen
McIvor, mcivor
,, ,
26, 26
,, ,
Auckland, auckland
., .

, 

SUÉCIA, suécia

, 

`, `
`, `
A, a
primeira, primeira
coisa, coisa
que, que
pensei, pensei
,, ,
quando, quando
Ratz, ratz
(, (
Ratzenberger, ratzenberg
), )
bateu, bateu
,, ,
foi, foi
que, que
ele, ele
estava, estava
morto, morto
,, ,
pela, pela
forma, forma
como, como
sua, sua
cabeça, cabeça
estava, estava
solta, solta
no, no
cockpit, cockpit
., .
A, a
mesma, mesma
coisa, coisa
com, com
Senna, senna
,, ,
ele, ele
me, me
parecia, parecia
morto, morto
., .

, 

Senna, senna
representava, representava
o, o
esporte, esport
para, para
muitas, muita
pessoas, pessoa
., .
É, é
isso, isso
que, que
faz, faz
da, da
morte, mort
de, de
um, um
homem, homem
,, ,
que, que
é, é
uma, uma
tragédia, tragédia
relativamente, relativament
menor, menor
em, em
um, um
mundo, mundo
cheio, cheio
de, de
sofrimento, sofrimento
,, ,
uma, uma
tragédia, tragédia
de, de
verdade, verdad
para, para
o, o
esporte, esport
e, e
os, os
torcedores, torcedor
., .
'', ''
Joakim, joakim
Tarnstom, tarnstom
,, ,
32, 32
,, ,
Bromma, bromma
., .

, 

INDONÉSIA, indonésia

, 

`, `
`, `
Vivo, vivo
no, no
meio, meio
da, da
selva, selva
., .
Minha, minha
ligação, ligação
com, com
o, o
mundo, mundo
real, real
é, é
através, atravé
da, da
Internet, internet
ou, ou
Compuserve, compuserv
., .
Soube, soub
da, da
morte, mort
de, de
Senna, senna
pelo, pelo
computador, computador
., .

, 

Até, até
hoje, hoje
espero, espero
ver, ver
seu, seu
nome, nome
nas, na
listas, lista
de, de
grid, grid
de, de
largada, largada
_, _
na, na
pole, pole
position, posit
,, ,
naturalmente, naturalment
!, !
Como, como
Jim, jim
Clark, clark
,, ,
Jochen, jochen
Rindt, rindt
,, ,
Piers, pier
Courage, courag
,, ,
Pedro, pedro
e, e
Ricardo, ricardo
Rodríguez, rodríguez
,, ,
Peterson, peterson
e, e
tantos, tanto
outros, outro
,, ,
ele, ele
se, se
foi, foi
,, ,
mas, ma
nunca, nunca
será, será
esquecido, esquecido
., .
'', ''
Gordon, gordon
Greaves, greav
,, ,
47, 47
,, ,
Iriã, iriã
., .

, 

ALEMANHA, alemanha

, 

`, `
`, `
Ainda, ainda
me, me
lembro, lembro
bem, bem
do, do
início, início
da, da
transmissão, transmissão
do, do
GP, gp
de, de
Imola, imola
,, ,
quando, quando
John, john
Watson, watson
(, (
ex-piloto, ex-piloto
irlandês, irlandê
), )
comentou, coment
a, a
imagem, imagem
de, de
Senna, senna
no, no
carro, carro
,, ,
sem, sem
capacete, capacet
:, :
`, `
Senna, senna
parece, parec
pensativo, pensativo
diante, diant
da, da
perspectiva, perspectiva
das, da
voltas, volta
do, do
GP, gp
., .
', '

, 

Pensei, pensei
:, :
`, `
NÃO, não
,, ,
engano, engano
seu, seu
,, ,
John, john
', '
., .
Não, não
sei, sei
em, em
que, que
Senna, senna
estava, estava
pensando, pensando
,, ,
mas, ma
seu, seu
rosto, rosto
mostrava, mostrava
algo, algo
além, além
das, da
simples, simpl
preocupações, preocupaçõ
de, de
mais, mai
um, um
GP, gp
., .

, 

Depois, depoi
foi, foi
dito, dito
que, que
ele, ele
tivera, tivera
um, um
pressentimento, pressentimento
de, de
que, que
algo, algo
terrível, terrível
ia, ia
acontecer, acontec
., .
Para, para
mim, mim
,, ,
era, era
o, o
que, que
mostrava, mostrava
seu, seu
semblante, semblant
., .

, 

Cresci, cresci
como, como
fã, fã
de, de
Jochen, jochen
Rindt, rindt
(, (
piloto, piloto
austríaco, austríaco
,, ,
morto, morto
em, em
1970, 1970
), )
e, e
chorei, chorei
com, com
seu, seu
fim, fim
trágico, trágico
., .
Desde, desd
então, então
,, ,
nunca, nunca
a, a
F-1, f-1
me, me
emocionara, emocionara
tanto, tanto
., .

, 

Tive, tive
que, que
chorar, chorar
ao, ao
ver, ver
o, o
acidente, acident
_, _
nisso, nisso
,, ,
também, também
,, ,
John, john
Watson, watson
errou, errou
em, em
seu, seu
comentário, comentário
., .
Era, era
visível, visível
que, que
algo, algo
fatal, fatal
ocorrera, ocorrera
., .
'', ''
Jasper, jasper
Marquardt, marquardt
,, ,
35, 35
,, ,
Berlim, berlim
., .

, 

