Há, ﻿há
ninguém, ninguém
falhasse, falhass
em, em
campo, campo
,, ,
o, o
jogo, jogo
terminaria, terminaria
sempre, sempr
num, num
monótono, monótono
zero, zero
a, a
zero, zero
., .

, 

*, *

, 

O, o
Corinthians, corinthian
estréia, estréia
hoje, hoje
no, no
Paulista, paulista
., .
Pelo, pelo
menos, meno
,, ,
para, para
efeito, efeito
de, de
observação, observação
sobre, sobr
suas, sua
possibilidades, possibilidad
neste, nest
torneio, torneio
., .
Sim, sim
,, ,
porque, porqu
o, o
confronto, confronto
de, de
quinta-feira, quinta-feira
,, ,
com, com
o, o
América, américa
,, ,
não, não
serviu, serviu
para, para
nada, nada
,, ,
já, já
que, que
o, o
lamaçal, lamaç
onde, ond
chafurdaram, chafurdaram
os, os
22, 22
jogadores, jogador
impediu, impediu
que, que
houvesse, houvess
futebol, futebol
., .

, 

Apesar, apesar
disso, disso
,, ,
o, o
técnico, técnico
Afrânio, afrânio
Riul, riul
saiu, saiu
de, de
campo, campo
convencido, convencido
de, de
que, que
o, o
ponta-esquerda, ponta-esquerda
Adil, adil
é, é
,, ,
nas, na
atuais, atuai
contingências, contingência
,, ,
o, o
substituto, substituto
ideal, ideal
de, de
Rivaldo, rivaldo
., .

, 

Adil, adil
é, é
um, um
atacante, atacant
de, de
silhueta, silhueta
maciça, maciça
,, ,
tem, tem
um, um
poderoso, poderoso
disparo, disparo
de, de
esquerda, esquerda
,, ,
é, é
habilidoso, habilidoso
e, e
versátil, versátil
do, do
ponto, ponto
de, de
vista, vista
tático, tático
,, ,
podendo, podendo
atuar, atuar
como, como
ponta, ponta
típico, típico
,, ,
fechando, fechando
pelo, pelo
meio, meio
ou, ou
até, até
mesmo, mesmo
enfiado, enfiado
como, como
centroavante, centroavant
., .
Apesar, apesar
disso, disso
,, ,
jamais, jamai
conseguiu, conseguiu
se, se
firmar, firmar
como, como
titular, titular
em, em
nenhum, nenhum
dos, do
clubes, clube
por, por
onde, ond
passou, passou
., .
E, e
não, não
foram, foram
poucos, pouco
., .
Não, não
sei, sei
., .
Pode, pode
ser, ser
que, que
seu, seu
mapa, mapa
astral, astral
só, só
agora, agora
conseguiu, conseguiu
a, a
conjunção, conjunção
ideal, ideal
e, e
ele, ele
,, ,
afinal, afin
,, ,
cintile, cintil
como, como
uma, uma
nova, nova
estrela, estrela
do, do
futebol, futebol
brasileiro, brasileiro
., .
Já, já
vi, vi
isso, isso
acontecer, acontec
com, com
alguns, algun
craques, craqu
no, no
passado, passado
., .
Mas, ma
tenho, tenho
cá, cá
minhas, minha
dúvidas, dúvida
., .
Acho, acho
mesmo, mesmo
que, que
Viola, viola
e, e
Marques, marqu
lá, lá
na, na
frente, frent
formariam, formariam
uma, uma
ponta-de-lança, ponta-de-lança
mais, mai
afiada, afiada
e, e
venenosa, venenosa
., .

, 

Assim, assim
como, como
tenho, tenho
dúvidas, dúvida
que, que
Zé, zé
Elias, elia
na, na
lateral-esquerda, lateral-esquerda
seja, seja
a, a
melhor, melhor
solução, solução
., .
O, o
menino, menino
despontou, despont
tão, tão
bem, bem
no, no
meio-campo, meio-campo
..., ...
Enfim, enfim
,, ,
hoje, hoje
,, ,
contra, contra
o, o
Rio, rio
Branco, branco
,, ,
teremos, teremo
uma, uma
idéia, idéia
mais, mai
clara, clara
desse, dess
quadro, quadro
., .
Espero, espero
., .

, 

