No, ﻿no
Gullit, gullit
,, ,
lá, lá
no, no
Sampdoria, sampdoria
?, ?
Ele, ele
carrega, carrega
o, o
número, número
4, 4
nas, na
costas, costa
,, ,
mas, ma
,, ,
à, à
sua, sua
frente, frent
,, ,
qualquer, qualquer
caminho, caminho
é, é
caminho, caminho
., .
Livre, livr
e, e
desimpedido, desimpedido
,, ,
Gullit, gullit
faz, faz
em, em
campo, campo
o, o
que, que
seu, seu
instinto, instinto
,, ,
apuradíssimo, apuradíssimo
por, por
sinal, sinal
,, ,
e, e
sua, sua
experiência, experiência
recomendam, recomendam
., .
Sei, sei
bem, bem
que, que
Casão, casão
não, não
tem, tem
a, a
mesma, mesma
velocidade, velocidad
do, do
holandês, holandê
voador, voador
,, ,
mas, ma
imagino, imagino
que, que
ele, ele
solto, solto
para, para
circular, circular
por, por
todas, toda
as, as
partes, part
do, do
campo, campo
seria, seria
de, de
inestimável, inestimável
valor, valor
para, para
seu, seu
time, time
., .
Muito, muito
mais, mai
que, que
preso, preso
lá, lá
na, na
frente, frent
., .

, 

*, *

, 

Zico, zico
chegou, chegou
e, e
,, ,
do, do
alto, alto
de, de
sua, sua
autoridade, autoridad
como, como
craque, craqu
e, e
como, como
homem, homem
,, ,
mandou, mandou
Romário, romário
calar, calar
a, a
boca, boca
e, e
jogar, jogar
bola, bola
., .
Zico, zico
foi, foi
o, o
maior, maior
jogador, jogador
brasileiro, brasileiro
depois, depoi
que, que
Pelé, pelé
encerrou, encerr
sua, sua
carreira, carreira
., .
Zico, zico
e, e
Pelé, pelé
jamais, jamai
abriram, abriram
a, a
boca, boca
para, para
provocar, provocar
dissensões, dissensõ
no, no
grupo, grupo
., .
E, e
olhe, olh
que, que
tiveram, tiveram
caminhões, caminhõ
de, de
oportunidades, oportunidad
e, e
toneladas, tonelada
de, de
argumentos, argumento
., .

, 

Alberto, alberto
Helena, helena
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
aos, ao
domingos, domingo
,, ,
segundas, segunda
e, e
quartas, quarta

, 

