Quem, ﻿quem
catracas, catraca
causou, causou
revolta, revolta
., .
Resultado, resultado
:, :
feridos, ferido
e, e
ônibus, ônibu
depredados, depredado
., .

, 

No, no
Parque, parqu
Antarctica, antarctica
,, ,
também, também
anteontem, anteontem
,, ,
a, a
torcida, torcida
promoveu, promoveu
arrastões, arrastõ
em, em
cima, cima
dos, do
sorveteiros, sorveteiro
., .
O, o
contingente, contingent
policial, polici
era, era
ínfimo, ínfimo
em, em
relação, relação
ao, ao
número, número
de, de
torcedores, torcedor
., .
A, a
mesma, mesma
coisa, coisa
aconteceu, aconteceu
no, no
Pacaembu, pacaembu
,, ,
desta, desta
vez, vez
,, ,
promovida, promovida
pela, pela
torcida, torcida
corintiana, corintiana
., .
Nas, na
proximidades, proximidad
do, do
Parque, parqu
Antarctica, antarctica
,, ,
houve, houv
confronto, confronto
entre, entr
torcedores, torcedor
dos, do
dois, doi
clubes, clube
,, ,
que, que
deixou, deixou
duas, dua
pessoas, pessoa
feridas, ferida
gravemente, gravement
com, com
queimaduras, queimadura
., .
O, o
grupo, grupo
de, de
palmeirenses, palmeirens
explodiu, explodiu
um, um
rojão, rojão
dentro, dentro
de, de
um, um
ônibus, ônibu
., .

, 

