Mesmo, ﻿mesmo
., .

, 

Bentinho, bentinho
perdeu, perdeu
uma, uma
grande, grand
chance, chanc
de, de
fazer, fazer
o, o
terceiro, terceiro
gol, gol
,, ,
aos, ao
20min, 20min
., .
Após, apó
cruzamento, cruzamento
de, de
Cláudio, cláudio
,, ,
ele, ele
chutou, chutou
fraco, fraco
e, e
facilitou, facilit
a, a
defesa, defesa
de, de
Gilmar, gilmar
., .

, 

Telê, telê
Santana, santana
requisitou, requisit
o, o
tempo, tempo
técnico, técnico
,, ,
mas, ma
o, o
São, são
Paulo, paulo
não, não
melhorou, melhor
., .

, 

Aos, ao
29min, 29min
,, ,
o, o
Juventus, juventu
diminuiu, diminuiu
com, com
Anderson, anderson
., .
Ele, ele
cobrou, cobrou
uma, uma
falta, falta
,, ,
com, com
violência, violência
,, ,
no, no
canto, canto
direito, direito
de, de
Zetti, zetti
., .

, 

Após, apó
o, o
gol, gol
,, ,
o, o
São, são
Paulo, paulo
tratou, tratou
de, de
segurar, segurar
o, o
resultado, resultado
até, até
o, o
final, final
., .

, 

Terminado, terminado
o, o
jogo, jogo
,, ,
o, o
zagueiro, zagueiro
Nildo, nildo
,, ,
que, que
falhou, falhou
nos, no
dois, doi
gols, gol
do, do
São, são
Paulo, paulo
,, ,
estava, estava
desconsolado, desconsolado
., .

, 

`, `
`, `
É, é
uma, uma
situação, situação
muito, muito
chata, chata
., .
Tenho, tenho
autocrítica, autocrítica
e, e
sei, sei
que, que
errei, errei
., .
Fiz, fiz
o, o
segundo, segundo
gol, gol
contra, contra
da, da
minha, minha
carreira, carreira
., .
Pior, pior
é, é
que, que
o, o
São, são
Paulo, paulo
não, não
jogou, jogou
nada, nada
e, e
só, só
ganhou, ganhou
pelas, pela
nossas, nossa
falhas, falha
'', ''
,, ,
disse, diss
., .

, 

