Sete, ﻿sete
dirigentes, dirigent
são, são
parlamentares, parlamentar
., .
Pelo, pelo
menos, meno
dois, doi
já, já
foram, foram
,, ,
como, como
o, o
ex-deputado, ex-deputado
federal, feder
Onaireves, onairev
Moura, moura
,, ,
da, da
Federação, federação
Paranaense, paranaens
., .
O, o
mandato, mandato
de, de
Ricardo, ricardo
Teixeira, teixeira
na, na
presidência, presidência
da, da
Confederação, confederação
Brasileira, brasileira
de, de
Futebol, futebol
foi, foi
prorrogado, prorrogado
pelo, pelo
próprio, próprio
dirigente, dirigent
e, e
só, só
termina, termina
em, em
95, 95
., .

, 

