Para, ﻿para
para, para
embarcações, embarcaçõ
de, de
qualquer, qualquer
tamanho, tamanho
,, ,
seu, seu
porto, porto
se, se
transforma, transforma
diariamente, diariament
em, em
animado, animado
centro, centro
de, de
convivência, convivência
., .

, 

A, a
área, área
do, do
porto, porto
fica, fica
aberta, aberta
diariamente, diariament
das, da
8h, 8h
às, às
23h, 23h
e, e
dispõe, dispõ
de, de
bar, bar
(, (
o, o
Pra, pra
Lá, lá
de, de
Bagdá, bagdá
Café, café
), )
,, ,
tabacaria, tabacaria
,, ,
galeria, galeria
de, de
arte, art
,, ,
butique, butiqu
náutica, náutica
(, (
Yellow, yellow
Submarine, submarin
), )
,, ,
pizzaria, pizzaria
,, ,
sorveteria, sorveteria
e, e
até, até
de, de
uma, uma
agência, agência
de, de
passeios, passeio
e, e
aventuras, aventura
(, (
Mambo-Jungle, mambo-jungl
Adventures, adventur
), )
., .

, 

Mar-de-rosas, mar-de-rosa

, 

Para, para
os, os
que, que
se, se
aventuram, aventuram
a, a
casar, casar
em, em
maio, maio
,, ,
tido, tido
como, como
mês, mê
das, da
noivas, noiva
,, ,
o, o
hotel, hotel
do, do
Frade, frade
dispõe, dispõ
de, de
um, um
pacote, pacot
de, de
lua-de-mel, lua-de-mel
., .

, 

O, o
casal, casal
desembolsa, desembolsa
R$, r$
700, 700
por, por
quatro, quatro
diárias, diária
,, ,
passeio, passeio
de, de
saveiro, saveiro
,, ,
transporte, transport
Rio-Angra-Rio, rio-angra-rio
,, ,
jantar, jantar
a, a
luz, luz
de, de
velas, vela
no, no
bistrô, bistrô
Chez, chez
Dominique, dominiqu
e, e
até, até
uma, uma
fita, fita
de, de
vídeo, vídeo
com, com
alguns, algun
dos, do
melhores, melhor
momentos, momento
desfrutados, desfrutado
pelo, pelo
casal, casal
., .

, 

Hotel, hotel
de, de
apoio, apoio

, 

O, o
resort, resort
tem, tem
ainda, ainda
uma, uma
pousada, pousada
,, ,
o, o
Parador, parador
123, 123
,, ,
nas, na
proximidades, proximidad
do, do
km, km
123, 123
da, da
Rio-Santos, rio-santo
., .

, 

Com, com
24, 24
apartamentos, apartamento
e, e
preços, preço
inferiores, inferior
aos, ao
praticados, praticado
pelo, pelo
hotel, hotel
do, do
Frade, frade
,, ,
essa, essa
pousada, pousada
é, é
ideal, ideal
para, para
quem, quem
quer, quer
gastar, gastar
menos, meno
e, e
aproveitar, aproveitar
um, um
pouco, pouco
da, da
animação, animação
que, que
acontece, acontec
,, ,
a, a
cada, cada
um, um
dos, do
365, 365
dias, dia
do, do
ano, ano
,, ,
na, na
marina, marina
do, do
empreendimento, empreendimento
., .

, 

(, (
Silvio, silvio
Cioffi, cioffi
), )

, 

HOTEL, hotel
DO, do
FRADE, frade
-, -
resort, resort
localizado, localizado
a, a
180, 180
km, km
do, do
Rio, rio
e, e
a, a
385, 385
km, km
de, de
São, são
Paulo, paulo
., .
Acesso, acesso
pela, pela
rodovia, rodovia
Rio-Santos, rio-santo
,, ,
km, km
123, 123
., .
Diárias, diária
para, para
casal, casal
a, a
partir, partir
de, de
R$, r$
160, 160
(, (
mais, mai
10, 10
%, %
de, de
taxa, taxa
), )
incluem, incluem
café, café
da, da
manhã, manhã
,, ,
uma, uma
refeição, refeição
e, e
todo, todo
o, o
lazer, lazer
não, não
motorizado, motorizado
., .
Informações, informaçõ
pelo, pelo
telefones, telefon
(, (
0243, 0243
), )
65-1212, 65-1212
e, e
(, (
021, 021
), )
511-5394, 511-5394
., .

, 

