Foi, ﻿foi
se, se
curvou, curvou
ao, ao
estilo, estilo
agressivo, agressivo
e, e
vistoso, vistoso
do, do
piloto, piloto
britânico, britânico
mais, mai
popular, popular
de, de
todos, todo
os, os
tempos, tempo
., .
Orfã, orfã
de, de
Mansell, mansel
,, ,
a, a
Inglaterra, inglaterra
não, não
conseguiu, conseguiu
substituí-lo, substituí-lo
no, no
coração, coração
dos, do
torcedores, torcedor
com, com
Damon, damon
Hill, hill
., .
Tanto, tanto
que, que
o, o
público, público
em, em
Donington, donington
numa, numa
prova, prova
de, de
Turismo, turismo
,, ,
em, em
novembro, novembro
,, ,
foi, foi
maior, maior
do, do
que, que
o, o
GP, gp
de, de
F-1, f-1
Silverstone, silverston
., .
Motivo, motivo
:, :
Mansell, mansel
estava, estava
lá, lá
,, ,
correndo, correndo
com, com
um, um
Ford, ford
Mondeo, mondeo
., .
Arrebentou, arrebent
o, o
carro, carro
num, num
muro, muro
,, ,
se, se
machucou, machuc
,, ,
mas, ma
matou, matou
a, a
saudade, saudad
de, de
sua, sua
torcida, torcida
., .

, 

Duas, dua
das, da
mais, mai
importantes, important
revistas, revista
européias, européia
de, de
automobilismo, automobilismo
premiaram, premiaram
Mansell, mansel
à, à
distância, distância
., .
A, a
", "
Autospolesa, autospolesa
lhe, lhe
deu, deu
o, o
título, título
de, de
melhor, melhor
piloto, piloto
internacional, internacion
do, do
ano, ano
na, na
20.ª, 20.ª
edição, edição
de, de
seu, seu
", "
Autosport, autosport
Awards, award
", "
., .
A, a
", "
Autosprint, autosprint
", "
italiana, italiana
,, ,
que, que
deu, deu
a, a
Alain, alain
Prost, prost
o, o
", "
Capacete, capacet
de, de
Ouro, ouro
", "
,, ,
arranjou, arranj
um, um
", "
Capacete, capacet
especial, especi
", "
para, para
Mansell, mansel
–, –
algo, algo
como, como
aqueles, aquel
Oscars, oscar
oferecidos, oferecido
a, a
cineastas, cineasta
pelo, pelo
conjunto, conjunto
de, de
suas, sua
obras, obra
., .

, 

Os, os
prêmios, prêmio
das, da
duas, dua
revistas, revista
,, ,
mais, mai
o, o
recebido, recebido
nos, no
EUA, eua
,, ,
não, não
deixam, deixam
dúvidas, dúvida
., .
Apesar, apesar
da, da
menor, menor
visibilidade, visibilidad
mundial, mundial
da, da
Indy, indi
em, em
relação, relação
à, à
F-1, f-1
,, ,
Nigel, nigel
foi, foi
mesmo, mesmo
o, o
piloto, piloto
que, que
em, em
93, 93
encheu, encheu
os, os
olhos, olho
., .
Até, até
Prost, prost
conquistar, conquistar
o, o
campeonato, campeonato
,, ,
ele, ele
conseguiu, conseguiu
ser, ser
o, o
único, único
na, na
história, história
a, a
deter, deter
os, os
títulos, título
da, da
F-1, f-1
e, e
da, da
Indy, indi
ao, ao
mesmo, mesmo
tempo, tempo
., .
Fez, fez
mais, mai
,, ,
estreando, estreando
com, com
pole, pole
e, e
vitória, vitória
na, na
sua, sua
nova, nova
categoria, categoria
–, –
algo, algo
inédito, inédito
até, até
então, então
., .
O, o
presidente, president
da, da
Foca, foca
,, ,
Bernie, berni
Ecclestone, eccleston
,, ,
no, no
ano, ano
passado, passado
,, ,
disse, diss
que, que
Nigel, nigel
não, não
faria, faria
falta, falta
nenhuma, nenhuma
à, à
F-1, f-1
., .
O, o
bigodudo, bigodudo
e, e
desengonçado, desengonçado
Mansell, mansel
respondeu, respondeu
como, como
se, se
deve, deve
., .
A, a
F-1, f-1
está, está
até, até
agora, agora
procurando, procurando
alguém, alguém
que, que
o, o
substitua, substitua
à, à
altura, altura
., .

, 

