Cordiais, ﻿cordiai
estabelecimento, estabelecimento
fundado, fundado
nos, no
anos, ano
40, 40
pelo, pelo
espanhol, espanhol
Jesus, jesu
Alvarez, alvarez
Terzado, terzado
etc., etc.

, 

Cruza-se, cruza-s
a, a
quilométrica, quilométrica
rua, rua
Marechal, marech
Floriano, floriano
Peixoto, peixoto
,, ,
avança-se, avança-s
até, até
a, a
alameda, alameda
Doutor, doutor
Muricy, murici
e, e
se, se
chega, chega
ao, ao
epicentro, epicentro
de, de
gentilezas, gentileza
e, e
maledicências, maledicência
., .
No, no
Bondinho, bondinho
da, da
Rua, rua
das, da
Flores, flore
,, ,
os, os
pais, pai
podem, podem
", "
estacionar, estacionar
", "
os, os
filhos, filho
enquanto, enquanto
fazem, fazem
compras, compra
,, ,
e, e
no, no
Palácio, palácio
Avenida, avenida
,, ,
no, no
fim, fim
do, do
ano, ano
,, ,
é, é
difícil, difícil
não, não
se, se
emocionar, emocionar
com, com
as, as
crianças, criança
que, que
cantam, cantam
músicas, música
natalinas, natalina
do, do
", "
palco, palco
", "
iluminado, iluminado
de, de
sua, sua
fachada, fachada
., .
É, é
o, o
lado, lado
gentil, gentil
de, de
uma, uma
cidade, cidad
gentil, gentil
., .

, 

A, a
Boca, boca
Maldita, maldita
,, ,
e, e
", "
sucursais, sucursai
", "
como, como
os, os
bares, bare
Mignon, mignon
e, e
Triângulo, triângulo
,, ,
é, é
um, um
espaço, espaço
para, para
a, a
fofoca, fofoca
masculina, masculina
,, ,
aquela, aquela
que, que
começa, começa
como, como
um, um
fio, fio
d'água, d'água
e, e
termina, termina
como, como
um, um
Amazonas, amazona
–, –
segundo, segundo
as, as
,, ,
digamos, digamo
,, ,
fofocas, fofoca
,, ,
coube, coub
ao, ao
lugar, lugar
parcela, parcela
de, de
responsabilidade, responsabilidad
pela, pela
cassação, cassação
do, do
governador, governador
Haroldo, haroldo
Leon, leon
Peres, pere
,, ,
nos, no
anos, ano
70, 70
., .
Mais, mai
à, à
frente, frent
,, ,
na, na
avenida, avenida
Luiz, luiz
Xavier, xavier
,, ,
sequência, sequência
da, da
15, 15
de, de
Novembro, novembro
e, e
,, ,
para, para
os, os
curitibanos, curitibano
,, ,
a, a
", "
menor, menor
do, do
mundo, mundo
", "
,, ,
os, os
", "
caras-pintadas, caras-pintada
", "
paranaenses, paranaens
ajudaram, ajudaram
a, a
cassar, cassar
o, o
presidente, president
Collor, collor
., .

, 

Na, na
rua, rua
15, 15
de, de
Novembro, novembro
,, ,
ao, ao
que, que
parece, parec
,, ,
tudo, tudo
é, é
possível, possível
., .
Assim, assim
,, ,
não, não
se, se
surpreenda, surpreenda
se, se
,, ,
na, na
véspera, véspera
de, de
Natal, natal
,, ,
o, o
Cristo, cristo
reencarnado, reencarnado
sair, sair
desfilando, desfilando
carregado, carregado
num, num
trono, trono
–, –
é, é
uma, uma
manifestação, manifestação
da, da
", "
igreja, igreja
da, da
Soust, soust
", "
,, ,
que, que
apregoa, apregoa
ser, ser
a, a
", "
única, única
de, de
Cristo, cristo
", "
., .
(, (
Federico, federico
Mengozzi, mengozzi
), )

, 

