O, ﻿o
última, última
sexta-feira, sexta-feira
US$, us$
543, 543
., .
Nas, na
viagens, viagen
internacionais, internacionai
da, da
Air, air
Vias, via
,, ,
crianças, criança
(, (
hospedadas, hospedada
junto, junto
com, com
adultos, adulto
), )
têm, têm
70, 70
%, %
de, de
desconto, desconto
–, –
uma, uma
semana, semana
na, na
Jamaica, jamaica
custa, custa
US$, us$
1.082, 1.082
(, (
ou, ou
15, 15
de, de
US$, us$
89, 89
), )
;, ;
crianças, criança
pagam, pagam
US$, us$
640, 640
., .
Nos, no
domésticos, doméstico
,, ,
o, o
desconto, desconto
é, é
de, de
25, 25
%, %
., .

, 

Segundo, segundo
José, josé
Palandi, palandi
Jr., jr.
,, ,
gerente, gerent
de, de
marketing, market
da, da
Ati, ati
,, ,
o, o
preço, preço
cai, cai
porque, porqu
a, a
Air, air
Vias, via
calcula, calcula
suas, sua
tarifas, tarifa
por, por
hora, hora
voada, voada
e, e
não, não
pelo, pelo
número, número
de, de
poltronas, poltrona
vendidas, vendida
,, ,
como, como
é, é
a, a
praxe, prax
no, no
vôo, vôo
charter, charter
., .
", "
Quanto, quanto
mais, mai
o, o
avião, avião
voa, voa
,, ,
mais, mai
abaixa, abaixa
o, o
custo, custo
", "
,, ,
diz, diz
., .
O, o
fato, fato
de, de
usar, usar
a, a
infra-estrutura, infra-estrutura
do, do
", "
pool, pool
", "
de, de
agências, agência
também, também
barateia, barateia
custos, custo
,, ,
ao, ao
contrário, contrário
das, da
companhias, companhia
aéreas, aérea
regionais, regionai
,, ,
como, como
TAM, tam
e, e
Rio-Sul, rio-sul
,, ,
que, que
têm, têm
encargos, encargo
maiores, maior
,, ,
os, os
quais, quai
são, são
levados, levado
em, em
conta, conta
quando, quando
seus, seu
aviões, aviõ
são, são
fretados, fretado
., .

, 

Todas, toda
as, as
viagens, viagen
da, da
nova, nova
empresa, empresa
de, de
charters, charter
são, são
feitas, feita
a, a
partir, partir
do, do
Aeroporto, aeroporto
Internacional, internacion
de, de
Guarulhos, guarulho
em, em
dois, doi
aviões, aviõ
Boeing, boe
727/200, 727/200
Advance, advanc
,, ,
comprados, comprado
por, por
cerca, cerca
de, de
US$, us$
8, 8
milhões, milhõ
cada, cada
em, em
sistema, sistema
de, de
leasing, leas
,, ,
que, que
levam, levam
172, 172
passageiros, passageiro
., .

, 

Além, além
de, de
utilizar, utilizar
toda, toda
a, a
infra-estrutura, infra-estrutura
das, da
operadoras, operadora
do, do
", "
pool, pool
", "
,, ,
a, a
Air, air
Vias, via
contratou, contrat
cerca, cerca
de, de
cem, cem
novos, novo
funcionários, funcionário
,, ,
entre, entr
pessoal, pessoal
de, de
terra, terra
e, e
de, de
bordo, bordo
., .
Segundo, segundo
Carlos, carlo
Martinez, martinez
,, ,
diretor, diretor
da, da
Ati, ati
,, ,
a, a
maioria, maioria
da, da
mão-de-obra, mão-de-obra
veio, veio
da, da
Vasp, vasp
,, ,
Varig, varig
e, e
Transbrasil, transbrasil
., .
", "
São, são
pilotos, piloto
experientes, experient
,, ,
com, com
mais, mai
de, de
sete, sete
mil, mil
horas, hora
de, de
vôo, vôo
em, em
727, 727
,, ,
que, que
haviam, haviam
sido, sido
demitidos, demitido
das, da
companhias, companhia
brasileiras, brasileira
", "
., .

, 

ONDE, ond
ENCONTRAR, encontrar
:, :
Ati, ati
(, (
011, 011
), )
258-4899, 258-4899
;, ;
CVC, cvc
(, (
011, 011
), )
231-1222, 231-1222
;, ;
Dimensão, dimensão
(, (
011, 011
), )
257-8622, 257-8622
;, ;
Flot, flot
(, (
011, 011
), )
259-4544, 259-4544
;, ;
e, e
Mundirama, mundirama
(, (
011, 011
), )
259-5577, 259-5577
., .

, 

