Dezenas, ﻿dezena
CR$, cr$
428, 428
mil, mil
(, (
quádruplo, quádruplo
), )
;, ;
criança, criança
paga, paga
US$, us$
947, 947
/, /
CR$, cr$
331, 331
mil, mil
., .

, 

Na, na
linha, linha
supereconômica, supereconômica
,, ,
 ,  
Ati, ati
,, ,
Holiday, holiday
,, ,
Monark, monark
e, e
 ,  
Rextur, rextur
lançaram, lançaram
este, est
mês, mê
o, o
Miami, miami
Magic, magic
Flight, flight
,, ,
um, um
programa, programa
de, de
15, 15
dias, dia
em, em
Miami, miami
e, e
Orlando, orlando
,, ,
por, por
US$, us$
1.880, 1.880
/, /
CR$, cr$
658, 658
mil, mil
,, ,
ou, ou
15, 15
de, de
US$, us$
146, 146
/, /
CR$, cr$
51, 51
mil, mil
,, ,
incluindo, incluindo
passagem, passagem
aérea, aérea
,, ,
hotel, hotel
,, ,
passeios, passeio
e, e
traslados, traslado
., .

, 

Há, há
ainda, ainda
outras, outra
tradicionais, tradicionai
operadoras, operadora
de, de
Disney, disney
–, –
Agaxtur, agaxtur
,, ,
Costa, costa
,, ,
CVC, cvc
,, ,
Dimensão, dimensão
,, ,
Panexpress, panexpress
e, e
Soletur, soletur
., .
Confira, confira
os, os
telefones, telefon
e, e
bons, bon
negócios!(PTV, negócios!(ptv
), )

, 

AGAXTUR, agaxtur
:, :
(, (
011, 011
), )
214-2211, 214-2211
;, ;
ATI, ati
:, :
(, (
011, 011
), )
258-4899, 258-4899
;, ;
COSTA, costa
:, :
(, (
011, 011
), )
258-0566, 258-0566
;, ;
CVC, cvc
:, :
(, (
011, 011
), )
259-8255, 259-8255
;, ;
DIMENSÃO, dimensão
:, :
(, (
011, 011
), )
257-8622, 257-8622
;, ;
 ,  
GRANTUR, grantur
:, :
(, (
011, 011
), )
533-8811, 533-8811
;, ;
HOLIDAY, holiday
:, :
(, (
011, 011
), )
258-2644, 258-2644
;, ;
MONARK, monark
:, :
(, (
011, 011
), )
259-4322, 259-4322
;, ;
PANEXPRESS, panexpress
:, :
(, (
011, 011
), )
259-5122, 259-5122
;, ;
REXTUR, rextur
:, :
(, (
011, 011
), )
214-1001, 214-1001
;, ;
STELLA, stella
BARROS, barro
:, :
(, (
011, 011
), )
851-0500, 851-0500
;, ;
 ,  
TIA, tia
AUGUSTA, augusta
:, :
(, (
011, 011
), )
884-5111, 884-5111
., .

, 

