Começa, ﻿começa
cinco, cinco
títulos, título
em, em
torneios, torneio
de, de
saibro, saibro
., .

, 

Sergi, sergi
Bruguera, bruguera
não, não
está, está
em, em
boa, boa
fase, fase
e, e
é, é
apenas, apena
o, o
cabeça-de-chave, cabeça-de-chav
nº, nº
7, 7
,, ,
mas, ma
pode, pode
ser, ser
o, o
maior, maior
rival, rival
de, de
Muster, muster
., .
No, no
ano, ano
passado, passado
,, ,
seu, seu
bicampeonato, bicampeonato
também, também
contou, contou
com, com
uma, uma
boa, boa
dose, dose
de, de
sorte, sort
., .

, 

Na, na
semifinal, semifin
de, de
94, 94
,, ,
começou, começ
jogando, jogando
mal, mal
contra, contra
Jim, jim
Courier, courier
(, (
EUA, eua
), )
,, ,
mas, ma
foi, foi
favorecido, favorecido
por, por
uma, uma
ventania, ventania
que, que
assolou, assol
Paris, pari
., .

, 

O, o
verdadeiro, verdadeiro
tufão, tufão
anulou, anul
totalmente, totalment
o, o
saque, saqu
de, de
Courier, courier
,, ,
que, que
estava, estava
sendo, sendo
decisivo, decisivo
para, para
o, o
placar, placar
., .
A, a
partida, partida
se, se
transformou, transform
numa, numa
loteria, loteria
e, e
Bruguera, bruguera
teve, teve
mais, mai
sorte, sort
., .

, 

