Mega, ﻿mega
escola, escola
é, é
o, o
mais, mai
tocado, tocado
no, no
Rio, rio
e, e
deve, deve
embalar, embalar
a, a
Mangueira, mangueira
na, na
busca, busca
de, de
mais, mai
um, um
título, título
., .

, 

Depois, depoi
que, que
a, a
Mangueira, mangueira
passar, passar
,, ,
o, o
suspense, suspens
dominará, dominará
a, a
passarela, passarela
., .
Será, será
a, a
vez, vez
da, da
Vila, vila
Isabel, isabel
,, ,
Mocidade, mocidad
e, e
Imperatriz, imperatriz
,, ,
pela, pela
ordem, ordem
,, ,
desfilarem, desfilarem
., .
São, são
escolas, escola
grandes, grand
e, e
ricas, rica
,, ,
que, que
somam, somam
quatro, quatro
campeonatos, campeonato
nos, no
últimos, último
dez, dez
anos, ano
., .
O, o
passado, passado
impressiona, impressiona
,, ,
mas, ma
na, na
avenida, avenida
não, não
basta, basta
simplesmente, simplesment
o, o
peso, peso
da, da
tradição, tradição
., .

, 

Na, na
segunda-feira, segunda-feira
,, ,
14, 14
,, ,
as, as
atrações, atraçõ
maiores, maior
se, se
apresentam, apresentam
a, a
partir, partir
das, da
23h, 23h
:, :
Beija-Flor, beija-flor
,, ,
Salgueiro, salgueiro
,, ,
Estácio, estácio
e, e
Portela, portela
., .
A, a
Beija-Flor, beija-flor
estará, estará
nas, na
mãos, mão
de, de
um, um
estreante, estreant
na, na
avenida, avenida
,, ,
o, o
carnavalesco, carnavalesco
Milton, milton
Cunha, cunha
., .
O, o
Salgueiro, salgueiro
tenta, tenta
o, o
bicampeonato, bicampeonato
,, ,
cantando, cantando
o, o
Rio, rio
., .
A, a
Estácio, estácio
terminou, termin
a, a
produção, produção
do, do
desfile, desfil
em, em
crise, crise
com, com
seu, seu
patrono, patrono
,, ,
o, o
bicheiro, bicheiro
José, josé
Petrus, petru
,, ,
o, o
", "
Zinho, zinho
", "
,, ,
e, e
,, ,
em, em
consequência, consequência
,, ,
teve, teve
dificuldades, dificuldad
financeiras, financeira
., .
A, a
Portela, portela
é, é
uma, uma
das, da
escolas, escola
mais, mai
carismáticas, carismática
do, do
Rio, rio
,, ,
mas, ma
seu, seu
último, último
título, título
foi, foi
há, há
13, 13
anos, ano
., .

, 

PREVINA-SE, previna-s
-, -
A, a
Delegacia, delegacia
Especial, especi
para, para
o, o
Atendimento, atendimento
ao, ao
Turista, turista
recomenda, recomenda
que, que
,, ,
à, à
noite, noit
,, ,
as, as
pessoas, pessoa
não, não
andem, andem
sozinhas, sozinha
por, por
becos, beco
,, ,
passagens, passagen
subterrâneas, subterrânea
ou, ou
vielas, viela
,, ,
não, não
levem, levem
grande, grand
quantidade, quantidad
de, de
dinheiro, dinheiro
ou, ou
jóias, jóia
,, ,
não, não
exibam, exibam
câmaras, câmara
de, de
vídeo, vídeo
ou, ou
máquinas, máquina
fotográficas, fotográfica
., .
Na, na
praia, praia
,, ,
os, os
turistas, turista
devem, devem
levar, levar
só, só
o, o
indispensável, indispensável
e, e
,, ,
quando, quando
tomar, tomar
táxi, táxi
,, ,
ver, ver
se, se
têm, têm
a, a
identificação, identificação
no, no
lado, lado
direito, direito
do, do
motorista, motorista
., .
A, a
Delegacia, delegacia
funciona, funciona
na, na
avenida, avenida
Afrânio, afrânio
de, de
Melo, melo
Franco, franco
,, ,
s, s
/, /
n.º, n.º
,, ,
em, em
frente, frent
ao, ao
Teatro, teatro
Casa, casa
Grande, grand
,, ,
Leblon, leblon
,, ,
tel., tel.
(, (
021, 021
), )
511-5112, 511-5112
., .

, 

