Somente, ﻿Somente
Bolívar, Bolívar
como, como
uma, um
traição, traição
à, a o
amizade, amizade
entre, entre
os, o
dois, dois
., .

, 

`, `
`, `
Como, como
amigo, amigo
de, de
Edmundo, Edmundo
,, ,
fiquei, fiquei
magoado, magoar
com, com
as, o
críticas, crítica
'', ''
,, ,
disse, dizer
Strufaldi, Strufaldi
., .

, 

Para, para
Strufaldi, Strufaldi
,, ,
o, o
jogador, jogador
começou, começar
a, a
criticar, criticar
os, o
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
depois, depois
que, que
o, o
clube, clube
expressou, expressar
interesse, interesse
de, de
comprar, comprar
o, o
passe, passe
do, de o
jogador, jogador
,, ,
que, que
pertence, pertencer
à, a o
multinacional, multinacional
Parmalat, Parmalat
., .

, 

Por, por
outro, outro
lado, lado
,, ,
segundo, segundo
Strufaldi, Strufaldi
,, ,
não, não
há, haver
clube, clube
interessado, interessar
oficialmente, oficialmente
na, em o
contratação, contratação
de, de
Edmundo, Edmundo
., .

, 

`, `
`, `
Quando, quando
nós, nós
informamos, informamo
Edmundo, edmur
da, de o
punição, punição
,, ,
ele, ele
disse, dizer
que, que
não, não
mudaria, mudario
de, de
opinião, opinião
e, e
disse, dizer
que, que
ele, ele
estava, estar
com, com
a, o
verdade, verdade
'', ''
,, ,
disse, dizer
o, o
dirigente, dirigente
palmeirense, palmeirense
., .

, 

Já, já
o, o
técnico, técnico
Valdir, Valdir
Espinosa, Espinosa
,, ,
sempre, sempre
dizendo, dizer
que, que
a, o
decisão, decisão
foi, ser
dos, de o
dirigentes, dirigente
,, ,
mostrou-se, mostrar se
resignado, resignar
com, com
a, o
punição, punição
de, de
Edmundo, Edmundo
,, ,
que, que
enfraquece, enfraquecer
o, o
ataque, ataque
da, de o
equipe, equipe
., .

, 

`, `
`, `
Quando, quando
um, um
problema, problema
não, não
tem, ter
solução, solução
,, ,
o, o
problema, problema
está, estar
solucionado, solucionado
'', ''
,, ,
afirmou, afirmar
Espinosa, Espinosa
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
o, o
Palmeiras, Palmeiras
na, em o
pág., pág.
3, 3

, 

