Os, ﻿Os
, 

Riul, riul
-, -
Será, Ser
normal, normal
., .
Não, não
acredito, acreditar
que, que
tenhamos, tenhamos
problemas, problema
,, ,
porque, porque
trabalho, trabalho
com, com
muita, muito
tranquilidade, tranquilidade
e, e
honestidade, honestidade
., .
Procuro, procuro
usar, usar
de, de
sensibilidade, sensibilidade
e, e
de, de
muita, muito
habilidade, habilidade
para, para
não, não
ferir, ferir
o, o
sentimento, sentimento
de, de
cada, cada
profissional, profissional
e, e
conseguir, conseguir
,, ,
que, que
cada, cada
atleta, atleta
,, ,
renda, rendar
o, o
máximo, máximo
para, para
o, o
time, time
., .

, 

Folha, Folha
-, -
O, o
Dener, Dener
deve, dever
ser, ser
contratado, contratar
., .
Ele, ele
é, ser
considerado, considerar
um, um
jogador, jogador
indisciplinado, indisciplinar
., .

, 

Riul, riul
-, -
Ele, ele
é, ser
um, um
grande, grande
jogador, jogador
., .
Seria, ser
ótimo, bom
tê-lo, tê-lo
no, em o
time, time
., .
Acredito, acreditar
que, que
só, só
por, por
estar, estar
no, em o
Corinthians, Corinthians
,, ,
isto, isto
já, já
seria, ser
uma, um
motivação, motivação
a, a
mais, mais
para, para
ele, ele
., .
Tenho, ter
certeza, certezar
de, de
que, que
o, o
Dener, Dener
terá, ter
uma, um
grande, grande
passagem, passagem
pelo, por o
Corinthians, Corinthians
,, ,
caso, caso
seja, ser
contratado, contratar
., .

, 

Folha, Folha
-, -
Você, você
esteve, estar
na, em o
reserva, reserva
da, de o
Ponte, Ponte
Preta, Preta
na, em o
histórica, histórica
final, final
de, de
77, 77
., .
E, e
foi, ser
palmeirense, palmeirense
na, em o
infância, infância
?, ?

, 

Riul, riul
-, -
(, (
Risos, Risos
), )
Nossa, Nossa
,, ,
não, não
brinca, brincar
com, com
isso, isso
., .
Sou, ser
corintiano, corintiano
desde, desde
criançinha, criançinha
(, (
risos, riso
), )
., .
Na, em o
verdade, verdade
,, ,
conheci, conheci
a, o
força, força
da, de o
torcida, torcida
naquela, em aquele
época, época
e, e
pretendo, preter
usá-la, usá-la
para, para
motivar, motivar
os, o
jogadores, jogador
., .

, 

