Os, ﻿Os
Estou, estar
a, a
uns, um
70, 70
%, %
do, de o
que, que
poderia, poder
andar, andar
., .
'', ''

, 

`, `
`, `
Aqui, aqui
,, ,
você, você
só, só
pode, poder
dar, dar
100, 100
%, %
quando, quando
o, o
carro, carro
permite, permitir
., .
Não, não
vou, ir
forçar, forçar
a, o
barra, barra
e, e
acabar, acabar
no, em o
muro, muro
., .
É, ser
preciso, preciso
ter, ter
muita, muito
paciência, paciência
neste, em este
momento, momento
'', ''
,, ,
afirmou, afirmar
o, o
piloto, piloto
., .

, 

Contando, contando
com, com
o, o
dia, dia
de, de
hoje, hoje
,, ,
os, o
competidores, competidor
têm, ter
mais, mais
dois, dois
dias, dia
para, para
acertarem, acertar
seus, seu
carros, carro
para, para
o, o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
no, em o
sábado, sábado
., .

, 

Trata-se, tratar se
do, de o
primeiro, primeiro
treino, treino
classificatório, classificatório
para, para
a, o
formação, formação
do, de o
grid, grid
de, de
largada, largar
das, de o
500, 500
Milhas, milha
., .

, 

No, em o
`, `
`, `
pole, pole
day, day
'', ''
são, ser
definidos, definir
os, o
primeiros, primeiro
carros, carro
do, de o
grid, grid
., .
No, em o
total, total
,, ,
33, 33
carros, carro
,, ,
distribuídos, distribuir
em, em
11, 11
fileiras, fileira
,, ,
darão, dar
a, o
largada, largada
no, em o
oval, oval
de, de
2,5, 2,5
milhas, milha
(, (
cerca, cerca
de, de
quatro, quatro
4, 4
km, km
), )
,, ,
no, em o
dia, dia
28, 28
., .

, 

`, `
`, `
É, ser
importante, importante
obter, obter
a, o
classificação, classificação
no, em o
primeiro, primeiro
dia, dia
para, para
poder, poder
andar, andar
na, em o
semana, semana
seguinte, seguinte
se, se
preocupando, preocupar
apenas, apenas
com, com
a, o
corrida, corrida
,, ,
testando, testar
o, o
carro, carro
de, de
tanque, tanque
cheio, cheio
e, e
no, em o
tráfego, tráfego
'', ''
,, ,
afirmou, afirmar
Mauricio, Mauricio
Gugelmin, Gugelmin
,, ,
da, de o
Pacwest, Pacwest
., .

, 

`, `
`, `
Vencer, Vencer
aqui, aqui
é, ser
mais, mais
importante, importante
que, que
ser, ser
campeão, campeão
da, de o
temporada, temporada
., .
Quero, querer
treinar, treinar
o, o
máximo, máximo
que, que
puder, puder
'', ''
,, ,
disse, dizer
Emerson, Emerson
Fittipaldi, Fittipaldi
,, ,
brasileiro, brasileiro
duas, dois
vezes, vez
vencedor, vencedor
em, em
Indianápolis, Indianápolis
(, (
em, em
89, 89
e, e
93, 93
), )
., .
(, (
MT, MT
), )

, 

