Para, ﻿Par
próprios, próprio
barcos, barco
,, ,
têm, ter
o, o
Frade, Frade
como, como
referência, referência
., .

, 

Com, com
marina, marina
para, para
embarcações, embarcação
de, de
qualquer, qualquer
tamanho, tamanho
,, ,
seu, seu
porto, Porto
se, se
transforma, transformar
diariamente, diariamente
em, em
animado, animar
centro, centro
de, de
convivência, convivência
., .

, 

A, o
área, área
do, de o
porto, Porto
fica, ficar
aberta, aberto
diariamente, diariamente
das, de o
8h, 8h
às, a o
23h, 23h
e, e
dispõe, dispor
de, de
bar, bar
(, (
o, o
Pra, Pra
Lá, Lá
de, de
Bagdá, Bagdá
Café, Café
), )
,, ,
tabacaria, tabacario
,, ,
galeria, galeria
de, de
arte, arte
,, ,
butique, butique
náutica, náutico
(, (
Yellow, Yellow
Submarine, Submarine
), )
,, ,
pizzaria, pizzario
,, ,
sorveteria, sorveterio
e, e
até, até
de, de
uma, um
agência, agência
de, de
passeios, passeio
e, e
aventuras, aventur
(, (
Mambo-Jungle, Mambo-Jungle
Adventures, Adventures
), )
., .

, 

Mar-de-rosas, Mar-de-rosas

, 

Para, para
os, o
que, que
se, se
aventuram, aventur
a, a
casar, casar
em, em
maio, maio
,, ,
tido, ter
como, como
mês, mês
das, de o
noivas, noiva
,, ,
o, o
hotel, hotel
do, de o
Frade, Frade
dispõe, dispor
de, de
um, um
pacote, pacote
de, de
lua-de-mel, lua-de-mel
., .

, 

O, o
casal, casal
desembolsa, desembolsar
R$, R$
700, 700
por, por
quatro, quatro
diárias, diária
,, ,
passeio, passeio
de, de
saveiro, saveiro
,, ,
transporte, transporte
Rio-Angra-Rio, Rio-Angra-Rio
,, ,
jantar, jantar
a, o
luz, luz
de, de
velas, vela
no, em o
bistrô, bistrô
Chez, Chez
Dominique, Dominique
e, e
até, até
uma, um
fita, fita
de, de
vídeo, vídeo
com, com
alguns, algum
dos, de o
melhores, bom
momentos, momento
desfrutados, desfrutar
pelo, por o
casal, casal
., .

, 

Hotel, Hotel
de, de
apoio, apoio

, 

O, o
resort, resort
tem, ter
ainda, ainda
uma, um
pousada, pousada
,, ,
o, o
Parador, Parador
123, 123
,, ,
nas, em o
proximidades, proximidade
do, de o
km, km
123, 123
da, de o
Rio-Santos, Rio-Santos
., .

, 

Com, com
24, 24
apartamentos, apartamento
e, e
preços, preço
inferiores, inferior
aos, a o
praticados, praticar
pelo, por o
hotel, hotel
do, de o
Frade, Frade
,, ,
essa, esse
pousada, pousado
é, ser
ideal, ideal
para, para
quem, quem
quer, querer
gastar, gastar
menos, menos
e, e
aproveitar, aproveitar
um, um
pouco, pouco
da, de o
animação, animação
que, que
acontece, acontecer
,, ,
a, a
cada, cada
um, um
dos, de o
365, 365
dias, dia
do, de o
ano, ano
,, ,
na, em o
marina, marina
do, de o
empreendimento, empreendimento
., .

, 

(, (
Silvio, Silvio
Cioffi, Cioffi
), )

, 

HOTEL, HOTEL
DO, DO
FRADE, FRADE
-, -
resort, resortr
localizado, localizar
a, a
180, 180
km, km
do, de o
Rio, Rio
e, e
a, a
385, 385
km, km
de, de
São, São
Paulo, Paulo
., .
Acesso, acesso
pela, por o
rodovia, rodovia
Rio-Santos, Rio-Santos
,, ,
km, km
123, 123
., .
Diárias, diária
para, para
casal, casal
a, a
partir, partir
de, de
R$, R$
160, 160
(, (
mais, mais
10, 10
%, %
de, de
taxa, taxa
), )
incluem, incluir
café, café
da, de o
manhã, manhã
,, ,
uma, um
refeição, refeição
e, e
todo, todo
o, o
lazer, lazer
não, não
motorizado, motorizar
., .
Informações, informação
pelo, por o
telefones, telefone
(, (
0243, 0243
), )
65-1212, 65-1212
e, e
(, (
021, 021
), )
511-5394, 511-5394
., .

, 

