O, ﻿O
arrastar, arrastar
1, 1
milhão, milhão
de, de
pessoas, pessoa
para, para
as, o
ruas, rua
., .

, 

Na, em o
orla, orla
,, ,
as, o
atrações, atração
serão, ser
os, o
trios, trio
elétricos, elétrico
., .
Pelo, pelo
menos, menos
dez, dez
deles, de ele
vão, ir
dividir, dividir
as, o
atenções, atenção
com, com
60, 60
agremiações, agremiação
,, ,
numa, em um
festa, festa
que, que
promete, prometer
unir, unir
o, o
frevo, frevo
e, e
a, o
axé, axé
music, music
., .
A, o
folia, folia
na, em o
praia, praia
começa, começar
mais, mais
cedo, cedo
,, ,
no, em o
dia, dia
6, 6
,, ,
a, a
partir, partir
das, de o
19h, 19h
., .

, 

Quem, quem
pensa, pensar
em, em
vir, vir
para, para
Recife, Recife
e, e
ainda, ainda
não, não
tem, ter
onde, onde
ficar, ficar
,, ,
é, ser
bom, bom
se, se
preparar, preparar
., .
Os, o
hotéis, hotel
já, já
estão, estar
lotados, lotado
–, –
boa, bom
parte, parte
com, com
apartamentos, apartamento
bloqueados, bloquear
pelas, por o
agências, agência
de, de
viagens, viagem
e, e
operadoras, operadora
–, –
e, e
com, com
excesso, excesso
de, de
reservas, reserva
., .
São, ser
cerca, cerca
16, 16
mil, mil
leitos, leito
totalmente, totalmente
tomados, tomar
,, ,
segundo, segundo
o, o
presidente, presidente
da, de o
seção, seção
pernambucana, pernambucano
da, de o
Associação, Associação
Brasileira, Brasileira
da, de o
Indústria, Indústria
Hoteleira, Hoteleira
,, ,
Eduardo, Eduardo
Barbosa, Barbosa
de, de
Moraes, Moraes
,, ,
45, 45
., .

, 

A, o
solução, solução
para, para
quem, quem
chega, chegar
à, a o
cidade, cidade
sem, sem
estar, estar
atrelado, atrelar
a, a
um, um
pacote, pacote
turístico, turístico
que, que
garanta, garantir
hospedagem, hospedagem
é, ser
procurar, procurar
pelos, por o
albergues, albergue
ou, ou
apartamentos, apartamento
de, de
temporada, temporada
., .
Quitinetes, quitinete
e, e
imóveis, imóvel
com, com
dois, dois
quartos, quarto
,, ,
porém, porém
,, ,
já, já
não, não
estão, estar
disponíveis, disponível
., .
Sobram, Sobram
os, o
de, de
três, três
e, e
quatro, quatro
quartos, quarto
,, ,
alugados, alugar
em, em
Boa, Boa
Viagem, Viagem
por, por
preços, preço
que, que
variam, variar
de, de
US$, US$
800, 800
a, a
US$, US$
1.500, 1.500
(, (
CR$, CR$
328, 328
mil, mil
a, a
CR$, CR$
615, 615
mil, mil
), )
por, por
mês, mês
,, ,
dependendo, depender
da, de o
localização, localização
., .

, 

PREVINA-SE, PREVINA-SE
-, -
A, A
Delegacia, Delegacia
do, de o
Turista, Turista
recomenda, recomendar
que, que
as, o
pessoas, pessoa
evitem, evitem
se, se
afastar, afastar
dos, de o
corredores, corredor
da, de o
folia, folia
,, ,
áreas, área
em, em
que, que
haverá, haver
policiamento, policiamento
intensivo, intensivo
., .
Na, em o
praia, praia
de, de
Boa, Boa
Viagem, Viagem
,, ,
a, o
orientação, orientação
é, ser
para, para
que, que
sejam, ser
evitadas, evitar
as, o
ruas, rua
transversais, transversal
., .
No, em o
centro, centro
da, de o
cidade, cidade
,, ,
os, o
turistas, turista
devem, dever
manter, manter
distância, distância
das, de o
áreas, área
próximas, próximo
ao, a o
Mercado, Mercado
São, São
José, José
,, ,
Cais, Cais
de, de
Santa, Santa
Rita, Rita
e, e
praça, praça
Sérgio, Sérgio
Loreto, Loreto
., .
A, o
Delegacia, Delegacia
do, de o
Turista, Turista
funciona, funcionar
em, em
Boa, Boa
Viagem, Viagem
,, ,
na, em o
rua, rua
Navegantes, Navegantes
,, ,
1.003, 1.003
,, ,
tel., tel.
(, (
081, 081
), )
326-9603, 326-9603
., .

, 

