Foi, ﻿Foi
temporadas, temporada
., .
Na, em o
casa, casa
de, de
Mansell, Mansell
,, ,
quem, quem
manda, mandar
é, ser
ela, ele
., .

, 

A, o
Europa, Europa
também, também
se, se
curvou, curvar
ao, a o
estilo, estilo
agressivo, agressivo
e, e
vistoso, vistoso
do, de o
piloto, piloto
britânico, britânico
mais, mais
popular, popular
de, de
todos, todo
os, o
tempos, tempo
., .
Orfã, Orfã
de, de
Mansell, Mansell
,, ,
a, o
Inglaterra, Inglaterra
não, não
conseguiu, conseguir
substituí-lo, substituí-lo
no, em o
coração, coração
dos, de o
torcedores, torcedor
com, com
Damon, Damon
Hill, Hill
., .
Tanto, tanto
que, que
o, o
público, público
em, em
Donington, Donington
numa, em um
prova, prova
de, de
Turismo, Turismo
,, ,
em, em
novembro, novembro
,, ,
foi, ser
maior, grande
do, de o
que, que
o, o
GP, GP
de, de
F-1, F-1
Silverstone, Silverstone
., .
Motivo, motivo
:, :
Mansell, Mansell
estava, estar
lá, lá
,, ,
correndo, correr
com, com
um, um
Ford, Ford
Mondeo, Mondeo
., .
Arrebentou, arrebentar
o, o
carro, carro
num, em um
muro, muro
,, ,
se, se
machucou, machucar
,, ,
mas, mas
matou, matar
a, o
saudade, saudade
de, de
sua, seu
torcida, torcida
., .

, 

Duas, Duas
das, de o
mais, mais
importantes, importante
revistas, revista
européias, européia
de, de
automobilismo, automobilismo
premiaram, premiar
Mansell, Mansell
à, a o
distância, distância
., .
A, o
", "
Autospolesa, Autospolesa
lhe, ele
deu, dar
o, o
título, título
de, de
melhor, bom
piloto, piloto
internacional, internacional
do, de o
ano, ano
na, em o
20.ª, 20.ª
edição, edição
de, de
seu, seu
", "
Autosport, Autosport
Awards, Awards
", "
., .
A, o
", "
Autosprint, Autosprint
", "
italiana, italiano
,, ,
que, que
deu, dar
a, o
Alain, Alain
Prost, Prost
o, o
", "
Capacete, Capacete
de, de
Ouro, ouro
", "
,, ,
arranjou, arranjar
um, um
", "
Capacete, capacete
especial, especial
", "
para, para
Mansell, Mansell
–, –
algo, algo
como, como
aqueles, aquele
Oscars, Oscars
oferecidos, oferecer
a, a
cineastas, cineasta
pelo, por o
conjunto, conjunto
de, de
suas, seu
obras, obra
., .

, 

Os, o
prêmios, prêmio
das, de o
duas, dois
revistas, revista
,, ,
mais, mais
o, o
recebido, receber
nos, em o
EUA, EUA
,, ,
não, não
deixam, deixar
dúvidas, dúvida
., .
Apesar, apesar
da, de o
menor, pequeno
visibilidade, visibilidade
mundial, mundial
da, de o
Indy, Indy
em, em
relação, relação
à, a o
F-1, F-1
,, ,
Nigel, Nigel
foi, ser
mesmo, mesmo
o, o
piloto, piloto
que, que
em, em
93, 93
encheu, encher
os, o
olhos, olho
., .
Até, até
Prost, Prost
conquistar, conquistar
o, o
campeonato, campeonato
,, ,
ele, ele
conseguiu, conseguir
ser, ser
o, o
único, único
na, em o
história, história
a, a
deter, deter
os, o
títulos, título
da, de o
F-1, F-1
e, e
da, de o
Indy, Indy
ao, a o
mesmo, mesmo
tempo, tempo
., .
Fez, Fez
mais, mais
,, ,
estreando, estrear
com, com
pole, pole
e, e
vitória, vitória
na, em o
sua, seu
nova, novo
categoria, categoria
–, –
algo, algo
inédito, inédito
até, até
então, então
., .
O, o
presidente, presidente
da, de o
Foca, Foca
,, ,
Bernie, Bernie
Ecclestone, Ecclestone
,, ,
no, em o
ano, ano
passado, passado
,, ,
disse, dizer
que, que
Nigel, Nigel
não, não
faria, fazer
falta, falta
nenhuma, nenhum
à, a o
F-1, F-1
., .
O, o
bigodudo, bigodudo
e, e
desengonçado, desengonçar
Mansell, Mansell
respondeu, responder
como, como
se, se
deve, dever
., .
A, o
F-1, F-1
está, estar
até, até
agora, agora
procurando, procurar
alguém, alguém
que, que
o, ele
substitua, substituar
à, a o
altura, altura
., .

, 

