Dezenas, ﻿Dezena
e, e
Sea, Sea
World, World
., .
A, o
parte, parte
terrestre, terrestre
começa, comedir
em, em
US$, US$
1.224, 1.224
/, /
CR$, CR$
428, 428
mil, mil
(, (
quádruplo, quádruplo
), )
;, ;
criança, criança
paga, pagar
US$, US$
947, 947
/, /
CR$, CR$
331, 331
mil, mil
., .

, 

Na, em o
linha, linha
supereconômica, supereconômico
,, ,
 ,  
Ati, Ati
,, ,
Holiday, Holiday
,, ,
Monark, Monark
e, e
 ,  
Rextur, Rextur
lançaram, lançar
este, este
mês, mês
o, o
Miami, Miami
Magic, Magic
Flight, Flight
,, ,
um, um
programa, programa
de, de
15, 15
dias, dia
em, em
Miami, Miami
e, e
Orlando, Orlando
,, ,
por, por
US$, US$
1.880, 1.880
/, /
CR$, CR$
658, 658
mil, mil
,, ,
ou, ou
15, 15
de, de
US$, US$
146, 146
/, /
CR$, CR$
51, 51
mil, mil
,, ,
incluindo, incluir
passagem, passagem
aérea, aéreo
,, ,
hotel, hotel
,, ,
passeios, passeio
e, e
traslados, traslado
., .

, 

Há, haver
ainda, ainda
outras, outro
tradicionais, tradicional
operadoras, operadora
de, de
Disney, Disney
–, –
Agaxtur, Agaxtur
,, ,
Costa, Costa
,, ,
CVC, CVC
,, ,
Dimensão, Dimensão
,, ,
Panexpress, Panexpress
e, e
Soletur, Soletur
., .
Confira, Confira
os, o
telefones, telefone
e, e
bons, bom
negócios!(PTV, negócios!(PTV
), )

, 

AGAXTUR, AGAXTUR
:, :
(, (
011, 011
), )
214-2211, 214-2211
;, ;
ATI, aTI
:, :
(, (
011, 011
), )
258-4899, 258-4899
;, ;
COSTA, COSTA
:, :
(, (
011, 011
), )
258-0566, 258-0566
;, ;
CVC, CVC
:, :
(, (
011, 011
), )
259-8255, 259-8255
;, ;
DIMENSÃO, dIMENSÃO
:, :
(, (
011, 011
), )
257-8622, 257-8622
;, ;
 ,  
GRANTUR, GRANTUR
:, :
(, (
011, 011
), )
533-8811, 533-8811
;, ;
HOLIDAY, HOLIDAY
:, :
(, (
011, 011
), )
258-2644, 258-2644
;, ;
MONARK, MONARK
:, :
(, (
011, 011
), )
259-4322, 259-4322
;, ;
PANEXPRESS, PANEXPRESS
:, :
(, (
011, 011
), )
259-5122, 259-5122
;, ;
REXTUR, REXTUR
:, :
(, (
011, 011
), )
214-1001, 214-1001
;, ;
STELLA, STELLA
BARROS, BARROS
:, :
(, (
011, 011
), )
851-0500, 851-0500
;, ;
 ,  
TIA, TIA
AUGUSTA, AUGUSTA
:, :
(, (
011, 011
), )
884-5111, 884-5111
., .

, 

