Os, ﻿Os
cedo, cedo
., .
À, a o
noite, noite
,, ,
a, o
equipe, equipe
viaja, viajar
para, para
a, o
Europa, Europa
., .

, 

O, o
Brasil, Brasil
fará, fazer
dois, dois
amistosos, amistoso
contra, contra
a, o
Holanda, Holanda
,, ,
dias, dia
15, 15
e, e
16, 16
,, ,
e, e
enfrenta, enfrentar
a, o
Espanha, Espanha
pela, por o
Liga, Liga
Mundial, Mundial
,, ,
dias, dia
19, 19
e, e
21, 21
., .

, 

`, `
`, `
A, o
Espanha, Espanha
não, não
será, ser
um, um
adversário, adversário
fácil, fácil
., .
Será, ser
um, um
time, time
parecido, parecer
com, com
aquele, aquele
que, que
disputou, disputar
a, o
Olimpíada, olimpíada
de, de
92, 92
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
José, José
Roberto, Roberto
Guimarães, Guimarães
., .

, 

Cuba, Cuba
e, e
Estados, Estados
Unidos, Unidos
completam, completar
a, o
chave, chave
brasileira, brasileiro
., .

, 

`, `
`, `
É, ser
um, um
grupo, grupo
complicado, complicado
,, ,
mas, mas
nós, nós
temos, ter
treinado, treinar
com, com
muita, muito
seriedade, seriedade
., .
'', ''

, 

(, (
JCA, JCA
), )

, 

