Só, ﻿Só
o, o
artilheiro, artilheiro
com, com
sete, sete
gols, gol
., .

, 

A, o
equipe, equipe
do, de o
Londrina, Londrina
é, ser
uma, um
das, de o
mais, mais
altas, alta
da, de o
competição, competição
., .
", "
A, o
média, média
de, de
altura, altura
é, ser
de, de
1,83, 1,83
m, m
,, ,
1,84, 1,84
m, m
", "
,, ,
diz, dizer
o, o
técnico, técnico
., .
Por, por
isso, isso
,, ,
o, o
time, time
quase, quase
não, não
sofre, sofrer
gols, gol
de, de
cabeça, cabeça
., .
", "
O, o
primeiro, primeiro
gol, gol
do, de o
São, São
Paulo, Paulo
sobre, sobre
a, o
gente, gente
foi, ser
uma, um
exceção, exceção
., .
Foi, ser
uma, um
desatenção, desatenção
que, que
não, não
é, ser
comum, comum
., .
Até, até
me, eu
deixou, deixar
chateado, chateado
., .
", "
Canhoto, Canhoto
credita, creditar
a, o
única, único
derrota, derrota
em, em
parte, parte
ao, a o
fato, fato
de, de
nunca, nunca
ter, ter
visto, ver
um, um
jogo, jogo
do, de o
São, São
Paulo, Paulo
antes, antes
., .
", "
Eu, eu
ainda, ainda
não, não
os, o
conhecia, conhecer
., .
", "

, 

PALMEIRAS, PALMEIRAS

, 

Marcelo, Marcelo
;, ;
Ferreira, Ferreira
,, ,
Moraes, Moraes
,, ,
Oswaldo, Oswaldo
e, e
Verdinho, Verdinho
;, ;
Amaral, Amaral
,, ,
Flávio, Flávio
e, e
André, André
Chaves, Chaves
;, ;
César, César
,, ,
Magrão, Magrão
e, e
Ângelo, Ângelo
., .
Técnico, Técnico
-, -
Niltinho, Niltinho

, 

LONDRINA, LONDRINA

, 

Zé, Zé
Humberto, Humberto
;, ;
Varta, Varta
,, ,
Oséias, Oséias
,, ,
Binho, Binho
e, e
Vanderlei, Vanderlei
;, ;
Volmar, Volmar
,, ,
Alemão, Alemão
,, ,
Tião, Tião
e, e
Fábio, Fábio
;, ;
Agnaldo, Agnaldo
e, e
César, César
., .
Técnico, Técnico
-, -
Canhoto, Canhoto

, 

Local, Local
:, :
Parque, Parque
Antactica, Antactica

, 

Horário, Horário
:, :
17h, 17h

, 

Juiz, Juiz
:, :
Joaquim, Joaquim
Carlos, Carlos
Caetano, Caetano

, 

NA, NA
TV, tv
:, :
TV, TV
Gazeta, Gazeta
,, ,
ao, a o
vivo, vivo

, 

