A, ﻿A
Grêmio, Grêmio
), )
e, e
Gélson, Gélson
(, (
revelado, revelar
no, em o
Flamengo, Flamengo
), )
_, _
têm, ter
falhado, falhar
seguidamente, seguidamente
., .

, 

Após, após
a, o
partida, partida
contra, contra
o, o
Fluminense, Fluminense
,, ,
torcedores, torcedor
tentaram, tentar
invadir, invadir
o, o
vestiário, vestiário
no, em o
Maracanã, maracanã
para, para
agredir, agredir
jogadores, jogador
e, e
o, o
técnico, técnico
., .
O, o
treinador, treinador
de, de
goleiros, goleiro
Cantarelle, Cantarelle
foi, ser
atingido, atingir
com, com
socos, soco
e, e
pontapés, pontapé
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
do, de o
Brasil, Brasil
na, em o
Copa, Copa
do, de o
Mundo, Mundo
de, de
94, 94
,, ,
Branco, Branco
,, ,
tem, ter
sido, ser
vaiado, vaiar
pela, por o
torcida, torcida
., .

, 

Outro, outro
tetracampeão, tetracampeão
novo, novo
no, em o
clube, clube
,, ,
o, o
atacante, atacante
Romário, Romário
,, ,
voltou, voltar
a, a
jogar, jogar
domingo, domingo
,, ,
após, após
três, três
semanas, semana
fora, fora
devido, devido
a, a
uma, um
suposta, suposto
lesão, lesão
muscular, muscular
., .
Foi, ser
mal, mal
., .

, 

Ontem, ontem
,, ,
de, de
folga, folga
,, ,
Romário, Romário
chegou, chegar
às, a o
14h30, 14h30
ao, a o
quiosque, quiosque
Viajandão, Viajandão
,, ,
na, em o
praia, praia
da, de o
Barra, Barra
da, de o
Tijuca, Tijuca
(, (
zona, zona
sul, sul
do, de o
Rio, Rio
), )
., .

, 

Ao, ao
contrário, contrário
do, de o
que, que
costuma, costumar
fazer, fazer
,, ,
não, não
jogou, jogar
futevôlei, futevôlei
., .
Ficou, ficar
lá, lá
15, 15
minutos, minuto
,, ,
disse, dizer
que, que
estava, estar
com, com
fome, fome
e, e
foi, ser
embora, embora
para, para
almoçar, almoçar
., .

, 

