Pela, ﻿Pela
,, ,
US$, US$
18, 18
mil, mil
., .

, 

NA, NA
TV, tv

, 

Bandeirantes, Bandeirante
,, ,
ao, a o
vivo, vivo
,, ,
às, a o
21h, 21h

, 

