A, ﻿A
do, de o
Casa, Casa
", "
., .
", "
Conheço, Conheço
ele, ele
desde, desde
os, o
12, 12
anos, ano
", "
,, ,
acrescentou, acrescentar
., .

, 

Com, com
ou, ou
sem, sem
Casagrande, Casagrande
,, ,
Riul, Riul
espera, esperar
que, que
o, o
ataque, ataque
se, se
mova, movar
o, o
tempo, tempo
todo, todo
,, ,
confundindo, confundir
a, o
defesa, defesa
e, e
abrindo, abrir
espaço, espaço
para, para
os, o
jogadores, jogador
de, de
meio, meio
., .
Hoje, hoje
à, a o
tarde, tarde
,, ,
se, se
saberá, saber
o, o
quanto, quanto
disso, de isso
vai, ir
acontecer, acontecer
., .

, 

