Cinco, ﻿Cinco
Doriva, Doriva
,, ,
Dunga, Dunga
,, ,
Rivaldo, Rivaldo
(, (
Sérgio, Sérgio
Manoel, Manoel
), )
e, e
Juninho, Juninho
;, ;
Túlio, Túlio
e, e
Ronaldo, Ronaldo
., .

, 

Não, não
foram, ser
chamados, chamar
atletas, atleta
de, de
Corinthians, Corinthians
,, ,
Flamengo, Flamengo
,, ,
Vasco, Vasco
,, ,
Atlético-MG, Atlético-MG
e, e
Cruzeiro, Cruzeiro
porque, porque
esses, esse
times, time
jogam, jogar
no, em o
meio, meio
da, de o
semana, semana
que, que
vem, vir
pela, por o
Copa, copa
do, de o
Brasil, Brasil
., .

, 

São, São
Paulo, Paulo
foi, ser
o, o
Estado, estado
com, com
mais, mais
(, (
11, 11
), )
jogadores, jogador
convocados, convocar
., .
Foi, ser
seguido, seguir
por, por
Rio, Rio
Grande, Grande
do, de o
Sul, Sul
(, (
três, três
), )
,, ,
Rio, Rio
(, (
dois, dois
), )
,, ,
Pernambuco, Pernambuco
e, e
Bahia, Bahia
(, (
um, um
cada, cada
), )
., .
Quatro, quatro
jogadores, jogador
atuam, atuar
no, em o
exterior, exterior
., .

, 

Não, não
foram, ser
chamados, chamar
atletas, atleta
radicados, radicar
no, em o
Japão, Japão
porque, porque
Zagallo, Zagallo
considera, considerar
desgastante, desgastante
a, o
viagem, viagem
para, para
eles, ele
., .

, 

