Dos, ﻿Dos
de, de
juniores, juniores
,, ,
como, como
Caio, Caio
ou, ou
Guilherme, Guilherme
,, ,
caso, caso
Valdeir, Valdeir
mantenha, manter
sua, seu
decisão, decisão
., .
O, o
problema, problema
está, estar
em, em
sacrificar, sacrificar
jogadores, jogador
que, que
atuaram, atuar
ontem, ontem
pela, por o
semifinal, semifinal
da, de o
Copa, copa
SP, SP
de, de
Juniores, Juniores
contra, contra
o, o
Inter, Inter
de, de
Porto, Porto
Alegre, Alegre
., .

, 

Mesmo, mesmo
sem, sem
estar, estar
em, em
plena, pleno
forma, forma
,, ,
o, o
recém-contratado, recém-contratado
Júnior, Júnior
Baiano, Baiano
será, ser
outro, outro
sacrificado, sacrificar
., .
Com, com
o, o
acerto, acerto
da, de o
transferência, transferência
de, de
Ronaldo, Ronaldo
para, para
o, o
futebol, futebol
japonês, japonês
–, –
ele, ele
pode, poder
viajar, viajar
já, já
nas, em o
próximas, próximo
semanas, semana
–, –
,, ,
Murici, Murici
não, não
teve, ter
como, como
poupar, poupar
o, o
zagueiro, zagueiro
., .
", "
O, o
que, que
eu, eu
posso, poder
fazer, fazer
?, ?
", "
,, ,
perguntava, perguntar
Murici, Murici
,, ,
na, em o
sexta-feira, sexta-feira
., .

, 

Como, como
compensação, compensação
,, ,
o, o
técnico, técnico
iria, ir
orientar, orientar
os, o
jogadores, jogador
de, de
meio-campo, meio-campo
a, a
resguardar, resguardar
o, o
setor, setor
do, de o
novo, novo
zagueiro, zagueiro
., .
", "
A, o
característica, característica
do, de o
São, São
Paulo, Paulo
é, ser
um, um
forte, forte
ataque, ataque
,, ,
mas, mas
com, com
a, o
defesa, defesa
desguarnecida, desguarnecer
,, ,
teremos, ter
que, que
recuar, recuar
os, o
homens, homem
do, de o
meio, meio
para, para
evitar, evitar
surpresas, surpresa
", "
,, ,
afirmou, afirmar
Murici, Murici
., .
O, o
treinador, treinador
,, ,
porém, porém
,, ,
negou, negar
que, que
a, o
equipe, equipe
jogará, jogar
para, para
se, se
defender, defender
., .

, 

O, o
volante, volante
Axel, Axel
,, ,
contratado, contratar
junto, junto
ao, a o
Santos, Santos
após, após
complicada, complicado
negociação, negociação
,, ,
tinha, ter
apresentação, apresentação
marcada, marcar
para, para
ontem, ontem
,, ,
no, em o
clube, clube
., .
Já, já
Dinho, Dinho
,, ,
que, que
,, ,
contrariado, contrariar
,, ,
foi, ir
para, para
a, o
equipe, equipe
santista, santista
,, ,
viajou, viajar
para, para
o, o
litoral, litoral
junto, junto
de, de
seu, seu
advogado, advogado
Antônio, Antônio
Carlos, Carlos
Catta-Preta, Catta-Preta
,, ,
para, para
tentar, tentar
acertar, acertar
as, o
bases, base
de, de
seu, seu
contrato, contrato
., .
A, o
diretoria, diretoria
são-paulina, são-paulina
promete, prometer
para, para
a, o
próxima, próximo
semana, semana
uma, um
nova, novo
tentativa, tentativa
para, para
trazer, trazer
o, o
meia, meia
Euler, Euler
do, de o
América, América
(, (
MG, MG
), )
., .

, 

Já, já
o, o
Santo, Santo
André, André
também, também
entrará, entrar
em, em
campo, campo
desfalcado, desfalcar
., .
O, o
técnico, técnico
Hélio, Hélio
dos, de o
Anjos, Anjos
não, não
poderá, poder
contar, contar
com, com
o, o
lateral, lateral
Paulinho, Paulinho
,, ,
o, o
zagueiro, zagueiro
Badu, Badu
e, e
o, o
volante, volante
Candeias, Candeias
., .
Os, o
três, três
estão, estar
com, com
dores, dor
musculares, muscular
., .

, 

Hélio, Hélio
considera, considerar
que, que
o, o
São, São
Paulo, Paulo
será, ser
um, um
dos, de o
mais, mais
fortes, forte
adversários, adversário
da, de o
equipe, equipe
,, ,
assim, assim
como, como
o, o
Palmeiras, Palmeiras
., .
", "
Temos, ter
que, que
apostar, apostar
no, em o
conjunto, conjunto
,, ,
já, já
que, que
a, o
equipe, equipe
não, não
contará, contar
com, com
três, três
titulares, titular
", "
,, ,
afirmou, afirmar
., .

, 

O, o
clube, clube
do, de o
ABC, ABC
investiu, investir
em, em
12, 12
contratações, contratação
para, para
este, este
Campeonato, Campeonato
Paulista, Paulista
e, e
tem, ter
como, como
objetivo, objetivo
chegar, chegar
entre, entre
os, o
primeiros, primeiro
colocados, colocado
do, de o
torneio, torneio
., .

, 

NA, NA
TV, tv
:, :
TVA, TVA
,, ,
videoteipe, videoteipe
,, ,
às, a o
17h, 17h

, 

