Até, ﻿Até
503, 503
pessoas, pessoa
a, a
menos, menos
., .

, 

A, o
média, médio
paulistana, paulistano
piora, piora
um, um
pouco, pouco
se, se
forem, ser
considerados, considerar
os, o
jogos, jogo
de, de
seus, seu
clubes, clube
que, que
foram, ser
disputados, disputar
em, em
Santo, Santo
André, André
,, ,
cidade, cidade
vizinha, vizinho
,, ,
em, em
virtude, virtude
da, de o
crise, crise
de, de
estádios, estádio
no, em o
início, início
do, de o
campeonato, campeonato
., .

, 

A, o
média, média
de, de
8.328, 8.328
cairia, cairia
para, para
8.298, 8.298
pagantes, pagante
por, por
partida, partida
., .

, 

Santos, Santos
também, também
tem, ter
suas, seu
médias, média
prejudicadas, prejudicar
devido, devido
à, a o
falta, falta
de, de
segurança, segurança
dos, de o
estádios, estádio
do, de o
litoral, litoral
paulista, paulista
em, em
casos, caso
de, de
superlotação, superlotação
., .

, 

Enquanto, enquanto
Palmeiras, Palmeiras
x, x
Corinthians, Corinthians
pôde, poder
reunir, reunir
36.810, 36.810
no, em o
Pacaembu, Pacaembu
,, ,
sem, sem
lotar, lotar
,, ,
o, o
Santos, Santos
teve, ter
que, que
reduzir, reduzir
o, o
número, número
de, de
ingressos, ingresso
para, para
o, o
clássico, clássico
contra, contra
o, o
São, São
Paulo, Paulo
., .
Foram, ser
colocados, colocar
à, a o
disposição, disposição
20, 20
mil, mil
dos, de o
25, 25
mil, mil
assentos, assento
de, de
seu, seu
estádio, estádio
., .
Todos, todo
foram, ser
vendidos, vender
., .

, 

O, o
desempenho, desempenho
de, de
São, São
Paulo, Paulo
é, ser
derrubado, derrubar
principalmente, principalmente
pelo, por o
Juventus, Juventus
., .
Sua, seu
média, média
de, de
3.096, 3.096
pagantes, pagante
por, por
jogo, jogo
é, ser
um, um
terço, terço
da, de o
do, de o
Santos, Santos
., .
A, o
Portuguesa, Portuguesa
pouco, pouco
contribui, contribuir
,, ,
com, com
média, média
de, de
6.743, 6.743
pagantes, pagante
,, ,
32, 32
%, %
menor, pequeno
que, que
a, o
do, de o
time, time
santista, santista
., .

, 

