O, ﻿O
defenestrá-lo, defenestrá-lo
agora, agora
., .
Mas, mas
a, o
simples, simples
agonia, agonia
de, de
somar-se, somar se
ao, a o
cabalístico, cabalístico
sete, sete
jogos, jogo
sem, sem
vitória, vitória
uma, um
derrota, derrota
diante, diante
do, de o
Corinthians, Corinthians
,, ,
logo, logo
o, o
Corinthians, Corinthians
,, ,
ah, ah
,, ,
isso, isso
já, já
basta, bastar
para, para
tirar, tirar
qualquer, qualquer
palestrino, palestrino
fora, fora
do, de o
eixo, eixo
., .

, 

Além, além
do, de o
mais, mais
,, ,
quem, quem
sabe, saber
,, ,
sua, seu
saída, saída
não, não
sirva, sirvar
para, para
despertar, despertar
os, o
brios, brio
do, de o
time, time
,, ,
o, o
suficiente, suficiente
,, ,
ao, a o
menos, menos
,, ,
para, para
vencer, vencer
o, o
Corinthians, Corinthians
?, ?
Pronto, pronto
,, ,
isso, isso
já, já
vale, valer
uma, um
vida, vida
., .

, 

Alberto, Alberto
Helena, Helena
Jr., Jr.
escreve, escrever
às, a o
quartas, quarto
,, ,
domingos, domingo
e, e
segundas, segundo

, 

