Cordiais, ﻿Cordial
Famílias, Famílias
,, ,
que, que
ainda, ainda
hoje, hoje
produz, produzir
as, o
receitas, receita
que, que
fizeram, fazer
o, o
sucesso, sucesso
do, de o
estabelecimento, estabelecimento
fundado, fundar
nos, em o
anos, ano
40, 40
pelo, por o
espanhol, espanhol
Jesus, Jesus
Alvarez, Alvarez
Terzado, Terzado
etc., etc.

, 

Cruza-se, cruzar se
a, o
quilométrica, quilométrico
rua, rua
Marechal, Marechal
Floriano, Floriano
Peixoto, Peixoto
,, ,
avança-se, avançar se
até, até
a, o
alameda, alameda
Doutor, Doutor
Muricy, Muricy
e, e
se, se
chega, chegar
ao, a o
epicentro, epicentro
de, de
gentilezas, gentileza
e, e
maledicências, maledicêncio
., .
No, em o
Bondinho, Bondinho
da, de o
Rua, Rua
das, de o
Flores, Flores
,, ,
os, o
pais, pai
podem, poder
", "
estacionar, estacionar
", "
os, o
filhos, filho
enquanto, enquanto
fazem, fazer
compras, compra
,, ,
e, e
no, em o
Palácio, Palácio
Avenida, Avenida
,, ,
no, em o
fim, fim
do, de o
ano, ano
,, ,
é, ser
difícil, difícil
não, não
se, se
emocionar, emocionar
com, com
as, o
crianças, criança
que, que
cantam, cantar
músicas, música
natalinas, natalino
do, de o
", "
palco, palco
", "
iluminado, iluminar
de, de
sua, seu
fachada, fachada
., .
É, ser
o, o
lado, lado
gentil, gentil
de, de
uma, um
cidade, cidade
gentil, gentil
., .

, 

A, o
Boca, Boca
Maldita, Maldita
,, ,
e, e
", "
sucursais, sucursal
", "
como, como
os, o
bares, bar
Mignon, Mignon
e, e
Triângulo, Triângulo
,, ,
é, ser
um, um
espaço, espaço
para, para
a, o
fofoca, fofoca
masculina, masculino
,, ,
aquela, aquele
que, que
começa, começar
como, como
um, um
fio, fio
d'água, d'água
e, e
termina, terminar
como, como
um, um
Amazonas, Amazonas
–, –
segundo, segundo
as, o
,, ,
digamos, dizer
,, ,
fofocas, fofoca
,, ,
coube, caber
ao, a o
lugar, lugar
parcela, parcela
de, de
responsabilidade, responsabilidade
pela, por o
cassação, cassação
do, de o
governador, governador
Haroldo, Haroldo
Leon, Leon
Peres, Peres
,, ,
nos, em o
anos, ano
70, 70
., .
Mais, mais
à, a o
frente, frente
,, ,
na, em o
avenida, avenida
Luiz, Luiz
Xavier, Xavier
,, ,
sequência, sequência
da, de o
15, 15
de, de
Novembro, novembro
e, e
,, ,
para, para
os, o
curitibanos, curitibano
,, ,
a, o
", "
menor, pequeno
do, de o
mundo, mundo
", "
,, ,
os, o
", "
caras-pintadas, caras-pintar
", "
paranaenses, paranaense
ajudaram, ajudar
a, a
cassar, cassar
o, o
presidente, presidente
Collor, Collor
., .

, 

Na, em o
rua, rua
15, 15
de, de
Novembro, novembro
,, ,
ao, a o
que, que
parece, parecer
,, ,
tudo, tudo
é, ser
possível, possível
., .
Assim, assim
,, ,
não, não
se, se
surpreenda, surpreendar
se, se
,, ,
na, em o
véspera, véspera
de, de
Natal, Natal
,, ,
o, o
Cristo, Cristo
reencarnado, reencarnar
sair, sair
desfilando, desfilar
carregado, carregar
num, em um
trono, trono
–, –
é, ser
uma, um
manifestação, manifestação
da, de o
", "
igreja, igreja
da, de o
Soust, Soust
", "
,, ,
que, que
apregoa, apregoar
ser, ser
a, o
", "
única, único
de, de
Cristo, Cristo
", "
., .
(, (
Federico, Federico
Mengozzi, Mengozzi
), )

, 

