Assim, ﻿Assim
a, o
conversa, conversa
de, de
espectadores, espectador
à, a o
minha, meu
frente, frente
., .
Voltei, Voltei
para, para
o, o
carro, carro
e, e
mamãe, mamãe
disse, dizer
que, que
talvez, talvez
ele, ele
não, não
sobrevivesse, sobreviver
., .

, 

Ficamos, Ficamos
com, com
o, o
rádio, rádio
ligado, ligar
., .
Quando, quando
ouvi, ouvir
que, que
ele, ele
morrera, morrerar
,, ,
deitei, deitar
no, em o
banco, banco
de, de
trás, trás
e, e
comecei, começar
a, a
chorar, chorar
., .
Senti, sentir
um, um
vazio, vazio
por, por
dentro, dentro
., .

, 

A, o
coisa, coisa
de, de
que, que
me, eu
lembro, lembro
melhor, bom
foi, ser
,, ,
naquela, em aquele
noite, noite
,, ,
um, um
comentário, comentário
de, de
Murray, Murray
Walker, Walker
,, ,
o, o
mais, mais
famoso, famoso
locutor, locutor
britânico, britânico
de, de
GPs, GPs
:, :
`, `
Eu, eu
me, eu
lembro, lembro
de, de
Ayrton, Ayrton
Senna, Senna
., .
E, e
é, ser
terrível, terrível
ter, ter
que, que
usar, usar
essa, esse
palavra, palavra
., .
', '
Era, ser
visível, visível
que, que
ele, ele
havia, haver
chorado, chorar
., .
Isso, isso
me, eu
arrasou, arrasar
., .
'', ''
Leanne, Leanne
Winfield, Winfield
,, ,
16, 16
,, ,
Leeds, Leeds
., .

, 

CANADÁ, CANADÁ

, 

`, `
`, `
Quando, quando
Senna, Senna
não, não
saiu, sair
do, de o
carro, carro
e, e
,, ,
pior, mau
,, ,
quando, quando
o, o
comissário, comissário
de, de
pista, pista
decidiu, decidir
esperar, esperar
pelos, por o
médicos, médico
,, ,
percebi, percebi
que, que
era, ser
sério, sério
., .

, 

É, ser
terrivelmente, terrivelmente
injusto, injusto
que, que
eu, eu
tenha, ter
aceitado, aceitar
tão, tão
rapidamente, rapidamente
a, o
morte, morte
de, de
Ratzenberger, Ratzenberger
e, e
tenha, ter
ficado, ficar
tão, tão
chocado, chocar
com, com
a, o
de, de
Senna, Senna
., .

, 

Nunca, nunca
imaginei, imaginar
que, que
teria, ter
um, um
vínculo, vínculo
tão, tão
forte, forte
com, com
outro, outro
piloto, piloto
depois, depois
da, de o
morte, morte
de, de
Gilles, Gilles
Villeneuve, Villeneuve
., .
Mas, mas
aconteceu, acontecer
e, e
ainda, ainda
dói, dói
., .
'', ''
Ferdinand, Ferdinand
Trauttmansdorff, Trauttmansdorff
,, ,
37, 37
,, ,
Ottawa, Ottawa
., .

, 

HOLANDA, HOLANDA

, 

`, `
`, `
Na, em o
véspera, véspera
eu, eu
vira, virar
os, o
acidentes, acidente
de, de
Ratzenberger, Ratzenberger
e, e
Barrichello, Barrichello
., .
Já, já
estava, estar
com, com
um, um
mau, mau
pressentimento, pressentimento
., .
Quando, quando
o, o
acidente, acidente
ocorreu, ocorrer
,, ,
mal, mal
pude, pude
acreditar, acreditar
., .
Mas, mas
era, ser
Senna, Senna
,, ,
ele, ele
ia, ir
sair, sair
do, de o
carro, carro
e, e
vencer, vencer
o, o
GP, GP
seguinte, seguinte
., .

, 

Durante, durante
e, e
depois, depois
da, de o
corrida, corrida
,, ,
fiquei, fiquei
mudando, mudar
de, de
canal, canal
,, ,
à, a o
procura, procura
de, de
notícias, notícia
., .
Alguns, algum
dias, dia
depois, depois
,, ,
minha, meu
mulher, mulher
gravou, gravar
um, um
documentário, documentário
sobre, sobre
ele, ele
., .
Até, até
hoje, hoje
não, não
pude, pude
vê-lo, ver ele
., .
'', ''
Marcel, Marcel
van, van
Beuzekom, Beuzekom
,, ,
27, 27
,, ,
Oosterhout, Oosterhout
., .

, 

AUSTRÁLIA, AUSTRÁLIA

, 

`, `
`, `
Sempre, sempre
assisto, assistar
às, a o
provas, prova
,, ,
embora, embora
passem, passar
de, de
madrugada, madrugada
., .
Quando, quando
houve, haver
o, o
acidente, acidente
,, ,
fiquei, fiquei
chateado, chatear
,, ,
porque, porque
ele, ele
não, não
ia, ir
terminar, terminar
outra, outro
vez, vez
., .
Mas, mas
,, ,
quando, quando
vi, ver
sua, seu
cabeça, cabeça
balançar, balançar
,, ,
esperei, esperei
o, o
pior, mau
., .

, 

Não, não
pude, pude
dormir, dormir
naquela, em aquele
noite, noite
., .
Tive, ter
pesadelos, pesadelo
,, ,
e, e
,, ,
toda, toda
vez, vez
que, que
fechava, fechar
os, o
olhos, olho
,, ,
revia, reviar
o, o
acidente, acidente
claramente, claramente
., .
Meu, meu
único, único
desejo, desejo
é, ser
levar, levar
flores, flor
a, a
seu, seu
túmulo, túmulo
., .
'', ''
Antero, Antero
Bonifacio, Bonifacio
,, ,
22, 22
,, ,
Melbourne, Melbourne
., .

, 

NOVA, NOVA
ZELÂNDIA, ZELÂNDIA

, 

`, `
`, `
Sou, Sou
fã, fã
de, de
automobilismo, automobilismo
desde, desde
os, o
anos, ano
70, 70
., .
Chorei, Chorei
ao, a o
ver, ver
na, em o
TV, tv
a, o
morte, morte
de, de
Gilles, Gilles
Villeneuve, Villeneuve
., .
Meu, meu
interesse, interesse
pela, por o
F-1, F-1
acabou, acabar
., .
Só, só
voltei, voltar
a, a
vê-la, vê-la
em, em
1988, 1988
,, ,
quando, quando
a, o
TV, tv
mostrou, mostrar
(, (
coisa, coisa
rara, raro
então, então
), )
o, o
GP, GP
do, de o
Japão, Japão
., .

, 

Foi, ser
o, o
GP, GP
em, em
que, que
um, um
piloto, piloto
fez, fazer
a, a
mais, mais
incrível, incrível
das, de o
corridas, corrida
de, de
recuperação, recuperação
,, ,
saindo, sair
do, de o
14º, 14º
para, para
o, o
1º, 1º
lugar, lugar
e, e
vencendo, vencer
., .
Eu, eu
disse, dizer
VENCENDO, VENCENDO
., .
Era, ser
Ayrton, Ayrton
Senna, Senna
., .

, 

Para, para
mim, eu
,, ,
1º, 1º
de, de
maio, maio
foi, ser
o, o
dia, dia
em, em
que, que
o, o
automobilismo, automobilismo
perdeu, perder
dois, dois
campeões, campeão
:, :
Roland, Roland
Ratzenberger, Ratzenberger
_, _
um, um
dos, de o
poucos, pouco
eleitos, eleito
a, a
competir, competir
na, em o
categoria, categoria
máxima, grande
do, de o
automobilismo, automobilismo
;, ;
e, e
Ayrton, Ayrton
Senna, Senna
_, _
um, um
dos, de o
poucos, pouco
eleitos, eleito
a, a
mudar, mudar
a, o
maneira, maneira
de, de
competir, competir
na, em o
categoria, categoria
máxima, grande
do, de o
automobilismo, automobilismo
., .
'', ''
Stephen, Stephen
McIvor, McIvor
,, ,
26, 26
,, ,
Auckland, Auckland
., .

, 

SUÉCIA, SUÉCIA

, 

`, `
`, `
A, o
primeira, primeiro
coisa, coisa
que, que
pensei, pensar
,, ,
quando, quando
Ratz, Ratz
(, (
Ratzenberger, Ratzenberger
), )
bateu, bater
,, ,
foi, ser
que, que
ele, ele
estava, estar
morto, morto
,, ,
pela, por o
forma, forma
como, como
sua, seu
cabeça, cabeça
estava, estar
solta, solta
no, em o
cockpit, cockpit
., .
A, o
mesma, mesmo
coisa, coisa
com, com
Senna, Senna
,, ,
ele, ele
me, eu
parecia, parecer
morto, matar
., .

, 

Senna, Senna
representava, representar
o, o
esporte, esporte
para, para
muitas, muito
pessoas, pessoa
., .
É, ser
isso, isso
que, que
faz, fazer
da, de o
morte, morte
de, de
um, um
homem, homem
,, ,
que, que
é, ser
uma, um
tragédia, tragédia
relativamente, relativamente
menor, pequeno
em, em
um, um
mundo, mundo
cheio, cheio
de, de
sofrimento, sofrimento
,, ,
uma, um
tragédia, tragédia
de, de
verdade, verdade
para, para
o, o
esporte, esporte
e, e
os, o
torcedores, torcedor
., .
'', ''
Joakim, Joakim
Tarnstom, Tarnstom
,, ,
32, 32
,, ,
Bromma, Bromma
., .

, 

INDONÉSIA, INDONÉSIA

, 

`, `
`, `
Vivo, Vivo
no, em o
meio, meio
da, de o
selva, selva
., .
Minha, minha
ligação, ligação
com, com
o, o
mundo, mundo
real, real
é, ser
através, através
da, de o
Internet, Internet
ou, ou
Compuserve, Compuserve
., .
Soube, Soube
da, de o
morte, morte
de, de
Senna, Senna
pelo, por o
computador, computador
., .

, 

Até, até
hoje, hoje
espero, esperar
ver, ver
seu, seu
nome, nome
nas, em o
listas, lista
de, de
grid, grid
de, de
largada, largar
_, _
na, em o
pole, pole
position, position
,, ,
naturalmente, naturalmente
!, !
Como, como
Jim, Jim
Clark, Clark
,, ,
Jochen, Jochen
Rindt, Rindt
,, ,
Piers, Piers
Courage, Courage
,, ,
Pedro, Pedro
e, e
Ricardo, Ricardo
Rodríguez, Rodríguez
,, ,
Peterson, Peterson
e, e
tantos, tanto
outros, outro
,, ,
ele, ele
se, se
foi, ser
,, ,
mas, mas
nunca, nunca
será, ser
esquecido, esquecer
., .
'', ''
Gordon, Gordon
Greaves, Greaves
,, ,
47, 47
,, ,
Iriã, Iriã
., .

, 

ALEMANHA, ALEMANHA

, 

`, `
`, `
Ainda, Ainda
me, eu
lembro, lembro
bem, bem
do, de o
início, início
da, de o
transmissão, transmissão
do, de o
GP, GP
de, de
Imola, Imola
,, ,
quando, quando
John, John
Watson, Watson
(, (
ex-piloto, ex-piloto
irlandês, irlandês
), )
comentou, comentar
a, o
imagem, imagem
de, de
Senna, Senna
no, em o
carro, carro
,, ,
sem, sem
capacete, capacete
:, :
`, `
Senna, Senna
parece, parecer
pensativo, pensativo
diante, diante
da, de o
perspectiva, perspectiva
das, de o
voltas, volta
do, de o
GP, GP
., .
', '

, 

Pensei, Pensei
:, :
`, `
NÃO, NÃO
,, ,
engano, engano
seu, seu
,, ,
John, John
', '
., .
Não, não
sei, saber
em, em
que, que
Senna, Senna
estava, estar
pensando, pensar
,, ,
mas, mas
seu, seu
rosto, rosto
mostrava, mostrar
algo, algo
além, além
das, de o
simples, simples
preocupações, preocupação
de, de
mais, mais
um, um
GP, GP
., .

, 

Depois, depois
foi, ser
dito, dizer
que, que
ele, ele
tivera, tivera
um, um
pressentimento, pressentimento
de, de
que, que
algo, algo
terrível, terrível
ia, ir
acontecer, acontecer
., .
Para, para
mim, eu
,, ,
era, ser
o, o
que, que
mostrava, mostrar
seu, seu
semblante, semblante
., .

, 

Cresci, Cresci
como, como
fã, fã
de, de
Jochen, Jochen
Rindt, Rindt
(, (
piloto, piloto
austríaco, austríaco
,, ,
morto, morrer
em, em
1970, 1970
), )
e, e
chorei, chorar
com, com
seu, seu
fim, fim
trágico, trágico
., .
Desde, desde
então, então
,, ,
nunca, nunca
a, o
F-1, F-1
me, eu
emocionara, emocionar
tanto, tanto
., .

, 

Tive, ter
que, que
chorar, chorar
ao, a o
ver, ver
o, o
acidente, acidente
_, _
nisso, em isso
,, ,
também, também
,, ,
John, John
Watson, Watson
errou, errar
em, em
seu, seu
comentário, comentário
., .
Era, ser
visível, visível
que, que
algo, algo
fatal, fatal
ocorrera, ocorrerar
., .
'', ''
Jasper, Jasper
Marquardt, Marquardt
,, ,
35, 35
,, ,
Berlim, Berlim
., .

, 

