Após, ﻿Após
Cruzeiro, Cruzeiro
,, ,
Carlos, Carlos
Alberto, Alberto
Silva, Silva
., .

, 

Ele, ele
disse, dizer
ontem, ontem
,, ,
em, em
Belo, Belo
Horizonte, Horizonte
(, (
MG, MG
), )
,, ,
que, que
foi, ser
convidado, convidar
para, para
dirigir, dirigir
o, o
Palmeiras, Palmeiras
pelo, por o
diretor, diretor
de, de
futebol, futebol
,, ,
Gilberto, Gilberto
Cipulo, Cipulo
., .

, 

Silva, Silva
pediu, pedir
cerca, cerca
de, de
US$, US$
50, 50
mil, mil
mensais, mensal
ao, a o
Palmeiras, Palmeiras
e, e
disse, dizer
que, que
deixa, deixar
o, o
Cruzeiro, Cruzeiro
assim, assim
que, que
o, o
clube, clube
paulista, paulista
aceitar, aceitar
a, o
proposta, proposta
., .

, 

`, `
`, `
O, o
Carlos, Carlos
Alberto, Alberto
tem, ter
contrato, contrato
até, até
dia, dia
30, 30
de, de
junho, junho
,, ,
mas, mas
se, se
ele, ele
quiser, querer
sair, sair
,, ,
não, não
vamos, ir
colocar, colocar
nenhum, nenhum
empecilho, empecilho
'', ''
,, ,
afirmou, afirmar
o, o
diretor, diretor
de, de
futebol, futebol
do, de o
Cruzeiro, Cruzeiro
,, ,
José, José
Augusto, Augusto
Trani, Trani
., .

, 

Nesse, em esse
clima, clima
de, de
indefinição, indefinição
,, ,
o, o
interino, interino
Márcio, Márcio
Araújo, Araújo
preparou, preparar
o, o
Palmeiras, Palmeiras
para, para
o, o
jogo, jogo
desta, de este
noite, noite
,, ,
contra, contra
o, o
América, América
., .

, 

Araújo, Araújo
pediu, pedir
para, para
os, o
jogadores, jogador
`, `
`, `
esquecerem, esquecer
a, o
vitória, vitória
sobre, sobre
o, o
Corinthians, Corinthians
e, e
se, se
concentrarem, concentrar
no, em o
América, América
'', ''
., .

, 

As, o
duas, dois
novidades, novidade
do, de o
time, time
,, ,
em, em
relação, relação
ao, a o
último, último
jogo, jogo
,, ,
são, ser
as, o
voltas, volta
do, de o
zagueiro, zagueiro
Cléber, Cléber
e, e
do, de o
lateral-esquerdo, lateral-esquerdo
Roberto, Roberto
Carlos, Carlos
., .

, 

NA, NA
TV, tv

, 

Globosat, Globosat
/, /
Sportv, Sportv
,, ,
ao, a o
vivo, vivo
,, ,
às, a o
20h30, 20h30

, 

*, *
Colaborou, colaborar
a, o
Agência, Agência
Folha, Folha
,, ,
em, em
Belo, Belo
Horizonte, Horizonte

, 

