O, ﻿O
taxa, taxa
de, de
embarque, embarque
,, ,
custava, custar
na, em o
última, último
sexta-feira, sexta-feira
US$, US$
543, 543
., .
Nas, em o
viagens, viagem
internacionais, internacional
da, de o
Air, Air
Vias, Vias
,, ,
crianças, criança
(, (
hospedadas, hospedar
junto, junto
com, com
adultos, adulto
), )
têm, ter
70, 70
%, %
de, de
desconto, desconto
–, –
uma, um
semana, semana
na, em o
Jamaica, Jamaica
custa, custar
US$, US$
1.082, 1.082
(, (
ou, ou
15, 15
de, de
US$, US$
89, 89
), )
;, ;
crianças, criança
pagam, pagar
US$, US$
640, 640
., .
Nos, em o
domésticos, doméstico
,, ,
o, o
desconto, desconto
é, ser
de, de
25, 25
%, %
., .

, 

Segundo, segundo
José, José
Palandi, Palandi
Jr., Jr.
,, ,
gerente, gerente
de, de
marketing, marketing
da, de o
Ati, ati
,, ,
o, o
preço, preço
cai, cair
porque, porque
a, o
Air, Air
Vias, Vias
calcula, calcular
suas, seu
tarifas, tarifa
por, por
hora, hora
voada, voar
e, e
não, não
pelo, por o
número, número
de, de
poltronas, poltrona
vendidas, vender
,, ,
como, como
é, ser
a, o
praxe, praxe
no, em o
vôo, vôo
charter, charter
., .
", "
Quanto, quanto
mais, mais
o, o
avião, avião
voa, voa
,, ,
mais, mais
abaixa, abaixar
o, o
custo, custo
", "
,, ,
diz, dizer
., .
O, o
fato, fato
de, de
usar, usar
a, o
infra-estrutura, infra-estrutura
do, de o
", "
pool, pool
", "
de, de
agências, agência
também, também
barateia, barateia
custos, custo
,, ,
ao, a o
contrário, contrário
das, de o
companhias, companhia
aéreas, aéreo
regionais, regional
,, ,
como, como
TAM, TAM
e, e
Rio-Sul, Rio-Sul
,, ,
que, que
têm, ter
encargos, encargo
maiores, grande
,, ,
os, o
quais, qual
são, ser
levados, levar
em, em
conta, conta
quando, quando
seus, seu
aviões, avião
são, ser
fretados, fretar
., .

, 

Todas, todo
as, o
viagens, viagem
da, de o
nova, novo
empresa, empresa
de, de
charters, charter
são, ser
feitas, fazer
a, a
partir, partir
do, de o
Aeroporto, Aeroporto
Internacional, Internacional
de, de
Guarulhos, Guarulhos
em, em
dois, dois
aviões, avião
Boeing, Boeing
727/200, 727/200
Advance, Advance
,, ,
comprados, comprar
por, por
cerca, cerca
de, de
US$, US$
8, 8
milhões, milhão
cada, cada
em, em
sistema, sistema
de, de
leasing, leasing
,, ,
que, que
levam, levar
172, 172
passageiros, passageiro
., .

, 

Além, além
de, de
utilizar, utilizar
toda, todo
a, o
infra-estrutura, infra-estrutura
das, de o
operadoras, operadora
do, de o
", "
pool, pool
", "
,, ,
a, o
Air, Air
Vias, Vias
contratou, contratar
cerca, cerca
de, de
cem, cem
novos, novo
funcionários, funcionário
,, ,
entre, entre
pessoal, pessoal
de, de
terra, terra
e, e
de, de
bordo, bordo
., .
Segundo, segundo
Carlos, Carlos
Martinez, Martinez
,, ,
diretor, diretor
da, de o
Ati, ati
,, ,
a, o
maioria, maioria
da, de o
mão-de-obra, mão-de-obra
veio, vir
da, de o
Vasp, Vasp
,, ,
Varig, Varig
e, e
Transbrasil, Transbrasil
., .
", "
São, ser
pilotos, piloto
experientes, experiente
,, ,
com, com
mais, mais
de, de
sete, sete
mil, mil
horas, hora
de, de
vôo, vôo
em, em
727, 727
,, ,
que, que
haviam, haver
sido, ser
demitidos, demiter
das, de o
companhias, companhia
brasileiras, brasileiro
", "
., .

, 

ONDE, ONDE
ENCONTRAR, ENCONTRAR
:, :
Ati, ati
(, (
011, 011
), )
258-4899, 258-4899
;, ;
CVC, CVC
(, (
011, 011
), )
231-1222, 231-1222
;, ;
Dimensão, Dimensão
(, (
011, 011
), )
257-8622, 257-8622
;, ;
Flot, Flot
(, (
011, 011
), )
259-4544, 259-4544
;, ;
e, e
Mundirama, Mundirama
(, (
011, 011
), )
259-5577, 259-5577
., .

, 

