Por, ﻿Por
fato, fato
aconteceu, acontecer
., .
E, e
mais, mais
:, :
como, como
o, o
velho, velho
Santiago, Santiago
de, de
Hemingway, Hemingway
(, (
com, com
mil, mil
perdões, perdão
por, por
citar, citar
personagem, personagem
tão, tão
nobre, nobre
a, a
propósito, propósito
de, de
personagem, personagem
tão, tão
pobre, pobre
), )
,, ,
", "
Caixa, Caixa
d'Agua, d'Agua
", "
poderia, poder
ser, ser
destruído, destruir
,, ,
nunca, nunca
derrotado, derrotar
., .

, 

Não, não
há, haver
exagero, exagero
em, em
afirmar, afirmar
que, que
uma, um
CPI, CPI
poderia, poder
destruí-lo, destruí-lo
., .
Só, só
ela, ele
pode, poder
tirá-lo, tirar ele
de, de
um, um
cargo, cargo
para, para
o, o
qual, qual
se, se
reelege, reeleger
,, ,
ad, ad
eternum, eternum
,, ,
com, com
votos, voto
de, de
clubes, clube
e, e
federações, federação
fantasmas, fantasmo
., .
Só, só
ela, ela
poderá, poder
romper, romper
com, com
o, o
suposto, suposto
esquema, esquema
de, de
manipulação, manipulação
de, de
resultados, resultado
através, através
das, de o
arbitragens, arbitragem
,, ,
preservado, preservar
por, por
ele, ele
e, e
seus, seu
assessores, assessor
., .
Só, só
ela, ela
porá, porá
em, em
xeque, xeque
o, o
enriquecimento, enriquecimento
de, de
alguns, algum
assessores, assessor
,, ,
num, em um
futebol, futebol
que, que
,, ,
além, além
de, de
empobrecido, empobrecido
,, ,
se, se
permite, permitir
essa, esse
coisa, coisa
absurda, absurdo
a, a
que, que
chamam, chamar
de, de
", "
evasão, evasão
de, de
rendas, renda
", "
., .
Só, só
ela, ela
devolverá, devolver
ao, a o
futebol, futebol
carioca, carioca
a, o
grandeza, grandeza
que, que
começou, começar
a, a
perder, perder
no, em o
dia, dia
em, em
que, que
Viana, Viana
entrou, entrar
em, em
cena, cena
com, com
sua, seu
política, política
interiorana, interiorano
., .
Só, só
ela, ele
,, ,
enfim, enfim
,, ,
destruirá, destruir
não, não
o, o
homem, homem
(, (
que, que
Deus, Deus
lhe, ele
dê, dê
longa, longo
e, e
boa, bom
vida, vida
), )
,, ,
mas, mas
o, o
cartola, cartola
cujo, cujo
desespero, desespero
diante, diante
da, de o
possibilidade, possibilidade
de, de
uma, um
CPI, CPI
só, só
confirma, confirmar
o, o
quanto, quanto
ele, ele
tem, ter
a, a
temer, temer
., .

, 

Aliás, aliás
,, ,
o, o
temor, temor
é, ser
geral, geral
., .
Paulo, Paulo
Mello, Mello
,, ,
um, um
dos, de o
deputados, deputado
que, que
votaria, votariar
pela, por o
CPI, CPI
,, ,
contou, contar
que, que
um, um
emissário, emissário
de, de
Viana, Viana
o, ele
procurou, procurar
com, com
um, um
pedido, pedido
de, de
apoio, apoio
,, ,
com, com
o, o
seguinte, seguinte
argumento, argumento
:, :
", "
Todos, todo
nós, nós
sabemos, saber
que, que
as, o
arbitragens, arbitragem
são, ser
manipuladas, manipular
no, em o
futebol, futebol
do, de o
Rio, Rio
,, ,
mas, mas
convenhamos, convenhar
que, que
foi, ser
sempre, sempre
a, a
nosso, nosso
favor, favor
(, (
do, de o
futebol, futebol
do, de o
interior, interior
), )
", "
., .
Mello, Mello
é, ser
de, de
Saquarema, Saquarema
e, e
o, o
emissário, emissário
de, de
uma, um
cidadezinha, cidadezinha
próxima, próximo
., .
Lembrou-se, Lembrou-se
na, em o
ocasião, ocasião
um, um
jogo, jogo
recente, recente
entre, entre
Saquarema, Saquarema
e, e
Mesquita, Mesquita
,, ,
que, que
o, o
primeiro, primeiro
vencia, vencer
por, por
2, 2
a, a
1, 1
., .
Aos, a o
27min, 27min
do, de o
segundo, segundo
tempo, tempo
,, ,
alegando, alegar
falta, falta
de, de
segurança, segurança
no, em o
estádio, estádio
do, de o
primeiro, primeiro
,, ,
o, o
árbitro, árbitro
suspendeu, suspender
o, o
jogo, jogo
., .
Tudo, tudo
para, para
que, que
o, o
TJD, TJD
da, de o
Federação, Federação
considerasse, considerasse
o, o
Mesquita, Mesquita
vencedor, vencedor
por, por
1, 1
a, a
0, 0
., .
É, ser
ou, ou
não, não
é, ser
caso, caso
de, de
inquérito, inquérito
?, ?

, 

Bem, bem
,, ,
na, em o
medida, medida
em, em
que, que
essas, esse
linhas, linha
começam, começar
a, a
soar, soar
editorialescas, editorialesca
,, ,
mudo, mudo
de, de
rumo, rumo
., .
De, de
mau, mau
humor, humor
a, o
crônica, crônica
esportiva, esportivo
anda, andar
prenhe, prenhe
., .
Retiro, Retiro
apenas, apenas
a, o
pena, pena
que, que
senti, sentir
do, de o
Viana, Viana
e, e
digo, dizer
que, que
fechamos, fechamos
o, o
ano, ano
com, com
a, o
esperança, esperança
de, de
que, que
,, ,
afinal, afinal
,, ,
a, o
caixa, caixa
fure, fure
., .

, 

*, *

, 

Falando, falar
em, em
humor, humor
,, ,
um, um
registro, registro
:, :
ao, a o
incluir, incluir
,, ,
aqui, aqui
na, em o
Folha, folha
,, ,
Sérgio, Sérgio
Porto, Porto
,, ,
o, o
Stanislaw, Stanislaw
Ponte, Ponte
Preta, Preta
,, ,
entre, entre
os, o
18, 18
torcedores, torcedor
do, de o
Botafogo, Botafogo
,, ,
meu, meu
amigo, amigo
Ruy, Ruy
Castro, Castro
fez, fazer
o, o
nosso, nosso
Lalau, Lalau
espernear, espernear
em, em
sua, seu
tumba, tumba
., .
Sérgio, Sérgio
não, não
só, só
era, ser
Fluminense, Fluminense
roxo, roxo
,, ,
ou, ou
melhor, bom
,, ,
tricolor, tricolor
,, ,
como, como
tinha, ter
um, um
sádico, sádico
prazer, prazer
em, em
gozar, gozar
botafoguenses, botafoguense
seus, seu
amigos, amigo
como, como
o, o
tio, tio
Lúcio, Lúcio
Rangel, Rangel
,, ,
Vinicius, Vinicius
de, de
Moraes, Moraes
,, ,
Paulo, Paulo
Mendes, Mendes
Campos, Campos
e, e
João, João
Saldanha, Saldanha
., .
Uma, um
definição, definição
sua, seu
:, :
", "
Botafoguense, Botafoguense
é, ser
todo, todo
aquele, aquele
que, que
não, não
tem, ter
coragem, coragem
de, de
ser, ser
Flamengo, Flamengo
nem, nem
classe, classe
para, para
ser, ser
Fluminense, fluminense
", "
., .

, 

Excepcionalmente, excepcionalmente
não, não
publicamos, publicar
hoje, hoje
artigo, artigo
de, de
 ,  
Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.

, 

