Há, ﻿Há
véspera, véspera
,, ,
registrar, registrar
seu, seu
novo, novo
contratado, contratar
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Piá, Piá
,, ,
ex-Flamengo, ex-Flamengo
,, ,
enquanto, enquanto
o, o
São, São
Paulo, Paulo
está, estar
ameaçado, ameaçado
de, de
não, não
poder, poder
contar, contar
com, com
Leonardo, Leonardo
., .

, 

Em, em
segundo, segundo
lugar, lugar
,, ,
deverão, dever
estar, estar
em, em
campo, campo
dois, dois
vingadores, vingador
com, com
as, o
camisas, camisa
invertidas, invertir
:, :
Axel, Axel
,, ,
no, em o
São, São
Paulo, Paulo
;, ;
Dinho, Dinho
,, ,
no, em o
Santos, Santos
., .
Ambos, ambos
deixaram, deixar
seus, seu
clubes, clube
com, com
eles, ele
atravessados, atravessar
na, em o
garganta, garganta
., .
Dinho, Dinho
,, ,
porque, porque
se, se
considerou, considerar
desprestigiado, desprestigiar
ao, a o
entrar, entrar
na, em o
transação, transação
sem, sem
nem, nem
ao, a o
menos, menos
ter, ter
sido, ser
antes, antes
consultado, consultar
;, ;
Axel, Axel
,, ,
porque, porque
Pelé, Pelé
mandou, mandar
bater-lhe, bater ela
na, em o
cara, cara
as, o
portas, porta
da, de o
Vila, Vila
., .
E, e
a, o
vingança, vingança
,, ,
gente, gente
,, ,
é, ser
um, um
sentimento, sentimento
perigoso, perigoso
., .
Solta, Solta
,, ,
é, ser
um, um
buscapé, buscapé
sem, sem
vareta, vareta
,, ,
doido, doer
e, e
traiçoeiro, traiçoeiro
,, ,
capaz, capaz
de, de
se, se
voltar, voltar
contra, contra
o, o
próprio, próprio
vingador, vingador
., .

, 

De, de
qualquer, qualquer
forma, forma
,, ,
toda, todo
essa, esse
improvisação, improvisação
,, ,
mais, mais
o, o
ardido, ardido
tempero, tempero
da, de o
vendetta, vendetta
particular, particular
e, e
o, o
sortilégio, sortilégio
da, de o
tradição, tradição
podem, poder
resultar, resultar
num, em um
espetáculo, espetáculo
emocionante, emocionante
,, ,
onde, onde
as, o
falhas, falha
superam, superar
os, o
acertos, acerto
., .

, 

Ora, ora
,, ,
todo, todo
mundo, mundo
sabe, saber
que, que
,, ,
se, se
ninguém, ninguém
falhasse, falhar
em, em
campo, campo
,, ,
o, o
jogo, jogo
terminaria, terminar
sempre, sempre
num, em um
monótono, monótono
zero, zero
a, a
zero, zero
., .

, 

*, *

, 

O, o
Corinthians, Corinthians
estréia, estrear
hoje, hoje
no, em o
Paulista, Paulista
., .
Pelo, pelo
menos, menos
,, ,
para, para
efeito, efeito
de, de
observação, observação
sobre, sobre
suas, seu
possibilidades, possibilidade
neste, em este
torneio, torneio
., .
Sim, sim
,, ,
porque, porque
o, o
confronto, confronto
de, de
quinta-feira, quinta-feira
,, ,
com, com
o, o
América, América
,, ,
não, não
serviu, servir
para, para
nada, nada
,, ,
já, já
que, que
o, o
lamaçal, lamaçal
onde, onde
chafurdaram, chafurdar
os, o
22, 22
jogadores, jogador
impediu, impedir
que, que
houvesse, houver
futebol, futebol
., .

, 

Apesar, apesar
disso, disso
,, ,
o, o
técnico, técnico
Afrânio, Afrânio
Riul, Riul
saiu, sair
de, de
campo, campo
convencido, convencir
de, de
que, que
o, o
ponta-esquerda, ponta-esquerda
Adil, Adil
é, ser
,, ,
nas, em o
atuais, atual
contingências, contingência
,, ,
o, o
substituto, substituto
ideal, ideal
de, de
Rivaldo, Rivaldo
., .

, 

Adil, adil
é, ser
um, um
atacante, atacante
de, de
silhueta, silhueta
maciça, maciço
,, ,
tem, ter
um, um
poderoso, poderoso
disparo, disparo
de, de
esquerda, esquerda
,, ,
é, ser
habilidoso, habilidoso
e, e
versátil, versátil
do, de o
ponto, ponto
de, de
vista, vista
tático, tático
,, ,
podendo, poder
atuar, atuar
como, como
ponta, ponta
típico, típico
,, ,
fechando, fechar
pelo, por o
meio, meio
ou, ou
até, até
mesmo, mesmo
enfiado, enfiar
como, como
centroavante, centroavante
., .
Apesar, apesar
disso, disso
,, ,
jamais, jamais
conseguiu, conseguir
se, se
firmar, firmar
como, como
titular, titular
em, em
nenhum, nenhum
dos, de o
clubes, clube
por, por
onde, onde
passou, passar
., .
E, e
não, não
foram, ser
poucos, pouco
., .
Não, não
sei, saber
., .
Pode, poder
ser, ser
que, que
seu, seu
mapa, mapa
astral, astral
só, só
agora, agora
conseguiu, conseguir
a, o
conjunção, conjunção
ideal, ideal
e, e
ele, ele
,, ,
afinal, afinal
,, ,
cintile, cintiler
como, como
uma, um
nova, novo
estrela, estrela
do, de o
futebol, futebol
brasileiro, brasileiro
., .
Já, já
vi, ver
isso, isso
acontecer, acontecer
com, com
alguns, algum
craques, craque
no, em o
passado, passado
., .
Mas, mas
tenho, ter
cá, cá
minhas, meu
dúvidas, dúvida
., .
Acho, achar
mesmo, mesmo
que, que
Viola, Viola
e, e
Marques, Marques
lá, lá
na, em o
frente, frente
formariam, formarer
uma, um
ponta-de-lança, ponta-de-lança
mais, mais
afiada, afiar
e, e
venenosa, venenoso
., .

, 

Assim, assim
como, como
tenho, ter
dúvidas, dúvida
que, que
Zé, Zé
Elias, Elias
na, em o
lateral-esquerda, lateral-esquerda
seja, ser
a, o
melhor, bom
solução, solução
., .
O, o
menino, menino
despontou, despontar
tão, tão
bem, bem
no, em o
meio-campo, meio-campo
..., ...
Enfim, enfim
,, ,
hoje, hoje
,, ,
contra, contra
o, o
Rio, Rio
Branco, Branco
,, ,
teremos, ter
uma, um
idéia, idéia
mais, mais
clara, claro
desse, de esse
quadro, quadro
., .
Espero, esperar
., .

, 

