Chegar, ﻿Chegar
Agora, agora
,, ,
em, em
termos, termos
de, de
arbitragem, arbitragem
,, ,
eu, eu
vejo, vejo
má-fé, má-fé
mesmo, mesmo
., .
É, ser
muita, muito
coincidência, coincidência
., .
Talvez, talvez
por, por
eu, eu
bater, bater
nessa, em esse
tecla, tecla
de, de
arbitragem, arbitragem
,, ,
eles, eles
só, só
erram, err
contra, contra
nós, nós
., .
Para, para
você, você
ter, ter
uma, um
idéia, idéia
,, ,
houve, haver
uns, um
15, 15
gols, gol
anulados, anular
durante, durante
o, o
campeonato, campeonato
inteiro, inteiro
e, e
10, 10
a, a
15, 15
pênaltis, pênaltis
não, não
marcados, marcar
., .
Tivemos, tiver
dois, dois
pênaltis, pênaltis
a, a
favor, favor
e, e
seis, seis
contra, contra
., .
É, ser
muita, muito
coisa, coisa
., .

, 

Folha, Folha
-, -
Você, você
disse, dizer
que, que
o, o
Yomiuri, Yomiuri
não, não
precisa, precisar
disso, de isso
., .
Ele, ele
é, ser
,, ,
de, de
fato, fato
,, ,
mais, mais
forte, forte
?, ?

, 

Zico, Zico
-, -
É, ser
um, um
time, time
mais, mais
forte, forte
,, ,
que, que
tem, ter
os, o
melhores, bom
jogadores, jogador
japoneses, japonês
., .
Só, só
que, que
,, ,
quando, quando
eles, eles
estão, estar
mal, mal
,, ,
dá-se, dár se
um, um
jeitinho, jeitinho
para, para
colocá-los, colocá-los
em, em
cima, cima
., .
Quanto, quanto
aos, a o
dois, dois
times, time
dentro, dentro
do, de o
campo, Campo
,, ,
não, não
tenho, ter
o, o
menor, pequeno
medo, medo
deles, de eles
,, ,
porque, porque
nosso, nosso
time, time
joga, jogar
de, de
igual, igual
para, para
igual, igual
., .
O, o
problema, problema
é, ser
que, que
talvez, talvez
eu, eu
não, não
vá, ir
jogar, jogar
., .
E, e
,, ,
na, em o
decisão, decisão
,, ,
isso, isso
pesa, pês
., .

, 

Folha, Folha
-, -
Você, você
está, estar
acompanhando, acompanhar
a, o
crise, crise
da, de o
arbitragem, arbitragem
carioca, carioca
?, ?
Há, haver
semelhanças, semelhança
?, ?

, 

Zico, Zico
-, -
Lógico, Lógico
que, que
aí, aí
no, em o
Brasil, Brasil
houve, haver
uma, um
coisa, coisa
clara, claro
,, ,
porque, porque
houve, haver
a, o
denúncia, denúncia
do, de o
árbitro, árbitro
., .
Então, então
é, ser
diferente, diferente
., .
Aqui, aqui
,, ,
o, o
que, que
todo, todo
mundo, mundo
diz, dizer
é, ser
:, :
", "
Ah, ah
,, ,
eles, eles
são, ser
ruins, ruim
mesmo, mesmo
", "
., .
São, ser
ruins, ruim
quando, quando
querem, querer
ser, ser
ruins, ruim
., .
Você, você
não, não
pode, poder
comprovar, comprovar
muito, muito
,, ,
pode, poder
até, até
não, não
ter, ter
nenhuma, nenhum
grana, grana
no, em o
meio, meio
,, ,
mas, mas
o, o
cara, cara
entra, entrar
predisposto, predisposto
a, a
favorecer, favorecer
um, um
time, time
., .

, 

Folha, Folha
-, -
Você, você
lançou, lançar
um, um
livro, livro
no, em o
Japão, Japão
., .
O, o
que, que
ele, ele
conta, contar
?, ?

, 

Zico, Zico
-, -
Ele, ele
fala, falar
do, de o
trabalho, trabalho
de, de
liderança, liderança
para, para
levar, levar
o, o
time, time
a, a
essa, esse
condição, condição
., .
É, ser
um, um
paralelo, paralelo
com, com
o, o
cara, cara
que, que
dirige, dirigir
uma, um
empresa, empresa
., .
Como, como
você, você
faz, fazer
os, o
funcionários, funcionário
se, se
integrarem, integrar
de, de
corpo, corpo
e, e
alma, alma
ao, a o
trabalho, trabalho
,, ,
o, o
técnico, técnico
tira, tirar
mais, mais
dos, de o
jogadores, jogador
., .
É, ser
um, um
livro, livro
muito, muito
interessante, interessante
,, ,
porque, porque
fala, falar
desse, de esse
relacionamento, relacionamento
,, ,
que, que
é, ser
a, o
maior, grande
dificuldade, dificuldade
aqui, aqui
do, de o
Japão, Japão
:, :
haver, haver
diálogo, diálogo
entre, entre
quem, quem
comanda, comandar
e, e
quem, quem
é, ser
comandado, comandar
., .
É, ser
uma, um
das, de o
coisas, coisa
mais, mais
importantes, importante
que, que
eu, eu
pude, pude
passar, passar
em, em
termos, termos
de, de
know-how, know-how
daquilo, de aquilo
que, que
eu, eu
aprendi, aprender
., .
Convivência, convivência
com, com
grandes, grande
jogadores, jogador
,, ,
técnicos, técnico
e, e
dirigentes, dirigente
., .
Com, com
maus, mau
,, ,
também, também
., .
É, ser
destinado, destinar
aos, a o
líderes, líder
japoneses, japonês
., .

, 

Folha, Folha
-, -
Algum, algum
dos, de o
brasileiros, brasileiro
que, que
atuam, atuar
no, em o
Japão, Japão
teria, ter
vez, vez
na, em o
seleção, seleção
brasileira, brasileiro
?, ?

, 

Zico, Zico
 ,  
-, -
Teria, Teria
., .
Na, em o
minha, meu
seleção, seleção
,, ,
o, o
Carlos, Carlos
Alberto, Alberto
Santos, Santos
estaria, estar
., .
O, o
Alcindo, Alcindo
está, estar
muito, muito
bem, bem
,, ,
embora, embora
tenha, ter
caído, cair
., .
Mas, mas
ele, ele
joga, jogar
numa, em um
posição, posição
que, que
tem, ter
muitos, muito
jogadores, jogador
bons, bom
aí, aí
., .
O, o
Bismarck, Bismarck
está, estar
muito, muito
bem, bem
., .
Mas, mas
o, o
Carlos, Carlos
Alberto, Alberto
Santos, Santos
joga, jogar
numa, em um
posição, posição
diferente, diferente
,, ,
que, que
a, a
meu, meu
ver, ver
falta, falta
no, em o
Brasil, Brasil
,, ,
o, o
número, número
oito, oito
., .

, 

