Nos, ﻿Nos
atraso, atraso
continua, continuar
ativo, ativo
:, :
conchavos, conchavo
,, ,
roubo, roubo
de, de
renda, renda
,, ,
falsificação, falsificação
de, de
bilhetes, bilhetes
_, _
e, e
uma, um
cultura, cultura
de, de
bandidagem, bandidagem
engravatada, engravatar
e, e
promíscua, promíscuo
,, ,
que, que
,, ,
aliás, aliás
,, ,
contamina, contaminar
outras, outro
tantas, tanto
instituições, instituição
da, de o
cidade, cidade
e, e
do, de o
Estado, estado
do, de o
Rio, Rio
., .

, 

Mas, mas
são, ser
obstáculos, obstáculo
superáveis, superável
,, ,
e, e
,, ,
para, para
isso, isso
,, ,
têm, ter
contribuído, contribuir
os, o
próprios, próprio
jogadores, jogador
e, e
a, o
chamada, chamado
`, `
`, `
opinião, opinião
pública, público
'', ''
carioca, carioca
_, _
apesar, apesar
de, de
alguns, algum
exemplos, exemplo
ridículos, ridículo
de, de
provincianismo, provincianismo
na, em o
dita, dita
`, `
`, `
crônica, crônico
'', ''
., .

, 

É, ser
o, o
caso, caso
do, de o
jornalista, jornalista
Oldemário, Oldemário
Touguinhó, Touguinhó
(, (
também, também
conhecido, conhecer
como, como
Alphonsus, Alphonsus
Simone, Simone
), )
,, ,
que, que
,, ,
para, para
promover, promover
o, o
Rio, Rio
,, ,
destila, destila
semanalmente, semanalmente
seu, seu
rancor, rancor
suado, suar
contra, contra
São, São
Paulo, Paulo
,, ,
chamando, chamar
paulistas, paulista
de, de
`, `
`, `
caipiras, caipira
'', ''
,, ,
num, em um
espaço, espaço
que, que
já, já
foi, ser
ocupado, ocupar
por, por
gente, gente
com, com
mais, mais
humor, humor
e, e
cosmopolitismo, cosmopolitismo
,, ,
como, como
Sandro, Sandro
Moreira, Moreira
e, e
o, o
afiadíssimo, afiadíssimo
João, João
Saldanha, Saldanha
., .

, 

Falo, falo
com, com
tranquilidade, tranquilidade
,, ,
porque, porque
sou, ser
do, de o
Rio, Rio
e, e
despertei, despertar
para, para
o, o
futebol, futebol
lendo, ler
Nelson, Nelson
Rodrigues, Rodrigues
e, e
outros, outro
craques, craque
bem, bem
mais, mais
finos, fino
do, de o
que, que
o, o
senhor, senhor
Old-emário, Old-emário
,, ,
que, que
acha, achar
que, que
só, só
ele, ele
torceu, torcer
para, para
o, o
Brasil, Brasil
na, em o
Copa, copa
e, e
vive, viver
a, a
bajular, bajular
os, o
tristes, triste
burocratas, burocrata
da, de o
incompetente, incompetente
CBF, CBF
., .

, 

Em, em
duas, dois
recentes, recente
notas, nota
,, ,
Old-emário, Old-emário
atacou, atacar
os, o
`, `
`, `
caipiras, caipira
'', ''
:, :
1, 1
), )
pelo, por o
apelido, apelido
de, de
Animal, Animal
que, que
Edmundo, Edmundo
recebeu, receber
por, por
aqui, aqui
;, ;
e, e
2, 2
), )
pelo, por o
fato, fato
de, de
a, o
Folhater, Folhater
apurado, apurar
um, um
erro, erro
na, em o
contagem, contagem
dos, de o
gols, gol
de, de
Pelé, Pelé
., .

, 

No, em o
primeiro, primeiro
caso, caso
,, ,
desconhece, desconhecer
a, o
gíria, gíria
`, `
`, `
animal, animal
'', ''
,, ,
usada, usar
muito, muito
antes, antes
do, de o
apelido, apelido
por, por
adolescentes, adolescente
e, e
roqueiros, roqueiro
., .
Ela, ela
substitui, substituir
aquelas, aquele
dos, de o
tempos, tempo
do, de o
onça, onça
(, (
e, e
do, de o
Old-emário, Old-emário
), )
,, ,
tipo, tipo
`, `
`, `
monstro, monstro
'', ''
,, ,
`, `
`, `
fera, fera
'', ''
., .

, 

No, em o
segundo, segundo
caso, caso
,, ,
credita, creditar
a, o
reportagem, reportagem
da, de o
Folha, folha
,, ,
fruto, fruto
de, de
trabalho, trabalho
minucioso, minucioso
,, ,
a, a
uma, um
suposta, suposto
mágoa, mágoa
de, de
paulistas, paulista
pelo, por o
fato, fato
de, de
Pelé, Pelé
(, (
jogador, jogador
que, que
o, o
futebol, futebol
de, de
São, São
Paulo, Paulo
revelou, revelar
ao, a o
Brasil, Brasil
e, e
ao, a o
mundo, mundo
), )
ter, ter
feito, fazer
o, o
ex-milésimo, ex-milésimo
gol, gol
no, em o
Maracanã, maracanã
., .

, 

Ora, ora
,, ,
Old-emário, Old-emário
,, ,
tenha, ter
a, o
santa, santo
paciência, paciência
!, !
Vamos, ir
jogar, jogar
bola, bola
., .
O, o
Rio, Rio
para, para
ser, ser
grande, grande
(, (
e, e
tomara, tomar
que, que
volte, voltar
a, a
ser, ser
), )
não, não
precisa, precisar
disso, de isso
., .
Precisa, precisa
é, ser
acabar, acabar
com, com
isso, isso
., .

, 

