Foram, ﻿For
de, de
tão, tão
pouco, pouco
fair, fair
play, play
", "
,, ,
falou, falar
., .

, 

Desde, desde
o, o
final, final
do, de o
ano, ano
passado, passado
,, ,
Ayrton, Ayrton
vem, vir
colocando, colocar
a, a
Ferrari, Ferrari
como, como
maior, grande
adversária, adversária
na, em o
luta, luta
pelo, por o
título, título
mundial, mundial
., .
Ele, ele
considera, considerar
o, o
projetista, projetista
John, John
Barnard, Barnard
,, ,
que, que
fez, fazer
o, o
novo, novo
carro, carro
da, de o
equipe, equipe
italiana, italiano
,, ,
o, o
melhor, bom
em, em
atividade, atividade
., .
Além, além
disso, de isso
,, ,
acha, achar
que, que
o, o
fim, fim
da, de o
eletrônica, eletrônica
favorece, favorecer
a, a
Ferrari, Ferrari
,, ,
que, que
nunca, nunca
lidou, lidar
bem, bem
com, com
os, o
equipamentos, equipamento
agora, agora
proibidos, proibir
pela, por o
FIA, FIA
., .

, 

O, o
ritmo, ritmo
de, de
trabalho, trabalho
de, de
Senna, Senna
assustou, assustar
os, o
técnicos, técnico
de, de
sua, seu
nova, novo
equipe, equipe
., .
A, o
cada, cada
parada, parada
no, em o
box, box
,, ,
Senna, Senna
se, se
reunia, reuniar
por, por
cerca, cerca
de, de
15, 15
minutos, minuto
com, com
o, o
engenheiro, engenheiro
David, David
Brown, Brown
., .
Indicava, Indicava
as, o
modificações, modificação
que, que
queria, querer
e, e
os, o
mecânicos, mecânico
as, elas
executavam, executar
., .
", "
Eu, eu
fiz, fiz
o, o
trabalho, trabalho
que, que
tinha, ter
que, que
ser, ser
feito, fazer
,, ,
porque, porque
nosso, nosso
tempo, tempo
é, ser
muito, muito
curto, curto
até, até
a, o
estréia, estréia
", "
,, ,
justificou, justificar
o, o
piloto, piloto
., .
", "
Foi, ser
uma, um
semana, semana
muito, muito
proveitosa, proveitoso
,, ,
importante, importante
na, em o
minha, meu
carreira, carreira
e, e
fundamental, fundamental
para, para
a, o
temporada, temporada
de, de
94, 94
., .
", "

, 

Senna, Senna
volta, voltar
hoje, hoje
ao, a o
Brasil, Brasil
e, e
até, até
amanhã, amanhã
decide, decidir
com, com
a, o
equipe, equipe
se, se
terá, ter
que, que
testar, testar
mais, mais
uma, uma
vez, vez
o, o
carro, carro
velho, velho
da, de o
Williams, Williams
., .
A, a
princípio, princípio
,, ,
ele, ele
só, só
deve, dever
guiar, guiar
de, de
novo, novo
no, em o
final, final
de, de
fevereiro, fevereiro
,, ,
quando, quando
o, o
modelo, modelo
FW16, FW16
estiver, estar
pronto, pronto
., .

, 

Os, o
tempos, tempo
de, de
ontem, ontem
:, :
1, 1
), )
A.Senna, A.Senna
(, (
BRA, BRA
/, /
Williams, Williams
), )
,, ,
1min12s50, 1min12s50
(, (
42, 42
voltas, volta
), )
;, ;
2, 2
), )
E.Irvine, E.Irvine
(, (
IRL, IRL
/, /
Jordan, Jordan
), )
,, ,
1min12s96, 1min12s96
(, (
41, 41
), )
;, ;
3, 3
), )
D.Coulthard, D.Coulthard
(, (
ESC, ESC
/, /
Williams, Williams
), )
,, ,
1min13s47, 1min13s47
(, (
39, 39
), )
;, ;
4, 4
), )
A.Zanardi, A.Zanardi
(, (
ITA, ITA
/, /
Lotus, Lotus
), )
,, ,
1min14s66, 1min14s66
(, (
37, 37
), )
;, ;
5, 5
), )
J.Herbert, J.Herbert
(, (
ING, ING
/, /
Lotus, Lotus
), )
,, ,
1min15s65, 1min15s65
(, (
24, 24
), )
., .

, 

