No, ﻿No
amigo, amigo
tem, ter
visto, ver
como, como
anda, andar
jogando, jogar
o, o
holandês, holandês
Gullit, Gullit
,, ,
lá, lá
no, em o
Sampdoria, Sampdoria
?, ?
Ele, ele
carrega, carregar
o, o
número, número
4, 4
nas, em o
costas, costa
,, ,
mas, mas
,, ,
à, a o
sua, seu
frente, frente
,, ,
qualquer, qualquer
caminho, caminho
é, ser
caminho, caminho
., .
Livre, Livre
e, e
desimpedido, desimpedido
,, ,
Gullit, Gullit
faz, fazer
em, em
campo, campo
o, o
que, que
seu, seu
instinto, instinto
,, ,
apuradíssimo, apuradíssimo
por, por
sinal, sinal
,, ,
e, e
sua, seu
experiência, experiência
recomendam, recomendar
., .
Sei, saber
bem, bem
que, que
Casão, Casão
não, não
tem, ter
a, o
mesma, mesmo
velocidade, velocidade
do, de o
holandês, holandês
voador, voador
,, ,
mas, mas
imagino, imaginar
que, que
ele, ele
solto, solto
para, para
circular, circular
por, por
todas, todo
as, o
partes, parte
do, de o
campo, campo
seria, ser
de, de
inestimável, inestimável
valor, valor
para, para
seu, seu
time, time
., .
Muito, muito
mais, mais
que, que
preso, prender
lá, lá
na, em o
frente, frente
., .

, 

*, *

, 

Zico, Zico
chegou, chegar
e, e
,, ,
do, de o
alto, alto
de, de
sua, seu
autoridade, autoridade
como, como
craque, craque
e, e
como, como
homem, homem
,, ,
mandou, mandar
Romário, Romário
calar, calar
a, o
boca, boca
e, e
jogar, jogar
bola, bola
., .
Zico, Zico
foi, ser
o, o
maior, grande
jogador, jogador
brasileiro, brasileiro
depois, depois
que, que
Pelé, Pelé
encerrou, encerrar
sua, seu
carreira, carreira
., .
Zico, Zico
e, e
Pelé, Pelé
jamais, jamais
abriram, abrir
a, o
boca, boca
para, para
provocar, provocar
dissensões, dissensão
no, em o
grupo, grupo
., .
E, e
olhe, olhar
que, que
tiveram, ter
caminhões, caminhão
de, de
oportunidades, oportunidade
e, e
toneladas, tonelada
de, de
argumentos, argumento
., .

, 

Alberto, Alberto
Helena, Helena
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
aos, a o
domingos, domingo
,, ,
segundas, segundo
e, e
quartas, quarto

, 

