Derrotar, ﻿Derrotar
marcação, marcação
da, de o
equipe, equipe
., .

, 

", "
Com, com
a, o
posse, posse
da, de o
bola, bola
,, ,
temos, ter
que, que
ser, ser
rápidos, rápido
e, e
objetivos, objetivo
em, em
direção, direção
ao, a o
gol, gol
adversário, adversário
., .
Sem, sem
a, o
bola, bola
,, ,
todo, todo
mundo, mundo
marca, marca
., .
Ninguém, ninguém
pode, poder
dar, dar
espaço, espaço
para, para
o, o
Palmeiras, Palmeiras
jogar, jogar
'', ''
,, ,
afirmou, afirmar
o, o
atacante, atacante
Jamelli, Jamelli
., .

, 

O, o
treinador, treinador
define, definir
o, o
esquema, esquema
como, como
`, `
`, `
solidário, solidário
'', ''
., .
Ele, ele
disse, dizer
,, ,
também, também
,, ,
ter, ter
alertado, alertar
o, o
time, time
para, para
`, `
`, `
ficar, ficar
ligado, ligar
durante, durante
toda, todo
a, o
partida, partida
'', ''
., .

, 

Ele, ele
não, não
quer, querer
que, que
a, o
boa, bom
fase, fase
se, se
transforme, transforme
em, em
displicência, displicência
., .

, 

", "
Iremos, Iremos
enfrentar, enfrentar
o, o
Palmeiras, Palmeiras
,, ,
um, um
dos, de o
melhores, bom
times, time
do, de o
país, país
., .
A, o
equipe, equipe
não, não
pode, poder
esquecer, esquecer
isso, isso
., .
Do, de o
contrário, contrário
,, ,
seremos, ser
derrotados, derrotar
em, em
plena, pleno
Vila, Vila
Belmiro, Belmiro
'', ''
,, ,
advertiu, advertir
Joãozinho, Joãozinho
., .

, 

O, o
volante, volante
Carlinhos, Carlinhos
não, não
considera, considerar
o, o
Santos, Santos
favorito, favorito
para, para
o, o
clássico, clássico
., .

, 

`, `
`, `
Sabemos, sabemos
que, que
o, o
Palmeiras, Palmeiras
estará, estar
bem, bem
desfalcado, desfalcar
., .
Mas, mas
isso, isso
,, ,
muitas, muitas
vezes, vez
,, ,
é, ser
pior, mau
,, ,
pois, pois
faz, fazer
com, com
que, que
o, o
adversário, adversário
até, até
suba, suba
de, de
produção, produção
., .
O, o
Santos, Santos
hoje, hoje
não, não
pode, poder
dar, dar
nenhuma, nenhum
moleza, moleza
'', ''
,, ,
afirmou, afirmar
., .

, 

NA, NA
TV, tv

, 

Globo, globo
e, e
Bandeirantes, Bandeirantes
,, ,
ao, a o
vivo, vivo
,, ,
às, a o
18h, 18h

, 

