O, ﻿O
fora, fora
das, de o
quatro, quatro
linhas, linha
,, ,
isso, isso
antes, antes
de, de
essa, esse
história, história
da, de o
transferência, transferência
para, para
a, o
Espanha, Espanha
confundir-lhe, confundir-lhe
as, o
ações, ação
,, ,
os, o
sentimentos, sentimento
e, e
os, o
pensamentos, pensamento
,, ,
como, como
diria, dir
o, ele
poetinha, poetinhar
., .
Sim, sim
,, ,
porque, porque
sua, seu
vertiginosa, vertiginoso
queda, queda
de, de
produção, produção
,, ,
da, de o
Copa, copa
até, até
aqui, aqui
,, ,
só, só
pode, poder
ser, ser
creditada, creditar
ao, a o
conflito, conflito
causado, causar
pela, por o
expectativa, expectativa
de, de
sua, seu
saída, saída
., .
Entre, entre
o, o
desejo, desejo
de, de
viver, viver
sua, seu
vidinha, vidinha
de, de
zona, zona
leste, leste
,, ,
rei, rei
do, de o
Parque, Parque
,, ,
e, e
colher, colher
um, um
pote, pote
de, de
ouro, ouro
ao, a o
pé, pé
do, de o
arco-íris, arco-íris
,, ,
o, o
coração, coração
corintiano, corintiano
e, e
paroquial, paroquial
de, de
Viola, Viola
balança, balança
ainda, ainda
., .
Não, não
fosse, ser
isso, isso
,, ,
e, e
teríamos, teríar
aquele, aquele
mesmo, mesmo
espetáculo, espetáculo
de, de
antes, antes
da, de o
Copa, copa
:, :
antes, antes
de, de
tudo, tudo
um, um
goleador, goleador
,, ,
capaz, capaz
,, ,
também, também
,, ,
de, de
adornar, adornar
suas, seu
jogadas, jogada
com, com
lances, lance
de, de
inventiva, inventivo
originalidade, originalidade
,, ,
além, além
de, de
derramar, derramar
sangue, sangue
e, e
suor, suor
pelo, por o
gramado, gramado
., .
Para, para
arrematar, arrematar
,, ,
as, o
coreografias, coreografia
que, que
se, se
seguiam, seguir
a, a
cada, cada
gol, gol
,, ,
coletivas, coletiva
,, ,
como, como
a, a
enfatizar, enfatizar
seu, seu
espírito, espírito
de, de
corintiana, corintiano
solidariedade, solidariedade
., .

, 

Partem, Partem
Edmundo, Edmundo
e, e
Viola, Viola
., .
Mas, mas
ambos, ambos
deixam, deixar
a, o
certeza, certeza
de, de
que, que
ainda, ainda
há, haver
lugar, lugar
para, para
a, o
individualidade, individualidade
neste, em este
futebol, futebol
que, que
tanto, tanto
flerta, flerto
com, com
a, o
robotização, robotização
., .

, 

O, o
Japão, Japão
não, não
faz, fazer
mal, mal
apenas, apenas
ao, a o
orgulho, orgulho
norte-americano, norte-americano
., .
Em, em
muitos, muito
casos, caso
,, ,
tem, ter
desviado, desviar
nossos, nosso
craques, craque
de, de
seu, seu
destino, destino
., .
Digo, Digo
isso, isso
pensando, pensar
em, em
Bentinho, Bentinho
,, ,
que, que
,, ,
se, se
não, não
tivesse, ter
vivido, viver
o, o
hiato, hiato
japonês, japonês
;, ;
se, se
tivesse, ter
se, se
transferido, transferir
direto, direto
da, de o
Lusa, Lusa
para, para
o, o
tricolor, tricolor
,, ,
por, por
certo, certo
,, ,
se, se
anteciparia, antecipariar
a, a
Túlio, Túlio
na, em o
seleção, seleção
,, ,
e, e
hoje, hoje
seria, ser
xodó, xodó
do, de o
Zagallo, Zagallo
., .
Isso, isso
porque, porque
é, ser
um, um
centroavante, centroavante
jovem, jovem
,, ,
com, com
mais, mais
recursos, recurso
técnicos, técnico
e, e
quase, quase
a, o
mesma, mesmo
eficiência, eficiência
na, em o
área, área
., .
Agora, agora
,, ,
terá, ter
de, de
cumprir, cumprir
um, um
caminho, caminho
mais, mais
tortuoso, tortuoso
., .
Talvez, talvez
,, ,
para, para
nunca, nunca
chegar, chegar
ao, a o
seu, seu
destino, destino
., .

, 

Alberto, Alberto
Helena, Helena
Jr., Jr.
escreve, escrever
aos, a o
domingos, domingo
,, ,
segundas, segundo
e, e
quartas, quarto

, 

