"Não, ﻿"Não
Parreira, Parreira
,, ,
a, a
cinco, cinco
meses, mês
da, de o
Copa, copa
", "
,, ,
afirmou, afirmar
., .
", "
Aposto, apostar
que, que
serei, ser
titular, titular
", "
., .

, 

Na, em o
sua, seu
contabilidade, contabilidade
,, ,
foi, ser
convocado, convocar
para, para
a, o
seleção, seleção
29, 29
vezes, vez
–, –
titular, titular
em, em
19, 19
jogos, jogo
., .
Até, até
o, o
começo, começo
das, de o
eliminatórias, eliminatória
,, ,
era, ser
titular, titular
., .
Meia, Meia
ofensivo, ofensivo
,, ,
foi, ser
barrado, barrar
para, para
a, o
entrada, entrada
de, de
um, um
defensivo, defensivo
,, ,
Dunga, Dunga
., .

, 

Aos, a o
26, 26
anos, ano
,, ,
há, haver
dois, dois
estava, estar
na, em o
França, França
., .
Confirmou, Confirmou
que, que
o, o
meia, meia
Raí, Raí
,, ,
da, de o
seleção, seleção
e, e
do, de o
Paris, Paris
Saint-Germain, Saint-Germain
,, ,
está, estar
mal, mal
., .
", "
Continua, Continuar
fora, fora
de, de
forma, forma
., .
A, o
imprensa, imprensa
cai, cair
em, em
cima, cima
,, ,
ele, ele
não, não
se, se
encontra, encontrar
., .
Suas, Seu
filhas, filha
não, não
se, se
adaptaram, adaptar
., .
Ele, ele
começa, começar
a, a
ficar, ficar
preocupado, preocupado
., .
Não, não
rende, render
o, o
suficiente, suficiente
,, ,
mas, mas
vai, ir
se, se
recuperar, recuperar
., .
", "

, 

Luís, Luís
Henrique, Henrique
disse, dizer
que, que
já, já
perdeu, perder
o, o
excesso, excesso
de, de
6, 6
kg, kg
com, com
que, que
se, se
apresentou, apresentar
na, em o
seleção, seleção
para, para
as, o
eliminatórias, eliminatória
., .

, 

Nascido, Nascer
em, em
Pirapora, Pirapora
(, (
MG, MG
), )
,, ,
criado, criar
na, em o
Bahia, Bahia
,, ,
comia, comia
feijão, feijão
,, ,
farinha, farinha
e, e
outras, outro
comidas, comida
brasileiras, brasileiro
que, que
comprava, comprar
num, em um
mercado, mercado
em, em
Paris, Paris
., .
", "
Fui, ser
afastado, afastar
justamente, justamente
da, de o
seleção, seleção
,, ,
mas, mas
agora, agora
estou, estar
bem, bem
novamente, novamente
., .
", "

, 

Luís, Luís
Henrique, Henrique
é, ser
o, o
primeiro, primeiro
jogador, jogador
da, de o
seleção, seleção
fora, fora
de, de
São, São
Paulo, Paulo
a, a
sair, sair
em, em
defesa, defesa
de, de
Muller, Muller
,, ,
contra, contra
Romário, Romário
., .
O, o
atacante, atacante
do, de o
Barcelona, Barcelona
disse, dizer
que, que
o, o
companheiro, companheiro
de, de
seleção, seleção
", "
jogou, jogar
mal, mal
as, o
duas, dois
Copas, Copas
que, que
disputou, disputar
,, ,
em, em
1986, 1986
e, e
1990, 1990
,, ,
e, e
que, que
Edmundo, Edmundo
,, ,
atualmente, atualmente
jogando, jogar
no, em o
Palmeiras, Palmeiras
,, ,
é, ser
o, o
melhor, bom
jogador, jogador
em, em
atividade, atividade
no, em o
Brasil, Brasil
., .
", "

, 

O, o
coordenador-técnico, coordenador-técnico
,, ,
Mário, Mário
Lobo, Lobo
Zagalo, Zagalo
,, ,
atacou, atacar
Romário, Romário
., .
", "
Ele, ele
tem, ter
que, que
se, se
preocupar, preocupar
em, em
jogar, jogar
,, ,
não, não
em, em
escalar, escalar
o, o
time, time
", "
., .

, 

O, o
jogador, jogador
Zico, Zico
,, ,
que, que
disputou, disputar
as, o
Copas, Copas
de, de
78, 78
,, ,
82, 82
e, e
86, 86
,, ,
também, também
criticou, criticar
Romário, Romário
., .
Ao, a o
retornar, retornar
ao, a o
Rio, Rio
,, ,
em, em
férias, férias
,, ,
na, em o
semana, semana
passada, passado
,, ,
Zico, Zico
declarou, declarar
que, que
as, o
desavenças, desavença
entre, entre
jogadores, jogador
podem, poder
prejudicar, prejudicar
a, o
seleção, seleção
na, em o
Copa, copa
., .

, 

