Um, ﻿Um
o, o
Milan, Milan
cansado, cansado
,, ,
ele, ele
fez, fazer
entrar, entrar
no, em o
time, time
o, o
seu, seu
quarto, quarto
atacante, atacante
., .

, 

Resultado, resultado
:, :
o, o
Ajax, Ajax
,, ,
que, que
no, em o
primeiro, primeiro
tempo, tempo
não, não
havia, haver
chutado, chutar
nem, nem
uma, um
bola, bola
sequer, sequer
em, em
gol, gol
,, ,
contra, contra
três, três
chutes, chute
do, de o
Milan, Milan
,, ,
acabou, acabar
o, o
jogo, jogo
com, com
número, número
igual, igual
:, :
quatro, quatro
., .

, 

Com, com
uma, um
diferença, diferença
:, :
um, um
dos, de o
seus, seu
chutes, chute
entrou, entrar
., .

, 

Não, não
há, haver
o, o
que, que
contestar, contestar
:, :
apesar, apesar
de, de
um, um
primeiro, primeiro
tempo, tempo
em, em
que, que
o, o
time, time
ficou, ficar
muito, muito
estático, estático
,, ,
o, o
Ajax, Ajax
mandou, mandar
no, em o
segundo, segundo
,, ,
que, que
é, ser
a, o
fase, fase
decisiva, decisivo
dos, de o
jogos, jogo
., .

, 

A, o
bola, bola
esteve, estar
com, com
o, o
time, time
holandês, holandês
65, 65
%, %
do, de o
tempo, tempo
., .
Com, com
o, o
Milan, Milan
,, ,
apenas, apenas
44, 44
%, %
., .

, 

Os, o
teens, teen
negros, negro
de, de
Amsterdã, Amsterdã
conquistaram, conquistar
,, ,
depois, depois
de, de
22, 22
anos, ano
,, ,
a, o
quarta, quarto
Copa, Copa
dos, de o
Campeões, Campeões
para, para
o, o
Ajax, Ajax
(, (
as, o
outras, outro
foram, ir
em, em
71, 71
,, ,
72, 72
,, ,
73, 73
,, ,
na, em o
era, era
Cruyff, Cruyff
), )
., .

, 

É, ser
a, o
sexta, sexto
Copa, copa
dos, de o
Campeões, Campeões
que, que
vai, ir
para, para
a, o
Holanda, Holanda
., .
Com, com
a, o
derrota, derrota
,, ,
o, o
Milan, Milan
deixa, deixar
de, de
dar, dar
à, a o
Itália, Itália
o, o
recorde, recorde
de, de
Copas, Copas
(, (
tem, ter
oito, oito
,, ,
junto, junto
com, com
a, o
Inglaterra, Inglaterra
), )
., .

, 

É, ser
a, o
primeira, primeiro
vez, vez
que, que
dois, dois
irmãos, irmão
(, (
e, e
ainda, ainda
por, por
cima, cima
gêmeos, gêmeo
), )
ganham, ganhar
a, o
Copa, copa
:, :
Ronald, Ronald
e, e
Frank, Frank
de, de
Boer, Boer
., .
Também, também
é, ser
a, o
primeira, primeiro
vez, vez
que, que
nigerianos, nigeriano
vencem, vencer
., .

, 

(, (
Além, além
de, de
Kanu, Kanu
,, ,
Finidi, Finidi
George, George
também, também
é, ser
nigeriano, nigeriano
;, ;
apesar, apesar
de, de
não, não
fazer, fazer
frio, frio
,, ,
foram, ser
os, o
únicos, único
a, a
jogar, jogar
de, de
mangas, manga
compridas, comprir
), )
., .

, 

Foi, ser
a, o
vitória, vitória
de, de
quem, quem
quis, querer
ganhar, ganhar
:, :
Van, Van
Gaal, Gaal
tinha, ter
três, três
atacantes, atacante
no, em o
time, time
e, e
três, três
no, em o
banco, banco
., .
No, em o
segundo, segundo
tempo, tempo
,, ,
pôs, pôr
quatro, quatro
atacantes, atacante
em, em
campo, campo
., .
Arriscou, Arriscou
e, e
venceu, vencer
., .

, 

AJAX, aJAX
1, 1

, 

Van, Van
der, der
Sar, Sar
;, ;
Reiziger, Reiziger
,, ,
Blind, Blind
,, ,
Rijkaard, Rijkaard
e, e
Frank, Frank
de, de
Boer, Boer
;, ;
Seedorf, Seedorf
(, (
Kanu, Kanu
), )
,, ,
George, George
e, e
Davids, Davids
;, ;
Ronald, Ronald
de, de
Boer, Boer
,, ,
Litmanen, Litmanen
(, (
Kluivert, Kluivert
), )
e, e
Overmars, Overmars
., .
Técnico, Técnico
-, -
Van, Van
Gaal, Gaal

, 

MILAN, MILAN
0, 0

, 

Rossi, Rossi
;, ;
Panucci, panucci
,, ,
Maldini, Maldini
,, ,
Albertini, Albertini
e, e
Costacurta, Costacurta
;, ;
Baresi, Baresi
,, ,
Donadoni, Donadoni
,, ,
Desailly, Desailly
e, e
Massaro, Massaro
(, (
Eranio, Eranio
), )
;, ;
Boban, Boban
(, (
Lentini, Lentini
), )
e, e
Simone, Simone
., .
Técnico, Técnico
-, -
Capello, Capello

, 

Local, Local
:, :
estádio, estádio
Ernst, Ernst
Happel, Happel
,, ,
em, em
Viena, Viena
,, ,
Áustria, Áustria

, 

Público, público
:, :
49.730, 49.730
pagantes, pagante

, 

Gol, gol
:, :
Kluivert, Kluivert
,, ,
aos, a o
40min, 40min
do, de o
segundo, segundo
tempo, tempo

, 

